month,line_item,category,amount_usd,unit_count,per_unit_usd,source_ref,notes
2026-01,cafe wholesale revenue,revenue,4820.00,,,QB Invoices Jan,three cafes standing
2026-02,cafe wholesale revenue,revenue,4735.50,,,QB Invoices Feb,three cafes standing
2026-03,cafe wholesale revenue,revenue,5108.00,,,QB Invoices Mar,three cafes standing
2026-04,cafe wholesale revenue,revenue,5290.25,,,QB Invoices Apr,three cafes standing
2026-05,cafe wholesale revenue,revenue,5044.00,,,QB Invoices May,three cafes standing
2026-06,cafe wholesale revenue,revenue,4988.75,,,QB Invoices Jun,three cafes standing
2026-07,cafe wholesale revenue,revenue,4620.00,,,QB Invoices Jul,summer dip
2026-08,cafe wholesale revenue,revenue,4590.50,,,QB Invoices Aug,summer dip
2026-09,cafe wholesale revenue,revenue,5115.75,,,QB Invoices Sep,school back
2026-10,cafe wholesale revenue,revenue,5342.00,,,QB Invoices Oct,pumpkin line running
2026-11,cafe wholesale revenue,revenue,5468.50,,,QB Invoices Nov,three cafes standing
2026-11,custom orders revenue,revenue,3110.00,,,QB Invoices Nov,thanksgiving custom pipeline
2026-01,ingredient cost butter,cogs,412.00,,,QB Bills Jan,King Arthur account
2026-06,ingredient cost butter,cogs,455.00,,,QB Bills Jun,King Arthur account
2026-09,ingredient cost butter,cogs,502.00,,,QB Bills Sep,king arthur increase 4.20 lb
2026-11,ingredient cost butter,cogs,548.00,,,QB Bills Nov,king arthur increase 4.35 lb
2026-11,ingredient cost flour,cogs,286.00,,,QB Bills Nov,king arthur high protein
2026-11,ingredient cost sugar,cogs,142.00,,,QB Bills Nov,restaurant depot
2026-11,ingredient cost spice mix,cogs,88.00,,,QB Bills Nov,penzeys spice
2026-11,ingredient cost chestnut cream,cogs,124.00,,,QB Bills Nov,imported bourbon barrel
2026-11,ingredient cost dairy other,cogs,196.00,,,QB Bills Nov,restaurant depot
2026-11,packaging boxes,cogs,214.00,,,QB Bills Nov,uline holiday order
2026-11,packaging ribbon and labels,cogs,68.00,,,QB Bills Nov,uline
2026-11,signature holiday pie unit cost,cogs,,42,11.80,QB Bills Nov derived,Nov production run of 42 pies
2026-10,signature holiday pie unit cost,cogs,,18,10.90,QB Bills Oct derived,Oct test batch of 18 pies
2026-Q4,holiday line revenue projection,revenue,9650.00,,,QB derived,based on Oct + Nov actuals through 2026-11-30
2026-11,marina studio distribution,expense_studio,0.00,,,QB memo,studio finance walled at Gusto not here
2026-11,personal draw,owner draw,3200.00,,,QB owner memo,books of record confirmed
2026-01,custom orders revenue,revenue,640.00,,,QB Invoices Jan,new year cakes
2026-02,custom orders revenue,revenue,910.00,,,QB Invoices Feb,valentine boxes
2026-05,custom orders revenue,revenue,1180.00,,,QB Invoices May,graduation and mother day
2026-10,custom orders revenue,revenue,1420.00,,,QB Invoices Oct,pumpkin custom orders
2026-02,ingredient cost butter,cogs,420.00,,,QB Bills Feb,King Arthur account
2026-03,ingredient cost butter,cogs,438.00,,,QB Bills Mar,King Arthur account
2026-04,ingredient cost butter,cogs,446.00,,,QB Bills Apr,King Arthur account
2026-10,ingredient cost butter,cogs,524.00,,,QB Bills Oct,king arthur 4.30 lb
2026-01,ingredient cost flour,cogs,242.00,,,QB Bills Jan,king arthur high protein
2026-06,ingredient cost flour,cogs,258.00,,,QB Bills Jun,king arthur high protein
2026-09,ingredient cost flour,cogs,271.00,,,QB Bills Sep,king arthur high protein
2026-10,ingredient cost flour,cogs,279.00,,,QB Bills Oct,king arthur high protein
2026-01,ingredient cost sugar,cogs,118.00,,,QB Bills Jan,restaurant depot
2026-06,ingredient cost sugar,cogs,126.00,,,QB Bills Jun,restaurant depot
2026-09,ingredient cost sugar,cogs,134.00,,,QB Bills Sep,restaurant depot
2026-10,ingredient cost eggs,cogs,168.00,,,QB Bills Oct,restaurant depot
2026-11,ingredient cost eggs,cogs,192.00,,,QB Bills Nov,restaurant depot holiday volume
2026-10,packaging boxes,cogs,146.00,,,QB Bills Oct,uline
2026-09,packaging boxes,cogs,98.00,,,QB Bills Sep,uline
2026-01,utilities gas and electric,expense,214.00,,,QB Bills Jan,con edison home bakery share
2026-06,utilities gas and electric,expense,188.00,,,QB Bills Jun,con edison home bakery share
2026-09,utilities gas and electric,expense,205.00,,,QB Bills Sep,con edison home bakery share
2026-11,utilities gas and electric,expense,246.00,,,QB Bills Nov,con edison holiday oven hours
2026-11,square processing fees,expense,86.40,,,QB Square deposits Nov,POS pickup card fees not wholesale
2026-10,square processing fees,expense,71.20,,,QB Square deposits Oct,POS pickup card fees not wholesale
2026-11,business insurance,expense,142.00,,,QB Bills Nov,home food business liability
2026-11,home kitchen license amortized,expense,38.00,,,QB memo,annual license spread monthly
2026-11,delivery cart and transit,expense,64.00,,,QB Bills Nov,no vehicle uses cart and car service for drops
2026-11,ingredient cost butter,cogs,548.00,42,13.05,QB Bills Nov derived,butter share allocated to Nov pie run reference only
2026-Q4,holiday line revenue actual to date,revenue,7180.00,,,QB derived,Oct plus Nov booked custom and holiday line through 2026-11-30

