type,title,author_or_host,status,note
book,The Bread Baker's Apprentice,Peter Reinhart,reference,"dog-eared, back on the shelf near the oven"
book,Tartine Bread,Chad Robertson,reference,"for the crust chapter, always"
book,The Creative Act,Rick Rubin,in progress,"ch 6, read in the fridge-rest gaps"
book,Somewhere Towards the End,Diana Athill,queued,Della's recommendation
book,Kitchen Confidential,Anthony Bourdain,finished,"reread, still holds up"
podcast,Proof (America's Test Kitchen),ATK,subscribed,the fermentation episode twice
podcast,The Splendid Table,Francis Lam,subscribed,Sunday drive listening
podcast,On Being,Krista Tippett,subscribed,cool-down after evening classes
podcast,The Daily,NYT,subscribed,"only the short ones, 3:45 is early enough"
audiobook,Braiding Sweetgrass,Robin Wall Kimmerer,in progress,"chapter a week, slow on purpose"
book,BraveTart,Stella Parks,reference,the pie dough section is bookmarked to death
book,The Elements of Baking,Katarina Cermelj,queued,for the allergen swaps on custom orders
book,Sister Outsider,Audre Lorde,in progress,a few pages on the recovery block days
book,The Warmth of Other Suns,Isabel Wilkerson,queued,"Natasha lent it, no rush"
book,Vibration Cooking,Vertamae Smart-Grosvenor,reference,"mom's copy, sweet potato pie notes"
podcast,Code Switch,NPR,subscribed,walking to the studio
podcast,Song Exploder,Hrishikesh Hirway,subscribed,when a track catches me on the morning list
podcast,How I Built This,Guy Raz,subscribed,the small-batch food founders episodes
audiobook,The Body Keeps the Score,Bessel van der Kolk,queued,Elena mentioned it for the shoulder stress
audiobook,Just Mercy,Bryan Stevenson,finished,long car-service rides to the depot
