order,track,artist,album,minutes,vibe,year,tempo
1,Sunrise,Norah Jones,Feels Like Home,3.4,soft start,2004,slow
2,Harvest Moon,Neil Young,Harvest Moon,5.0,warm-up,1992,slow
3,Holocene,Bon Iver,Bon Iver,5.6,dough shaping,2011,slow
4,Coffee,Sylvan Esso,Sylvan Esso,4.1,pick up pace,2014,mid
5,Dog Days Are Over,Florence + The Machine,Lungs,4.2,oven load push,2009,up
6,Rivers and Roads,The Head and the Heart,The Head and the Heart,4.6,steady,2011,mid
7,Landslide,Fleetwood Mac,Fleetwood Mac,3.3,slow down,1975,slow
8,First Day of My Life,Bright Eyes,I'm Wide Awake It's Morning,3.1,plating,2005,slow
9,Vienna,Billy Joel,The Stranger,3.6,winding down,1977,mid
10,Northern Sky,Nick Drake,Bryter Layter,3.7,last trays,1971,slow
11,Re: Stacks,Bon Iver,For Emma Forever Ago,6.4,soft start,2008,slow
12,The Night We Met,Lord Huron,Strange Trails,3.4,dough shaping,2015,slow
13,Skinny Love,Bon Iver,For Emma Forever Ago,3.9,warm-up,2008,mid
14,Lakehouse,Of Monsters and Men,My Head Is an Animal,3.6,pick up pace,2011,mid
15,Ho Hey,The Lumineers,The Lumineers,2.7,oven load push,2012,up
16,Shake It Out,Florence + The Machine,Ceremonials,4.4,oven load push,2011,up
17,Fast Car,Tracy Chapman,Tracy Chapman,4.9,steady,1988,mid
18,Both Sides Now,Joni Mitchell,Clouds,4.6,slow down,1969,slow
19,Motion Picture Soundtrack,Radiohead,Kid A,7.0,plating,2000,slow
20,Pink Moon,Nick Drake,Pink Moon,2.1,winding down,1972,slow
21,These Days,Nico,Chelsea Girl,3.5,last trays,1967,slow
22,River,Joni Mitchell,Blue,4.0,winding down,1971,slow
