pair,base,currency,amount
BTC-USD,BTC,USD,71850.00
ETH-USD,ETH,USD,3680.00
USDC-USD,USDC,USD,1.00
BTC-USD-e001,BTC,USD,71850.00
ETH-USD-e001,ETH,USD,3680.00
USDC-USD-e001,USDC,USD,1.00
BTC-USD-e002,BTC,USD,71850.00
ETH-USD-e002,ETH,USD,3680.00
USDC-USD-e002,USDC,USD,1.00
BTC-USD-e003,BTC,USD,71850.00
ETH-USD-e003,ETH,USD,3680.00
USDC-USD-e003,USDC,USD,1.00
BTC-USD-e004,BTC,USD,71850.00
ETH-USD-e004,ETH,USD,3680.00
USDC-USD-e004,USDC,USD,1.00
BTC-USD-e005,BTC,USD,71850.00
ETH-USD-e005,ETH,USD,3680.00
USDC-USD-e005,USDC,USD,1.00
BTC-USD-e006,BTC,USD,71850.00
ETH-USD-e006,ETH,USD,3680.00
USDC-USD-e006,USDC,USD,1.00
BTC-USD-e007,BTC,USD,71850.00
ETH-USD-e007,ETH,USD,3680.00
USDC-USD-e007,USDC,USD,1.00
BTC-USD-e008,BTC,USD,71850.00
ETH-USD-e008,ETH,USD,3680.00
USDC-USD-e008,USDC,USD,1.00
BTC-USD-e009,BTC,USD,71850.00
ETH-USD-e009,ETH,USD,3680.00
USDC-USD-e009,USDC,USD,1.00
BTC-USD-e010,BTC,USD,71850.00
ETH-USD-e010,ETH,USD,3680.00
USDC-USD-e010,USDC,USD,1.00
BTC-USD-e011,BTC,USD,71850.00
ETH-USD-e011,ETH,USD,3680.00
USDC-USD-e011,USDC,USD,1.00
BTC-USD-e012,BTC,USD,71850.00
ETH-USD-e012,ETH,USD,3680.00
USDC-USD-e012,USDC,USD,1.00
BTC-USD-e013,BTC,USD,71850.00
ETH-USD-e013,ETH,USD,3680.00
USDC-USD-e013,USDC,USD,1.00
BTC-USD-e014,BTC,USD,71850.00
ETH-USD-e014,ETH,USD,3680.00
USDC-USD-e014,USDC,USD,1.00
BTC-USD-e015,BTC,USD,71850.00
ETH-USD-e015,ETH,USD,3680.00
USDC-USD-e015,USDC,USD,1.00
BTC-USD-e016,BTC,USD,71850.00
ETH-USD-e016,ETH,USD,3680.00
USDC-USD-e016,USDC,USD,1.00
BTC-USD-e017,BTC,USD,71850.00
ETH-USD-e017,ETH,USD,3680.00
USDC-USD-e017,USDC,USD,1.00
BTC-USD-e018,BTC,USD,71850.00
ETH-USD-e018,ETH,USD,3680.00
USDC-USD-e018,USDC,USD,1.00
BTC-USD-e019,BTC,USD,71850.00
ETH-USD-e019,ETH,USD,3680.00
USDC-USD-e019,USDC,USD,1.00
BTC-USD-e020,BTC,USD,71850.00
ETH-USD-e020,ETH,USD,3680.00
USDC-USD-e020,USDC,USD,1.00
BTC-USD-e021,BTC,USD,71850.00
ETH-USD-e021,ETH,USD,3680.00
USDC-USD-e021,USDC,USD,1.00
BTC-USD-e022,BTC,USD,71850.00
ETH-USD-e022,ETH,USD,3680.00
USDC-USD-e022,USDC,USD,1.00
BTC-USD-e023,BTC,USD,71850.00
ETH-USD-e023,ETH,USD,3680.00
USDC-USD-e023,USDC,USD,1.00
BTC-USD-e024,BTC,USD,71850.00
ETH-USD-e024,ETH,USD,3680.00
USDC-USD-e024,USDC,USD,1.00
BTC-USD-e025,BTC,USD,71850.00
ETH-USD-e025,ETH,USD,3680.00
USDC-USD-e025,USDC,USD,1.00
BTC-USD-e026,BTC,USD,71850.00
ETH-USD-e026,ETH,USD,3680.00
