tracking_number,service_type,service_name,ship_date,origin_zip,dest_zip,weight_lb,currency,net_charge,label_url
794612035840,FEDEX_2_DAY,FedEx 2Day,2026-01-08,78209,80203,3.4,USD,26.97,https://fedex.example/labels/794612035840.pdf
794612035841,FEDEX_GROUND,FedEx Ground,2026-01-21,78209,80203,6.9,USD,39.88,https://fedex.example/labels/794612035841.pdf
794612035842,FEDEX_GROUND,FedEx Ground,2026-02-06,78209,80203,10.9,USD,38.54,https://fedex.example/labels/794612035842.pdf
794612035843,FEDEX_EXPRESS_SAVER,FedEx Express Saver,2026-02-18,78209,80203,3.3,USD,22.21,https://fedex.example/labels/794612035843.pdf
794612035844,FEDEX_EXPRESS_SAVER,FedEx Express Saver,2026-03-02,78209,80203,5.8,USD,26.62,https://fedex.example/labels/794612035844.pdf
794612035845,FEDEX_EXPRESS_SAVER,FedEx Express Saver,2026-03-18,78209,80203,8.6,USD,33.26,https://fedex.example/labels/794612035845.pdf
794612035846,FEDEX_EXPRESS_SAVER,FedEx Express Saver,2026-03-31,78209,80203,3.6,USD,20.98,https://fedex.example/labels/794612035846.pdf
794612035847,FEDEX_2_DAY,FedEx 2Day,2026-04-16,78209,80203,5.5,USD,36.65,https://fedex.example/labels/794612035847.pdf
794612035848,FEDEX_2_DAY,FedEx 2Day,2026-04-28,78209,80203,5.1,USD,32.95,https://fedex.example/labels/794612035848.pdf
794612035849,FEDEX_2_DAY,FedEx 2Day,2026-05-13,78209,80203,9.7,USD,37.28,https://fedex.example/labels/794612035849.pdf
794612035850,FEDEX_GROUND,FedEx Ground,2026-05-25,78209,80203,8.0,USD,32.61,https://fedex.example/labels/794612035850.pdf
794612035851,FEDEX_EXPRESS_SAVER,FedEx Express Saver,2026-06-08,78209,80203,7.2,USD,38.25,https://fedex.example/labels/794612035851.pdf
794612035852,FEDEX_GROUND,FedEx Ground,2026-06-21,78209,80203,11.9,USD,59.02,https://fedex.example/labels/794612035852.pdf
794612035853,FEDEX_2_DAY,FedEx 2Day,2026-07-06,78209,80203,7.8,USD,39.61,https://fedex.example/labels/794612035853.pdf
794612035854,FEDEX_EXPRESS_SAVER,FedEx Express Saver,2026-07-18,78209,80203,8.8,USD,32.88,https://fedex.example/labels/794612035854.pdf
794612035855,FEDEX_GROUND,FedEx Ground,2026-07-31,78209,80203,4.6,USD,27.31,https://fedex.example/labels/794612035855.pdf
794612035856,FEDEX_2_DAY,FedEx 2Day,2026-08-13,78209,80203,10.1,USD,56.50,https://fedex.example/labels/794612035856.pdf
794612035857,FEDEX_2_DAY,FedEx 2Day,2026-08-27,78209,80203,5.4,USD,24.85,https://fedex.example/labels/794612035857.pdf
794612035858,FEDEX_GROUND,FedEx Ground,2026-09-08,78209,80203,3.7,USD,27.13,https://fedex.example/labels/794612035858.pdf
794612035859,FEDEX_GROUND,FedEx Ground,2026-09-21,78209,80203,4.5,USD,22.85,https://fedex.example/labels/794612035859.pdf
794612035860,FEDEX_GROUND,FedEx Ground,2026-10-04,78209,80203,6.1,USD,28.84,https://fedex.example/labels/794612035860.pdf
794612035861,FEDEX_GROUND,FedEx Ground,2026-10-18,78209,80203,8.2,USD,41.29,https://fedex.example/labels/794612035861.pdf
794612035862,FEDEX_GROUND,FedEx Ground,2026-11-01,78209,80203,4.2,USD,24.34,https://fedex.example/labels/794612035862.pdf
794612035863,FEDEX_2_DAY,FedEx 2Day,2026-11-13,78209,80203,10.8,USD,56.68,https://fedex.example/labels/794612035863.pdf
794612035864,FEDEX_2_DAY,FedEx 2Day,2026-11-28,78209,80203,5.6,USD,25.60,https://fedex.example/labels/794612035864.pdf
794612035865,FEDEX_EXPRESS_SAVER,FedEx Express Saver,2026-12-13,78209,80203,8.0,USD,37.44,https://fedex.example/labels/794612035865.pdf
794612035866,FEDEX_GROUND,FedEx Ground,2026-12-27,78209,80203,9.2,USD,40.44,https://fedex.example/labels/794612035866.pdf
794612035867,FEDEX_GROUND,FedEx Ground,2027-01-10,78209,80203,10.4,USD,46.82,https://fedex.example/labels/794612035867.pdf
794612035868,FEDEX_2_DAY,FedEx 2Day,2027-01-25,78209,80203,6.0,USD,37.20,https://fedex.example/labels/794612035868.pdf
794612035869,FEDEX_EXPRESS_SAVER,FedEx Express Saver,2027-02-09,78209,80203,12.7,USD,38.56,https://fedex.example/labels/794612035869.pdf
794612035870,FEDEX_GROUND,FedEx Ground,2027-02-22,78209,80203,3.2,USD,22.23,https://fedex.example/labels/794612035870.pdf
794612035871,FEDEX_EXPRESS_SAVER,FedEx Express Saver,2027-03-08,78209,80203,6.5,USD,31.09,https://fedex.example/labels/794612035871.pdf
794612035872,FEDEX_GROUND,FedEx Ground,2027-03-20,78209,80203,10.5,USD,49.65,https://fedex.example/labels/794612035872.pdf
794612035873,FEDEX_2_DAY,FedEx 2Day,2027-04-03,78209,80203,11.2,USD,40.90,https://fedex.example/labels/794612035873.pdf
794612035874,FEDEX_GROUND,FedEx Ground,2027-04-17,78209,80203,8.2,USD,35.72,https://fedex.example/labels/794612035874.pdf
794612035875,FEDEX_EXPRESS_SAVER,FedEx Express Saver,2027-05-03,78209,80203,10.0,USD,56.75,https://fedex.example/labels/794612035875.pdf
794612035876,FEDEX_GROUND,FedEx Ground,2027-05-15,78209,80203,4.6,USD,25.60,https://fedex.example/labels/794612035876.pdf
794612035877,FEDEX_2_DAY,FedEx 2Day,2027-05-29,78209,80203,9.0,USD,51.00,https://fedex.example/labels/794612035877.pdf
794612035878,FEDEX_GROUND,FedEx Ground,2027-06-11,78209,80203,8.9,USD,37.23,https://fedex.example/labels/794612035878.pdf
794612035879,FEDEX_GROUND,FedEx Ground,2027-06-25,78209,80203,11.0,USD,60.59,https://fedex.example/labels/794612035879.pdf
794612035880,FEDEX_GROUND,FedEx Ground,2027-07-07,78209,80203,5.8,USD,33.93,https://fedex.example/labels/794612035880.pdf
794612035881,FEDEX_EXPRESS_SAVER,FedEx Express Saver,2027-07-23,78209,80203,8.0,USD,29.25,https://fedex.example/labels/794612035881.pdf
794612035882,FEDEX_2_DAY,FedEx 2Day,2027-08-08,78209,80203,9.7,USD,54.32,https://fedex.example/labels/794612035882.pdf
794612035883,FEDEX_GROUND,FedEx Ground,2027-08-24,78209,80203,11.5,USD,53.79,https://fedex.example/labels/794612035883.pdf
794612035884,FEDEX_GROUND,FedEx Ground,2027-09-09,78209,80203,10.4,USD,53.94,https://fedex.example/labels/794612035884.pdf
794612035885,FEDEX_EXPRESS_SAVER,FedEx Express Saver,2027-09-23,78209,80203,4.0,USD,27.80,https://fedex.example/labels/794612035885.pdf
794612035886,FEDEX_EXPRESS_SAVER,FedEx Express Saver,2027-10-07,78209,80203,10.0,USD,39.03,https://fedex.example/labels/794612035886.pdf
794612035887,FEDEX_2_DAY,FedEx 2Day,2027-10-23,78209,80203,6.2,USD,39.78,https://fedex.example/labels/794612035887.pdf
794612035888,FEDEX_GROUND,FedEx Ground,2027-11-05,78209,80203,9.9,USD,56.12,https://fedex.example/labels/794612035888.pdf
