tracking_number,status_code,status_description,carrier_code,service_name,ship_date,estimated_delivery,latest_event,latest_event_location,latest_event_time
794612035840,DL,Delivered,FDXE,FedEx 2Day,2026-01-08,2026-01-10,Delivered,"Denver, CO",2026-01-10T18:00:00Z
794612035841,DL,Delivered,FDXG,FedEx Ground,2026-01-21,2026-01-25,Delivered,"Denver, CO",2026-01-25T08:00:00Z
794612035842,DL,Delivered,FDXG,FedEx Ground,2026-02-06,2026-02-08,Delivered,"Denver, CO",2026-02-08T20:00:00Z
794612035843,DL,Delivered,FDXE,FedEx Express Saver,2026-02-18,2026-02-21,Delivered,"Denver, CO",2026-02-21T09:00:00Z
794612035844,DL,Delivered,FDXE,FedEx Express Saver,2026-03-02,2026-03-05,Delivered,"Denver, CO",2026-03-05T06:00:00Z
794612035845,DL,Delivered,FDXE,FedEx Express Saver,2026-03-18,2026-03-20,Delivered,"Denver, CO",2026-03-20T13:00:00Z
794612035846,DL,Delivered,FDXE,FedEx Express Saver,2026-03-31,2026-04-03,Delivered,"Denver, CO",2026-04-03T14:00:00Z
794612035847,DL,Delivered,FDXE,FedEx 2Day,2026-04-16,2026-04-20,Delivered,"Denver, CO",2026-04-20T09:00:00Z
794612035848,DL,Delivered,FDXE,FedEx 2Day,2026-04-28,2026-04-30,Delivered,"Denver, CO",2026-04-30T19:00:00Z
794612035849,DL,Delivered,FDXE,FedEx 2Day,2026-05-13,2026-05-17,Delivered,"Denver, CO",2026-05-17T19:00:00Z
794612035850,DL,Delivered,FDXG,FedEx Ground,2026-05-25,2026-05-29,Delivered,"Denver, CO",2026-05-29T10:00:00Z
794612035851,DL,Delivered,FDXE,FedEx Express Saver,2026-06-08,2026-06-11,Delivered,"Denver, CO",2026-06-11T08:00:00Z
794612035852,DL,Delivered,FDXG,FedEx Ground,2026-06-21,2026-06-23,Delivered,"Denver, CO",2026-06-23T14:00:00Z
794612035853,DL,Delivered,FDXE,FedEx 2Day,2026-07-06,2026-07-10,Delivered,"Denver, CO",2026-07-10T13:00:00Z
794612035854,DL,Delivered,FDXE,FedEx Express Saver,2026-07-18,2026-07-21,Delivered,"Denver, CO",2026-07-21T11:00:00Z
794612035855,DL,Delivered,FDXG,FedEx Ground,2026-07-31,2026-08-04,Delivered,"Denver, CO",2026-08-04T16:00:00Z
794612035856,DL,Delivered,FDXE,FedEx 2Day,2026-08-13,2026-08-15,Delivered,"Denver, CO",2026-08-15T08:00:00Z
794612035857,DL,Delivered,FDXE,FedEx 2Day,2026-08-27,2026-08-29,Delivered,"Denver, CO",2026-08-29T11:00:00Z
794612035858,DL,Delivered,FDXG,FedEx Ground,2026-09-08,2026-09-12,Delivered,"Denver, CO",2026-09-12T18:00:00Z
794612035859,DL,Delivered,FDXG,FedEx Ground,2026-09-21,2026-09-23,Delivered,"Denver, CO",2026-09-23T06:00:00Z
794612035860,DL,Delivered,FDXG,FedEx Ground,2026-10-04,2026-10-07,Delivered,"Denver, CO",2026-10-07T17:00:00Z
794612035861,DL,Delivered,FDXG,FedEx Ground,2026-10-18,2026-10-22,Delivered,"Denver, CO",2026-10-22T17:00:00Z
794612035862,DL,Delivered,FDXG,FedEx Ground,2026-11-01,2026-11-03,Delivered,"Denver, CO",2026-11-03T13:00:00Z
794612035863,DL,Delivered,FDXE,FedEx 2Day,2026-11-13,2026-11-15,Delivered,"Denver, CO",2026-11-15T09:00:00Z
794612035864,IT,In transit,FDXE,FedEx 2Day,2026-11-28,2026-11-30,Departed FedEx hub,"Memphis, TN",2026-11-30T18:00:00Z
794612035865,IT,In transit,FDXE,FedEx Express Saver,2026-12-13,2026-12-17,Departed FedEx hub,"Memphis, TN",2026-12-17T20:00:00Z
