Date	Distance (km)	Duration (min)	Avg Pace (min/km)	Weather	Notes
5 Jan 2026	8.2	52	6.34	Clear 22C	First run of the year. Good energy.
7 Jan 2026	8.0	51	6.22	Overcast 20C	Emmarentia Dam loop. Ran with club.
10 Jan 2026	8.5	54	6.21	Clear 24C	Recorded voice memo mid-run on ideas.
12 Jan 2026	5.0	32	6.24	Light rain 18C	Shortened due to rain.
14 Jan 2026	10.0	64	6.24	Clear 22C	First 10k since December. Felt strong.
17 Jan 2026	8.2	53	6.34	Sunny 26C	Hot. Hydration issue in last km.
19 Jan 2026	8.0	51	6.22	Overcast 21C	Ran alone. Good thinking run.
21 Jan 2026	12.0	78	6.30	Clear 23C	Longest run yet. Club long run day.
24 Jan 2026	8.0	50	6.15	Clear 21C	Slightly faster pace today.
26 Jan 2026	5.0	31	6.12	Misty 19C	Rest week taper. Easy effort.
28 Jan 2026	8.5	54	6.21	Clear 22C	Back to full distance.
31 Jan 2026	14.0	91	6.30	Sunny 25C	14k done. Half-marathon build on track.
4 Feb 2026	8.2	53	6.34	Clear 24C	Post-show run. Needed it.
7 Feb 2026	15.0	98	6.32	Overcast 20C	15k pb. Legs held up well.
9 Feb 2026	5.0	32	6.24	Clear 23C	Recovery run between long efforts.
11 Feb 2026	8.0	51	6.22	Sunny 26C	Hot run. Club Wednesday session.
14 Feb 2026	16.0	104	6.30	Clear 22C	16k pb. Feeling like a real runner.
18 Feb 2026	8.2	52	6.22	Overcast 21C	Steady midweek effort.
21 Feb 2026	18.0	117	6.30	Clear 23C	18k. Longest ever. Legs tired but proud.
25 Feb 2026	5.0	31	6.12	Misty 18C	Easy taper before 20k attempt.
28 Feb 2026	20.0	130	6.30	Clear 22C	20k done. Half-marathon in reach.
