Date	Session Type	Vocal Coach Session	Pre-Show Routine Followed	Post-Show Condition (1-5)	Notes
6 Jan 2026	Show	No	Yes	4	Good show. Minor dryness in final segment.
7 Jan 2026	Show	No	Yes	4	Felt sharp. Good guest energy.
8 Jan 2026	Coaching	Yes	N/A	5	Thembeka session. Worked on breath support and resonance.
9 Jan 2026	Show	No	Yes	4	Slight edge from cold air. Used more honey.
13 Jan 2026	Show	No	Yes	3	Tired voice. Late night before. Noted.
14 Jan 2026	Show	No	Yes	4	Recovered well.
22 Jan 2026	Coaching	Yes	N/A	5	Thembeka session. Pitch control exercises.
26 Jan 2026	Show	No	Yes	4	Good Tuesday Voices show. Guest was excellent.
27 Jan 2026	Show	No	Yes	4	Solid. Sipho flagged one mic pop.
3 Feb 2026	Coaching	Yes	N/A	5	Thembeka happy with progress. Stamina better.
5 Feb 2026	Show	No	Yes	4	Conference travel week upcoming. Voice held well.
10 Feb 2026	Show	No	Yes	4	Post-conference voice slightly tired.
17 Feb 2026	Coaching	Yes	N/A	5	Rest period helped. Best coaching session in months.
18 Feb 2026	Show	No	Yes	5	Sharp show. Best in four weeks.
19 Feb 2026	Show	No	Yes	4	Good energy.
20 Feb 2026	Show	No	Yes	4	Routine Friday. Voice in good shape.
24 Feb 2026	Show	No	Yes	3	Slight strain in last 20 minutes. Hydration issue.
25 Feb 2026	Rest	No	Yes	5	Rest day. Warm water and honey. Early night.
