Date	Store	Items (Brief Description)	Amount (ZAR)	Payment Method
5 Jan 2026	Woolworths Food Melville	Produce, dairy, bread, coffee beans	620.00	FNB Visa
8 Jan 2026	Checkers Northcliff	Cleaning supplies, washing powder, olive oil, pasta	388.00	FNB Visa
12 Jan 2026	Woolworths Food Melville	Chicken thighs, salad, eggs, yoghurt, honey	540.00	FNB Visa
15 Jan 2026	Melville Farmer's Market	Vegetables, sourdough, artisan cheese	302.00	Cash
19 Jan 2026	Woolworths Food Melville	Salmon, broccoli, sweet potatoes, oat milk	490.00	FNB Visa
22 Jan 2026	Checkers Northcliff	Cleaning products, coffee pods, sparkling water	268.00	FNB Visa
26 Jan 2026	Woolworths Food Melville	Fruit, vegetables, lean mince, pasta sauce	440.00	FNB Visa
29 Jan 2026	Melville Farmer's Market	Honey, herb seedlings, chilli jam	218.00	Cash
2 Feb 2026	Woolworths Food Melville	Grocery shop for week. Produce, protein, dairy	612.00	FNB Visa
5 Feb 2026	Checkers Northcliff	Bulk staples before conference trip	380.00	FNB Visa
16 Feb 2026	Woolworths Food Melville	Post-trip fresh produce and dairy restock	502.00	FNB Visa
19 Feb 2026	Melville Farmer's Market	Tomatoes, eggs, fresh herbs, lemon curd	196.00	Cash
23 Feb 2026	Woolworths Food Melville	Chicken, rice, salad greens, yoghurt	490.00	FNB Visa
26 Feb 2026	Checkers Northcliff	Household items, cleaning supplies, coffee	344.00	FNB Visa
