Category	Planned (ZAR)	Actual Jan (ZAR)	Variance Jan	Actual Feb (ZAR)	Variance Feb
Rent	12000.00	12000.00	0.00	12000.00	0.00
VW Polo installment	4500.00	4500.00	0.00	4500.00	0.00
Discovery Health premium	3210.00	3210.00	0.00	3210.00	0.00
Outsurance vehicle premium	1480.00	1480.00	0.00	1480.00	0.00
Savings transfer	8000.00	8000.00	0.00	8000.00	0.00
Groceries	2200.00	3050.00	-850.00	2100.00	100.00 (2 shops)
Dining and coffee	2500.00	1640.00	860.00	2840.00	-340.00
Petrol	1000.00	920.00	80.00	980.00	20.00
Gym and yoga	980.00	980.00	0.00	980.00	0.00
Thembeka Zwane vocal coaching	2500.00	2500.00	0.00	2500.00	0.00
Dr Zanele Mkhize therapy copay	600.00	600.00	0.00	600.00	0.00
Phone and internet	899.00	899.00	0.00	899.00	0.00
Subscriptions (Spotify etc)	350.00	310.98	39.02	310.98	39.02
Clothing	1500.00	0.00	1500.00	680.00	820.00
Carmen contribution	3000.00	3000.00	0.00	3000.00	0.00
Miscellaneous	1500.00	612.00	888.00	1210.00	290.00
TOTAL SPEND	46219.00	43701.98	2517.02	45289.98	929.02
Monthly salary	65000.00	65000.00		65000.00	
Buffer after spend	18781.00	21298.02		19710.02	
