Episode No	Guest Name	Story Angle	Source Connection	Priority	Status
1	Redi Tlhabi	Building a public voice outside a major institution	Personal network via conference	High	Not yet approached
2	Niren Tolsi	The ethics of covering trauma in South African journalism	Media Review Africa	High	Not yet approached
3	Carien du Plessis	Political reporting across three SA governments	Journalism contact from 2023	Medium	Research stage
4	Sisonke Msimang	Memoir, public writing, and the weight of representing identity	Personal reading list	High	Not yet approached
5	Sam Cowen	Moving from commercial radio to independent podcast and back	Radio industry contact	Medium	Research stage
6	Mandy Wiener	Investigative journalism and the personal cost of long exposés	Conference panel 2024	High	Not yet approached
7	Ferial Haffajee	Newsroom leadership and editorial courage in a fractured media economy	Media industry event	Medium	Notes only
8	Alex Eliseev	Crime reporting and how to keep the subject human	Media Online interview 2025	Medium	Research stage
9	Kagiso Molefe	Documentary filmmaking and the ethics of community stories	Personal relationship	Low	On hold: conflict of interest
10	Reverend Grace Moyo	Faith broadcasting and community radio as civic service	Existing guest relationship	Medium	Notes only
