sale_id,sale_at,sku,qty,unit_price_usd,payment_method,event_tag
SQ-000001,2025-11-16T18:19:00-07:00,CR-PATCH-004,3,7.92,cash,fall_ops
SQ-000002,2025-11-26T15:30:00-07:00,CR-KIT-002,3,52.47,card,fall_ops
SQ-000003,2025-11-17T19:29:00-07:00,CR-KIT-004,2,7.42,cash,fall_ops
SQ-000004,2025-11-28T20:20:00-07:00,CR-KIT-004,1,7.42,cash,fall_ops
SQ-000005,2025-11-08T15:21:00-07:00,CR-KIT-005,3,40.38,card,fall_ops
SQ-000006,2025-11-24T13:41:00-07:00,CR-KIT-003,1,58.66,card,fall_ops
SQ-000007,2025-11-19T19:50:00-07:00,CR-PATCH-003,3,41.1,card,fall_ops
SQ-000008,2025-11-21T10:41:00-07:00,CR-PATCH-005,3,54.15,card,fall_ops
SQ-000009,2025-11-20T17:36:00-07:00,CR-PATCH-006,1,27.29,card,fall_ops
SQ-000010,2025-11-17T09:07:00-07:00,CR-PATCH-002,3,58.34,card,fall_ops
SQ-000011,2025-11-09T12:15:00-07:00,CR-PATCH-003,3,41.1,cash,fall_ops
SQ-000012,2025-11-26T17:38:00-07:00,CR-TOWEL-001,2,12.25,cash,fall_ops
SQ-000013,2025-11-02T16:55:00-07:00,CR-PATCH-007,1,34.33,card,fall_ops
SQ-000014,2025-11-06T15:01:00-07:00,CR-PATCH-004,3,7.92,card,fall_ops
SQ-000015,2025-11-09T10:07:00-07:00,CR-KIT-005,1,40.38,card,fall_ops
SQ-000016,2025-11-05T11:16:00-07:00,CR-TOWEL-002,1,34.16,card,fall_ops
SQ-000017,2025-11-14T19:10:00-07:00,CR-TOWEL-002,1,34.16,card,fall_ops
SQ-000018,2025-11-01T20:03:00-07:00,CR-GI-004,2,14.2,cash,fall_ops
SQ-000019,2025-11-11T11:26:00-07:00,CR-GI-002,2,39.31,card,fall_ops
SQ-000020,2025-11-27T10:03:00-07:00,CR-KIT-005,1,40.38,card,fall_ops
SQ-000021,2025-11-19T12:31:00-07:00,CR-KIT-001,3,12.34,cash,fall_ops
SQ-000022,2025-11-09T09:20:00-07:00,CR-GI-002,2,39.31,cash,fall_ops
SQ-000023,2025-11-16T09:26:00-07:00,CR-TOWEL-001,3,12.25,card,fall_ops
SQ-000024,2025-11-09T17:37:00-07:00,CR-PATCH-003,3,41.1,card,fall_ops
SQ-000025,2025-11-25T17:41:00-07:00,CR-GI-003,1,64.46,card,fall_ops
SQ-000026,2025-11-14T16:05:00-07:00,CR-PATCH-007,3,34.33,card,fall_ops
SQ-000027,2025-11-12T17:10:00-07:00,CR-KIT-004,1,7.42,cash,fall_ops
SQ-000028,2025-11-15T09:00:00-07:00,CR-PATCH-005,2,54.15,card,fall_ops
SQ-000029,2025-11-06T09:03:00-07:00,CR-DROPIN,2,18.0,card,fall_ops
SQ-000030,2025-11-09T19:24:00-07:00,CR-KIT-001,2,12.34,card,fall_ops
SQ-000031,2025-11-27T17:18:00-07:00,CR-PATCH-007,1,34.33,card,fall_ops
SQ-000032,2025-11-19T10:19:00-07:00,CR-PATCH-005,1,54.15,cash,fall_ops
SQ-000033,2025-11-27T11:46:00-07:00,CR-GI-002,3,39.31,card,fall_ops
SQ-000034,2025-11-07T18:32:00-07:00,CR-PATCH-004,2,7.92,card,fall_ops
SQ-000035,2025-11-09T20:28:00-07:00,CR-DROPIN,2,18.0,card,fall_ops
SQ-000036,2025-11-11T12:29:00-07:00,CR-KIT-002,3,52.47,card,fall_ops
SQ-000037,2025-11-23T11:41:00-07:00,CR-PATCH-003,1,41.1,cash,fall_ops
SQ-000038,2025-11-01T19:11:00-07:00,CR-PATCH-003,2,41.1,cash,fall_ops
SQ-000039,2025-11-18T10:50:00-07:00,CR-KIT-005,3,40.38,card,fall_ops
SQ-000040,2025-11-01T19:28:00-07:00,CR-PATCH-005,3,54.15,card,fall_ops
SQ-000041,2025-11-27T15:52:00-07:00,CR-PATCH-001,3,13.53,card,fall_ops
SQ-000042,2025-11-06T20:00:00-07:00,CR-KIT-005,1,40.38,cash,fall_ops
SQ-000043,2025-11-07T16:00:00-07:00,CR-PATCH-001,1,13.53,card,fall_ops
SQ-000044,2025-11-22T20:22:00-07:00,CR-PATCH-008,1,23.2,card,fall_ops
SQ-000045,2025-11-21T13:51:00-07:00,CR-KIT-001,3,12.34,card,fall_ops
SQ-000046,2025-11-16T14:02:00-07:00,CR-GI-003,2,64.46,cash,fall_ops
SQ-000047,2025-11-07T09:12:00-07:00,CR-KIT-001,3,12.34,cash,fall_ops
SQ-000048,2025-11-28T13:36:00-07:00,CR-GI-002,3,39.31,cash,fall_ops
SQ-000049,2025-11-18T12:42:00-07:00,CR-GI-004,3,14.2,card,fall_ops
SQ-000050,2025-11-19T11:47:00-07:00,CR-TOWEL-001,1,12.25,card,fall_ops
SQ-000051,2025-11-19T12:56:00-07:00,CR-PATCH-008,3,23.2,card,fall_ops
SQ-000052,2025-11-28T19:01:00-07:00,CR-PATCH-006,3,27.29,card,fall_ops
SQ-000053,2025-11-15T09:27:00-07:00,CR-PATCH-005,3,54.15,card,fall_ops
SQ-000054,2025-11-14T15:17:00-07:00,CR-KIT-002,1,52.47,cash,fall_ops
SQ-000055,2025-11-12T17:48:00-07:00,CR-PATCH-002,1,58.34,card,fall_ops
SQ-000056,2025-11-09T15:34:00-07:00,CR-TOWEL-003,2,29.52,card,fall_ops
SQ-000057,2025-11-13T12:21:00-07:00,CR-PATCH-003,1,41.1,card,fall_ops
SQ-000058,2025-11-23T15:04:00-07:00,CR-GI-003,1,64.46,card,fall_ops
SQ-000059,2025-11-11T13:04:00-07:00,CR-GI-004,3,14.2,card,fall_ops
SQ-000060,2025-11-16T15:51:00-07:00,CR-PATCH-003,1,41.1,card,fall_ops
SQ-000061,2025-11-08T10:30:00-07:00,CR-PATCH-008,1,23.2,card,fall_ops
SQ-000062,2025-11-27T14:33:00-07:00,CR-TOWEL-003,1,29.52,card,fall_ops
SQ-000063,2025-11-20T16:48:00-07:00,CR-KIT-001,1,12.34,cash,fall_ops
SQ-000064,2025-11-04T10:03:00-07:00,CR-PATCH-007,1,34.33,cash,fall_ops
SQ-000065,2025-11-28T20:04:00-07:00,CR-KIT-002,1,52.47,card,fall_ops
SQ-000066,2025-11-02T13:39:00-07:00,CR-KIT-003,3,58.66,cash,fall_ops
SQ-000067,2025-11-04T19:03:00-07:00,CR-TOWEL-001,3,12.25,card,fall_ops
SQ-000068,2025-11-28T15:25:00-07:00,CR-TOWEL-002,1,34.16,cash,fall_ops
SQ-000069,2025-11-28T18:50:00-07:00,CR-GI-003,3,64.46,card,fall_ops
SQ-000070,2025-11-13T16:50:00-07:00,CR-KIT-003,2,58.66,card,fall_ops
SQ-000071,2025-11-21T19:50:00-07:00,CR-KIT-002,1,52.47,cash,fall_ops
SQ-000072,2025-11-11T18:12:00-07:00,CR-GI-001,1,17.93,card,fall_ops
SQ-000073,2025-11-20T20:04:00-07:00,CR-PATCH-003,3,41.1,card,fall_ops
SQ-000074,2025-11-05T19:32:00-07:00,CR-PATCH-007,2,34.33,card,fall_ops
SQ-000075,2025-11-16T20:39:00-07:00,CR-PATCH-004,2,7.92,card,fall_ops
SQ-000076,2025-11-05T09:03:00-07:00,CR-GI-003,1,64.46,card,fall_ops
SQ-000077,2025-11-14T17:41:00-07:00,CR-PATCH-007,2,34.33,card,fall_ops
SQ-000078,2025-11-18T11:09:00-07:00,CR-PATCH-007,2,34.33,card,fall_ops
SQ-000079,2025-11-11T13:23:00-07:00,CR-KIT-001,1,12.34,card,fall_ops
SQ-000080,2025-11-08T17:52:00-07:00,CR-TOWEL-003,3,29.52,card,fall_ops
SQ-000081,2025-11-12T12:12:00-07:00,CR-PATCH-004,3,7.92,card,fall_ops
SQ-000082,2025-11-11T12:42:00-07:00,CR-TOWEL-001,2,12.25,cash,fall_ops
SQ-000083,2025-11-23T14:54:00-07:00,CR-KIT-001,3,12.34,card,fall_ops
SQ-000084,2025-11-10T15:21:00-07:00,CR-KIT-001,1,12.34,card,fall_ops
SQ-000085,2025-11-26T09:31:00-07:00,CR-KIT-003,1,58.66,card,fall_ops
