po_id,vendor,sku,unit_price_usd,qty,line_total_usd,order_date,expected_ship_date,commits_over_175_threshold
PO-2026-001,Tanaka Martial Supply,BOGU-MEN-STD,85.0,3,255.0,2026-09-01,2026-10-05,True
PO-2026-002,Tanaka Martial Supply,BOGU-DO-STD,65.0,4,260.0,2026-09-01,2026-10-05,True
PO-2026-003,Portland Kendo Supply,SHINAI-39-BAMBOO,22.0,6,132.0,2026-09-10,2026-09-28,False
PO-2026-004,Portland Kendo Supply,SHINAI-37-BAMBOO,20.0,8,160.0,2026-09-10,2026-09-28,False
PO-2026-005,Oregon Trophy Co,TROPHY-GOLD-KENDO,45.0,6,270.0,2026-09-05,2026-10-01,True
PO-2026-006,Oregon Trophy Co,MEDAL-SILVER-BULK,8.0,20,160.0,2026-09-05,2026-10-01,False
PO-2026-007,Tanaka Martial Supply,BOGU-KOTE-STD,55.0,5,275.0,2026-09-15,2026-10-08,True
PO-2026-008,Oregon Trophy Co,MEDAL-SILVER-BULK,8,1,8,2026-04-20,2026-04-27,False
PO-2026-009,Rain City Print,BANNER-VINYL-4X6,42,24,1008,2026-02-28,2026-03-19,True
PO-2026-010,Portland Kendo Supply,SHINAI-37-BAMBOO,20,15,300,2026-03-20,2026-03-30,True
PO-2026-011,Emerald First Aid,FIRSTAID-KIT-CLASS-B,68,20,1360,2026-07-28,2026-08-04,True
PO-2026-012,Metro Cleaning Supply,DISINFECTANT-GAL,12,20,240,2025-11-11,2025-11-24,True
PO-2026-013,Oregon Trophy Co,TROPHY-BRONZE-KENDO,30,1,30,2026-04-06,2026-04-14,False
PO-2026-014,Cascade Signage,SIGN-CORRUGATED-24X18,22,6,132,2026-08-23,2026-09-03,False
PO-2026-015,Portland Kendo Supply,SHINAI-39-BAMBOO,22,20,440,2025-12-21,2025-12-27,True
PO-2026-016,Tanaka Martial Supply,BOGU-MEN-STD,85,2,170,2026-04-30,2026-05-12,False
PO-2026-017,Portland Kendo Supply,BOKKEN-OAK,28,2,56,2026-01-04,2026-01-24,False
PO-2026-018,Rain City Print,STICKER-DOJO,1.0,24,24.0,2026-08-04,2026-08-25,False
PO-2026-019,Portland Kendo Supply,BOKKEN-OAK,28,15,420,2026-01-04,2026-01-18,True
PO-2026-020,Cascade Signage,SIGN-ALUMINUM-24X36,65,20,1300,2026-03-27,2026-04-16,True
PO-2026-021,Oregon Trophy Co,TROPHY-BRONZE-KENDO,30,10,300,2025-11-28,2025-12-08,True
PO-2026-022,Bridgetown Awards,CERTIFICATE-CUSTOM-25,42,24,1008,2026-02-05,2026-02-10,True
PO-2026-023,Metro Cleaning Supply,MICROFIBER-CLOTH-BULK,14,2,28,2026-01-22,2026-02-11,False
PO-2026-024,Portland Kendo Supply,BOKKEN-OAK,28,8,224,2026-08-07,2026-08-15,True
PO-2026-025,Portland Kendo Supply,BOKKEN-OAK,28,15,420,2026-09-26,2026-10-17,True
PO-2026-026,Oregon Trophy Co,MEDAL-GOLD-BULK,12,4,48,2025-11-30,2025-12-13,False
PO-2026-027,Coastal Water,CUP-DISPENSER,22,8,176,2025-12-08,2025-12-22,True
PO-2026-028,Oregon Trophy Co,MEDAL-GOLD-BULK,12,12,144,2026-07-13,2026-08-02,False
PO-2026-029,Bridgetown Awards,CERT-FRAME-11X14,18,5,90,2026-05-25,2026-06-14,False
PO-2026-030,Oregon Trophy Co,MEDAL-SILVER-BULK,8,4,32,2026-06-06,2026-06-26,False
PO-2026-031,Bridgetown Awards,CERT-FRAME-11X14,18,12,216,2025-11-19,2025-12-02,True
PO-2026-032,Metro Cleaning Supply,MICROFIBER-CLOTH-BULK,14,10,140,2026-07-24,2026-07-29,False
PO-2026-033,Metro Cleaning Supply,MOP-SET,18,2,36,2026-06-07,2026-06-27,False
PO-2026-034,Portland Kendo Supply,SUBURITO-95CM,34,12,408,2026-08-03,2026-08-22,True
PO-2026-035,Oregon Trophy Co,MEDAL-GOLD-BULK,12,1,12,2026-01-04,2026-01-24,False
