charge_id,student_id,amount_usd,charge_date,status,tier
ch_000001,CR-00001,95.0,2025-11-01,succeeded,monthly_95
ch_000002,CR-00002,95.0,2025-11-04,succeeded,monthly_95
ch_000003,CR-00003,95.0,2025-11-03,succeeded,monthly_95
ch_000004,CR-00004,95.0,2025-11-05,succeeded,monthly_95
ch_000005,CR-00005,95.0,2025-11-03,succeeded,monthly_95
ch_000006,CR-00006,95.0,2025-11-04,succeeded,monthly_95
ch_000007,CR-00007,95.0,2025-11-03,succeeded,monthly_95
ch_000008,CR-00008,95.0,2025-11-05,succeeded,monthly_95
ch_000009,CR-00009,95.0,2025-11-05,succeeded,monthly_95
ch_000010,CR-00010,95.0,2025-11-05,succeeded,monthly_95
ch_000011,CR-00011,95.0,2025-11-05,succeeded,monthly_95
ch_000012,CR-00012,95.0,2025-11-03,succeeded,monthly_95
ch_000013,CR-00013,95.0,2025-11-03,succeeded,monthly_95
ch_000014,CR-00014,95.0,2025-11-05,failed,monthly_95
ch_000015,CR-00015,95.0,2025-11-03,succeeded,monthly_95
ch_000016,CR-00016,95.0,2025-11-04,succeeded,monthly_95
ch_000017,CR-00017,95.0,2025-11-01,succeeded,monthly_95
ch_000018,CR-00019,95.0,2025-11-05,succeeded,monthly_95
ch_000019,CR-00020,95.0,2025-11-03,refunded,monthly_95
ch_000020,CR-00021,95.0,2025-11-04,succeeded,monthly_95
ch_000021,CR-00023,95.0,2025-11-04,succeeded,monthly_95
ch_000022,CR-00025,95.0,2025-11-01,succeeded,monthly_95
ch_000023,CR-00026,95.0,2025-11-05,succeeded,monthly_95
ch_000024,CR-00028,95.0,2025-11-03,succeeded,monthly_95
ch_000025,CR-00029,95.0,2025-11-03,succeeded,monthly_95
ch_000026,CR-00030,95.0,2025-11-02,succeeded,monthly_95
ch_000027,CR-00031,95.0,2025-11-04,succeeded,monthly_95
ch_000028,CR-00032,95.0,2025-11-05,succeeded,monthly_95
ch_000029,CR-00033,95.0,2025-11-02,succeeded,monthly_95
ch_000030,CR-00034,95.0,2025-11-02,succeeded,monthly_95
ch_000031,CR-00036,95.0,2025-11-02,succeeded,monthly_95
ch_000032,CR-00037,95.0,2025-11-02,succeeded,monthly_95
ch_000033,CR-00039,95.0,2025-11-02,succeeded,monthly_95
ch_000034,CR-00040,95.0,2025-11-04,succeeded,monthly_95
ch_000035,CR-00041,95.0,2025-11-01,succeeded,monthly_95
ch_000036,CR-00042,95.0,2025-11-02,succeeded,monthly_95
ch_000037,CR-00046,95.0,2025-11-01,succeeded,monthly_95
ch_000038,CR-00048,95.0,2025-11-03,succeeded,monthly_95
ch_000039,CR-00049,95.0,2025-11-01,succeeded,monthly_95
ch_000040,CR-00050,95.0,2025-11-04,succeeded,monthly_95
ch_000041,CR-00051,95.0,2025-11-01,succeeded,monthly_95
ch_000042,CR-00053,95.0,2025-11-01,succeeded,monthly_95
ch_000043,CR-00054,95.0,2025-11-04,succeeded,monthly_95
ch_000044,CR-00057,95.0,2025-11-03,succeeded,monthly_95
ch_000045,CR-00058,95.0,2025-11-05,succeeded,monthly_95
ch_000046,CR-00059,95.0,2025-11-03,succeeded,monthly_95
ch_000047,CR-EX-001,95.0,2025-11-01,succeeded,monthly_95
ch_000048,CR-EX-002,95.0,2025-11-02,succeeded,monthly_95
ch_000049,CR-EX-003,95.0,2025-11-02,succeeded,monthly_95
ch_000050,CR-EX-004,95.0,2025-11-03,succeeded,monthly_95
ch_000051,CR-EX-005,95.0,2025-11-03,failed,monthly_95
ch_000052,CR-EX-006,95.0,2025-11-04,succeeded,monthly_95
ch_000053,CR-EX-007,95.0,2025-11-01,succeeded,monthly_95
ch_000054,CR-EX-008,95.0,2025-11-05,succeeded,monthly_95
ch_000055,CR-EX-009,95.0,2025-11-04,succeeded,monthly_95
ch_000056,CR-EX-010,95.0,2025-11-02,succeeded,monthly_95
ch_000057,CR-EX-011,95.0,2025-11-01,succeeded,monthly_95
ch_000058,CR-EX-012,95.0,2025-11-04,succeeded,monthly_95
ch_000059,CR-EX-013,95.0,2025-11-05,succeeded,monthly_95
ch_000060,CR-EX-014,95.0,2025-11-01,succeeded,monthly_95
ch_000061,CR-EX-015,95.0,2025-11-02,succeeded,monthly_95
ch_000062,CR-EX-016,95.0,2025-11-01,succeeded,monthly_95
ch_000063,CR-EX-017,95.0,2025-11-02,succeeded,monthly_95
ch_000064,CR-EX-018,95.0,2025-11-05,succeeded,monthly_95
ch_000065,CR-EX-019,95.0,2025-11-03,succeeded,monthly_95
ch_000066,CR-EX-020,95.0,2025-11-04,succeeded,monthly_95
ch_000067,CR-EX-021,95.0,2025-11-01,succeeded,monthly_95
ch_000068,CR-EX-022,95.0,2025-11-03,succeeded,monthly_95
ch_000069,CR-EX-023,95.0,2025-11-03,succeeded,monthly_95
ch_000070,CR-EX-024,95.0,2025-11-04,succeeded,monthly_95
ch_000071,CR-EX-025,95.0,2025-11-05,succeeded,monthly_95
ch_000072,CR-EX-026,95.0,2025-11-04,succeeded,monthly_95
ch_000073,CR-EX-027,95.0,2025-11-02,succeeded,monthly_95
ch_000074,CR-EX-028,95.0,2025-11-03,succeeded,monthly_95
ch_000075,CR-EX-029,95.0,2025-11-03,succeeded,monthly_95
ch_000076,CR-EX-030,95.0,2025-11-05,succeeded,monthly_95
ch_000077,CR-EX-031,95.0,2025-11-05,succeeded,monthly_95
ch_000078,CR-EX-032,95.0,2025-11-05,succeeded,monthly_95
ch_000079,CR-EX-033,95.0,2025-11-03,succeeded,monthly_95
ch_000080,CR-EX-034,95.0,2025-11-05,succeeded,monthly_95
ch_000081,CR-EX-035,95.0,2025-11-01,succeeded,monthly_95
ch_000082,CR-EX-036,95.0,2025-11-05,succeeded,monthly_95
ch_000083,CR-EX-037,95.0,2025-11-02,succeeded,monthly_95
ch_000084,CR-EX-038,95.0,2025-11-05,succeeded,monthly_95
ch_000085,CR-EX-039,95.0,2025-11-05,succeeded,monthly_95
ch_000086,CR-EX-040,95.0,2025-11-01,succeeded,monthly_95
ch_000087,CR-EX-041,95.0,2025-11-05,succeeded,monthly_95
ch_000088,CR-EX-042,95.0,2025-11-02,succeeded,monthly_95
ch_000089,CR-EX-043,95.0,2025-11-04,succeeded,monthly_95
ch_000090,CR-EX-044,95.0,2025-11-02,succeeded,monthly_95
ch_000091,CR-EX-045,95.0,2025-11-03,succeeded,monthly_95
ch_000092,CR-EX-046,95.0,2025-11-03,succeeded,monthly_95
ch_000093,CR-EX-047,95.0,2025-11-05,succeeded,monthly_95
ch_000094,CR-EX-048,95.0,2025-11-01,succeeded,monthly_95
ch_000095,CR-EX-049,95.0,2025-11-02,succeeded,monthly_95
ch_000096,CR-EX-050,95.0,2025-11-01,succeeded,monthly_95
ch_000097,CR-EX-051,95.0,2025-11-04,succeeded,monthly_95
ch_000098,CR-EX-052,95.0,2025-11-01,succeeded,monthly_95
ch_000099,CR-EX-053,95.0,2025-11-04,succeeded,monthly_95
ch_000100,CR-EX-054,95.0,2025-11-05,succeeded,monthly_95
ch_000101,CR-EX-055,95.0,2025-11-05,succeeded,monthly_95
ch_000102,CR-EX-056,95.0,2025-11-03,succeeded,monthly_95
ch_000103,CR-EX-057,95.0,2025-11-01,succeeded,monthly_95
ch_000104,CR-EX-058,95.0,2025-11-02,failed,monthly_95
ch_000105,CR-EX-059,95.0,2025-11-01,succeeded,monthly_95
ch_000106,CR-EX-060,95.0,2025-11-01,succeeded,monthly_95
ch_000107,CR-EX-061,95.0,2025-11-04,succeeded,monthly_95
ch_000108,CR-EX-062,95.0,2025-11-01,succeeded,monthly_95
ch_000109,CR-EX-063,95.0,2025-11-03,succeeded,monthly_95
ch_000110,CR-EX-064,95.0,2025-11-01,succeeded,monthly_95
ch_000111,CR-EX-065,95.0,2025-11-01,succeeded,monthly_95
ch_000112,DROPIN,18.0,2025-11-17,succeeded,dropin_18
ch_000113,DROPIN,18.0,2025-11-04,succeeded,dropin_18
ch_000114,DROPIN,18.0,2025-11-04,succeeded,dropin_18
