sku_woocommerce,product_name,on_hand_qty,reorder_threshold,last_restock_date,wholesale_cost_usd,retail_price_usd
CR-PATCH-001,Cedar Ridge Kendo Patch - Large,0,6,2026-07-08,2.5,8.99
CR-WC-PATCH-002,Cedar Ridge Kendo Patch - Small,1,6,2026-05-22,1.8,5.99
CR-WC-PATCH-003,Cedar Ridge Judo Patch - Large,0,6,2026-09-14,2.5,8.99
CR-WC-PATCH-004,Cedar Ridge Judo Patch - Small,0,6,2026-05-07,1.8,5.99
CR-KIT-001,Shinai Care Kit - Basic,14,4,2026-09-20,8.5,22.99
CR-WC-KIT-006,Shinai Care Kit - Premium,1,3,2026-09-07,14.0,34.99
CR-WC-KIT-007,Shinai Wax Block,34,5,2026-08-08,3.0,9.99
CR-WC-KIT-008,Shinai String Set,28,5,2026-09-09,2.2,7.99
CR-WC-GI-009,Gi Jacket - White - S,0,3,2026-06-23,18.0,45.99
CR-WC-GI-010,Gi Jacket - White - M,27,3,2026-07-09,18.0,45.99
CR-WC-GI-011,Gi Jacket - White - L,9,3,2026-06-25,18.0,45.99
CR-WC-GI-012,Gi Jacket - White - XL,21,3,2026-05-03,18.0,45.99
CR-WC-GI-013,Gi Pants - White - S,24,3,2026-05-12,14.0,35.99
CR-WC-GI-014,Gi Pants - White - M,22,3,2026-09-09,14.0,35.99
CR-WC-GI-015,Gi Pants - White - L,2,3,2026-08-18,14.0,35.99
CR-WC-GI-016,Gi Pants - White - XL,7,3,2026-08-03,14.0,35.99
CR-WC-TOWEL-017,Tenugui Hand Towel - Blue Wave,35,4,2026-07-27,4.0,14.99
CR-WC-TOWEL-018,Tenugui Hand Towel - Red Dragon,23,4,2026-09-07,4.0,14.99
CR-WC-TOWEL-019,Tenugui Hand Towel - Cedar Ridge Logo,4,4,2026-05-22,4.5,16.99
CR-WC-ACC-020,Kendo Score Counter - Digital,14,3,2026-07-03,12.0,29.99
CR-WC-ACC-021,Shinai Bag - Single,14,3,2026-05-13,8.0,19.99
CR-WC-ACC-022,Shinai Bag - Triple,17,3,2026-08-21,15.0,34.99
CR-WC-SHIRT-023,Tournament T-Shirt 2026 - S,23,5,2026-06-12,6.0,18.99
CR-WC-SHIRT-024,Tournament T-Shirt 2026 - M,22,5,2026-06-22,6.0,18.99
CR-WC-SHIRT-025,Tournament T-Shirt 2026 - L,17,5,2026-05-20,6.0,18.99
CR-WC-SHIRT-026,Tournament T-Shirt 2026 - XL,10,5,2026-09-24,6.0,18.99
CR-WC-CARE-027,Bogu Cleaning Spray,15,4,2026-06-15,5.0,15.99
CR-WC-ACC-028,Cedar Ridge Sticker Pack,24,8,2026-07-21,1.0,4.99
CR-WC-GI-029,Gi Jacket - Black - S,15,3,2026-07-15,15.12,36.29
CR-WC-GI-030,Gi Jacket - Black - M,4,5,2026-06-11,21.09,50.62
CR-WC-GI-031,Gi Jacket - Black - L,28,6,2026-06-26,18.7,44.88
CR-WC-GI-032,Gi Jacket - Black - XL,30,4,2026-10-02,20.43,49.03
CR-WC-GI-033,Gi Jacket - Black - XXL,39,5,2026-06-28,17.66,42.38
CR-WC-GI-034,Gi Jacket - Navy - S,5,3,2026-07-15,17.86,42.86
CR-WC-GI-035,Gi Jacket - Navy - M,23,6,2026-05-12,20.52,49.25
CR-WC-GI-036,Gi Jacket - Navy - L,35,3,2026-09-26,19.51,46.82
CR-WC-GI-037,Gi Jacket - Navy - XL,27,4,2026-05-22,19.02,45.65
CR-WC-GI-038,Gi Jacket - Navy - XXL,23,3,2026-10-20,17.63,42.31
CR-WC-GI-039,Gi Jacket - Charcoal - S,30,6,2026-10-15,19.14,45.94
CR-WC-GI-040,Gi Jacket - Charcoal - M,1,6,2026-10-08,20.58,49.39
CR-WC-GI-041,Gi Jacket - Charcoal - L,11,3,2026-06-05,18.86,45.26
CR-WC-GI-042,Gi Jacket - Charcoal - XL,35,3,2026-05-14,16.3,39.12
CR-WC-GI-043,Gi Jacket - Charcoal - XXL,30,6,2026-07-18,15.33,36.79
CR-WC-BOOK-044,Kendo Fundamentals,23,5,2026-06-14,5.03,11.07
CR-WC-BOOK-045,Judo Fundamentals,32,5,2026-09-09,5.98,13.16
CR-WC-BOOK-046,Kata Guide,39,5,2026-04-17,7.97,17.53
CR-WC-BOOK-047,Shinai Care Guide,12,5,2026-09-02,6.07,13.35
CR-WC-BOOK-048,Tournament Rules Guide,36,5,2026-07-26,5.59,12.3
CR-WC-SEA-049,Winter 2025 - Hoodie - S,19,4,2026-06-19,19.92,45.82
CR-WC-SEA-050,Winter 2025 - Hoodie - M,22,4,2026-04-05,8.23,18.93
CR-WC-SEA-051,Winter 2025 - Hoodie - L,25,4,2026-09-08,8.82,20.29
CR-WC-SEA-052,Winter 2025 - Long Sleeve Tee - S,20,4,2026-09-08,19.07,43.86
CR-WC-SEA-053,Winter 2025 - Long Sleeve Tee - M,16,4,2026-03-15,9.88,22.72
CR-WC-SEA-054,Winter 2025 - Long Sleeve Tee - L,2,4,2026-01-03,12.89,29.65
CR-WC-SEA-055,Winter 2025 - Tank Top - S,35,4,2026-06-02,18.37,42.25
CR-WC-SEA-056,Winter 2025 - Tank Top - M,23,4,2026-07-13,19.26,44.3
CR-WC-SEA-057,Winter 2025 - Tank Top - L,9,4,2026-05-02,16.14,37.12
CR-WC-SEA-058,Winter 2025 - Beanie - S,4,4,2026-07-05,11.83,27.21
CR-WC-SEA-059,Winter 2025 - Beanie - M,30,4,2026-03-20,17.27,39.72
CR-WC-SEA-060,Winter 2025 - Beanie - L,35,4,2026-06-28,18.69,42.99
CR-WC-SEA-061,Winter 2025 - Cap - S,13,4,2026-01-16,16.44,37.81
CR-WC-SEA-062,Winter 2025 - Cap - M,19,4,2026-02-04,15.11,34.75
CR-WC-SEA-063,Winter 2025 - Cap - L,16,4,2026-08-17,19.81,45.56
CR-WC-SEA-064,Spring 2026 - Hoodie - S,28,4,2026-08-16,11.45,26.33
CR-WC-SEA-065,Spring 2026 - Hoodie - M,10,4,2026-07-07,14.22,32.71
CR-WC-SEA-066,Spring 2026 - Hoodie - L,4,4,2026-09-25,10.55,24.27
CR-WC-SEA-067,Spring 2026 - Long Sleeve Tee - S,14,4,2026-02-16,19.11,43.95
CR-WC-SEA-068,Spring 2026 - Long Sleeve Tee - M,17,4,2026-04-28,18.62,42.83
