sku_amazon,asin,linked_woocommerce_sku,on_hand_qty,fba_qty,retail_price_usd
AMZ-CR-001,B084752529,CR-PATCH-001,19,10,11.68
AMZ-CR-002,B017507864,CR-WC-PATCH-002,19,1,8.60
AMZ-CR-003,B063843426,CR-WC-PATCH-003,22,2,10.41
AMZ-CR-004,B086125617,CR-WC-PATCH-004,25,6,8.30
AMZ-CR-005,B063100814,CR-KIT-001,34,4,24.52
AMZ-CR-006,B043101783,CR-WC-KIT-006,40,8,37.48
AMZ-CR-007,B067503414,CR-WC-KIT-007,30,11,11.43
AMZ-CR-008,B028566572,CR-WC-KIT-008,37,15,9.17
AMZ-CR-009,B016323852,CR-WC-GI-009,12,4,48.24
AMZ-CR-010,B066661351,CR-WC-GI-010,9,12,47.75
AMZ-CR-011,B072820592,CR-WC-GI-011,38,8,48.93
AMZ-CR-012,B011540956,CR-WC-GI-012,12,8,48.53
AMZ-CR-013,B055657579,CR-WC-GI-013,12,9,37.86
AMZ-CR-014,B070897765,CR-WC-GI-014,5,8,38.93
AMZ-CR-015,B097856114,CR-WC-BUNDLE-001,14,15,74.19
AMZ-CR-016,B065379813,CR-WC-BUNDLE-002,41,16,17.84
AMZ-CR-017,B042850225,CR-WC-BUNDLE-003,63,14,23.44
AMZ-CR-018,B075334488,CR-WC-BUNDLE-004,22,14,20.17
AMZ-CR-019,B048004199,CR-WC-BUNDLE-005,31,24,39.6
AMZ-CR-020,B085831622,CR-WC-BUNDLE-006,30,19,43.61
AMZ-CR-021,B018410371,CR-WC-BUNDLE-007,15,7,23.5
AMZ-CR-022,B052706943,CR-WC-BUNDLE-008,62,18,70.9
AMZ-CR-023,B027911615,CR-WC-BUNDLE-009,10,30,63.52
AMZ-CR-024,B037238161,CR-WC-BUNDLE-010,44,19,62.08
AMZ-CR-025,B042935670,CR-WC-BUNDLE-011,77,26,56.42
AMZ-CR-026,B072676399,CR-WC-BUNDLE-012,44,12,60.63
AMZ-CR-027,B041966333,CR-WC-BUNDLE-013,33,12,30.65
AMZ-CR-028,B059004238,CR-WC-BUNDLE-014,56,2,62.69
AMZ-CR-029,B075206121,CR-WC-BUNDLE-015,45,5,57.57
AMZ-CR-030,B037550645,CR-WC-BUNDLE-016,59,7,8.17
AMZ-CR-031,B072128455,CR-WC-BUNDLE-017,17,9,13.83
AMZ-CR-032,B087552546,CR-WC-BUNDLE-018,72,12,72.82
AMZ-CR-033,B069751501,CR-WC-BUNDLE-019,67,26,23.62
AMZ-CR-034,B071961469,CR-WC-BUNDLE-020,5,11,75.78
AMZ-CR-035,B031716977,CR-WC-BUNDLE-021,28,13,43.68
AMZ-CR-036,B060259660,CR-WC-BUNDLE-022,30,25,65.27
AMZ-CR-037,B040422790,CR-WC-BUNDLE-023,42,16,21.79
AMZ-CR-038,B078663575,CR-WC-BUNDLE-024,76,30,34.36
AMZ-CR-039,B059808739,CR-WC-BUNDLE-025,34,8,52.34
AMZ-CR-040,B059887358,CR-WC-BUNDLE-026,63,2,34.46
AMZ-CR-041,B059170843,CR-WC-BUNDLE-027,19,8,45.52
AMZ-CR-042,B093520456,CR-WC-BUNDLE-028,76,27,76.26
AMZ-CR-043,B047118668,CR-WC-BUNDLE-029,29,17,64.78
AMZ-CR-044,B088267134,CR-WC-BUNDLE-030,23,2,63.1
AMZ-CR-045,B077335857,CR-WC-BUNDLE-031,34,11,26.73
AMZ-CR-046,B041782941,CR-WC-BUNDLE-032,36,27,39.3
AMZ-CR-047,B057788926,CR-WC-BUNDLE-033,13,3,28.49
AMZ-CR-048,B080148623,CR-WC-BUNDLE-034,27,26,38.79
AMZ-CR-049,B096204537,CR-WC-BUNDLE-035,32,15,72.23
AMZ-CR-050,B081284124,CR-WC-BUNDLE-036,53,4,48.0
AMZ-CR-051,B033117315,CR-WC-BUNDLE-037,20,5,58.38
AMZ-CR-052,B088555161,CR-WC-BUNDLE-038,23,12,51.43
AMZ-CR-053,B071400577,CR-WC-BUNDLE-039,71,2,30.51
AMZ-CR-054,B091106529,CR-WC-BUNDLE-040,75,24,51.76
AMZ-CR-055,B076212326,CR-WC-BUNDLE-041,36,8,71.04
