year,registration_revenue_usd,sponsor_revenue_collected_usd,merch_revenue_usd,venue_cost_usd,insurance_cost_usd,trophies_cost_usd,judge_honoraria_usd,shipping_cost_usd,other_cost_usd,operating_margin_usd
2023,3200.0,8500.0,1800.0,1000.0,2200.0,520.0,600.0,180.0,450.0,8550.0
2024,3800.0,10200.0,2100.0,1100.0,2300.0,580.0,650.0,210.0,520.0,10740.0
2025,4200.0,11800.0,2400.0,1200.0,2400.0,650.0,700.0,580.0,580.0,12290.0
2020 Fall Tournament,3996.03,10857.95,2583.3,1044.62,2429.62,683.31,581.04,491.51,558.95,11648.23
2021 Fall Tournament,4402.34,8713.46,2411.52,1346.3,2262.48,500.65,570.32,604.16,599.47,9643.94
2022 Fall Tournament,3561.04,10879.22,1879.92,1074.78,2431.49,693.74,673.03,205.18,489.86,10752.1
2026 Fall Tournament,4293.81,10879.51,2416.38,1124.22,2421.09,554.65,655.67,370.87,575.28,11887.92
2020 Spring Tournament,1753.06,2598.25,1312.87,462.39,373.71,281.81,364.9,106.54,227.51,3847.32
2021 Spring Tournament,1251.34,2825.23,1359.39,634.51,374.46,243.3,214.93,102.52,261.63,3604.61
2022 Spring Tournament,1628.39,2398.72,726.59,480.19,416.86,228.54,376.91,107.68,216.23,2927.29
2023 Spring Tournament,1571.51,1995.25,1000.41,626.85,230.77,269.14,359.08,126.14,271.33,2683.86
2024 Spring Tournament,1726.36,1870.13,1172.96,661.45,309.39,227.06,327.07,113.76,269.96,2860.76
2025 Spring Tournament,2060.58,2322.83,958.21,688.0,280.24,255.22,257.07,48.98,232.53,3579.58
2026 Spring Tournament,2172.3,3217.41,685.35,623.92,402.8,164.65,281.45,87.18,124.65,4390.41
2020 Summer Kids Camp,1665.09,1617.45,1112.85,785.12,397.42,219.23,286.19,162.71,184.38,2360.34
2021 Summer Kids Camp,1907.51,2192.61,1271.63,631.53,284.04,244.72,375.15,54.69,180.5,3601.12
2022 Summer Kids Camp,1382.46,3318.77,1027.82,626.49,271.99,172.16,219.37,124.2,130.82,4184.02
2023 Summer Kids Camp,1844.38,2671.87,1208.62,795.81,393.01,318.79,325.59,65.24,198.31,3628.12
