sku_bc,product_name,on_hand_qty,retail_price_usd
LK-BC-001,Lantern Keeper Poster - 18x24,45,19.99
LK-BC-002,Lantern Keeper Enamel Pin Set,120,12.99
LK-BC-003,Lantern Keeper Art Book,30,34.99
LK-BC-004,Lantern Keeper T-Shirt - S,25,24.99
LK-BC-005,Lantern Keeper T-Shirt - M,30,24.99
LK-BC-006,Lantern Keeper T-Shirt - L,28,24.99
LK-BC-007,Lantern Keeper Sticker Sheet,200,5.99
LK-BC-008,Lantern Keeper Mug,15,16.99
LK-BC-009,Lantern Keeper Print - Chapter 1,90,19.99
LK-BC-010,Lantern Keeper Print - Chapter 2,118,19.99
LK-BC-011,Lantern Keeper Print - Chapter 3,131,19.99
LK-BC-012,Lantern Keeper Print - Chapter 4,172,19.99
LK-BC-013,Lantern Keeper Enamel Pin - Firefly,197,9.99
LK-BC-014,Lantern Keeper Enamel Pin - Lantern,174,9.99
LK-BC-015,Lantern Keeper Enamel Pin - Villain,103,9.99
LK-BC-016,Lantern Keeper Sticker Pack A,154,5.99
LK-BC-017,Lantern Keeper Sticker Pack B,67,5.99
LK-BC-018,Lantern Keeper Sticker Pack C,178,5.99
LK-BC-019,Lantern Keeper Coaster Set (4),50,14.99
LK-BC-020,Lantern Keeper Mug - Blue,41,16.99
LK-BC-021,Lantern Keeper Mug - Black,232,16.99
LK-BC-022,Lantern Keeper Mug - Cream,243,16.99
LK-BC-023,Lantern Keeper Bookmark Set,86,7.99
LK-BC-024,Lantern Keeper Notebook A5,24,12.99
LK-BC-025,Lantern Keeper Notebook A6,51,9.99
LK-BC-026,Lantern Keeper Tote Bag,37,18.99
LK-BC-027,Lantern Keeper Backpack Charm,106,8.99
LK-BC-028,Lantern Keeper Keychain - Metal,89,11.99
LK-BC-029,Lantern Keeper Keychain - Acrylic,146,6.99
LK-BC-030,Lantern Keeper Standee - Firefly,139,24.99
LK-BC-031,Lantern Keeper Standee - Lantern,184,24.99
LK-BC-032,Lantern Keeper Art Book - Softcover,146,29.99
LK-BC-033,Lantern Keeper Art Book - Hardcover,130,44.99
LK-BC-034,Lantern Keeper OST Digital Download,109,12.99
LK-BC-035,Lantern Keeper OST Vinyl,9,34.99
LK-BC-036,Lantern Keeper T-Shirt - XL,183,24.99
LK-BC-037,Lantern Keeper T-Shirt - XXL,78,27.99
LK-BC-038,Lantern Keeper T-Shirt - Kids S,153,21.99
LK-BC-039,Lantern Keeper T-Shirt - Kids M,104,21.99
LK-BC-040,Lantern Keeper Long Sleeve - S,78,29.99
LK-BC-041,Lantern Keeper Long Sleeve - M,22,29.99
LK-BC-042,Lantern Keeper Long Sleeve - L,32,29.99
LK-BC-043,Lantern Keeper Hoodie - S,189,39.99
LK-BC-044,Lantern Keeper Hoodie - M,155,39.99
LK-BC-045,Lantern Keeper Hoodie - L,73,39.99
LK-BC-046,Lantern Keeper Hoodie - XL,218,42.99
LK-BC-047,Lantern Keeper Cap - Black,143,19.99
LK-BC-048,Lantern Keeper Cap - Blue,32,19.99
LK-BC-049,Lantern Keeper Beanie,149,17.99
LK-BC-050,Lantern Keeper Sticker Sheet - Rare,141,8.99
LK-BC-051,Lantern Keeper Concept Sketch Bundle,152,22.99
LK-BC-052,Lantern Keeper Wall Scroll,109,27.99
LK-BC-053,Lantern Keeper Playtester Badge,20,4.99
LK-BC-054,Lantern Keeper Playtester Patch,56,6.99
LK-BC-055,Lantern Keeper Mini Figure - Firefly,54,15.99
LK-BC-056,Lantern Keeper Mini Figure - Lantern,219,15.99
LK-BC-057,Lantern Keeper Origin Zine Vol 1,122,9.99
LK-BC-058,Lantern Keeper Origin Zine Vol 2,246,9.99
LK-BC-059,Lantern Keeper Custom Nameplate,99,14.99
LK-BC-060,Lantern Keeper Charm Bracelet,41,12.99
LK-BC-061,Lantern Keeper Necklace - Lantern,243,22.99
LK-BC-062,Lantern Keeper Card Wallet,159,16.99
LK-BC-063,Lantern Keeper Puzzle 500pc,120,21.99
LK-BC-064,Lantern Keeper Puzzle 1000pc,149,26.99
LK-BC-065,Lantern Keeper Trading Card Set,15,12.99
LK-BC-066,Lantern Keeper Playing Cards,221,11.99
LK-BC-067,Lantern Keeper Dice Set,36,14.99
LK-BC-068,Lantern Keeper Coaster - Firefly,187,6.99
LK-BC-069,Lantern Keeper Coaster - Lantern,249,6.99
LK-BC-070,Lantern Keeper Journal Refill,19,8.99
LK-BC-071,Lantern Keeper Wax Seal Set,222,19.99
LK-BC-072,Lantern Keeper Postcard Set - 6,51,8.99
LK-BC-073,Lantern Keeper Postcard Set - 12,170,14.99
LK-BC-074,Lantern Keeper Digital Wallpaper Pack,177,3.99
LK-BC-075,Lantern Keeper Screen Saver Pack,240,3.99
LK-BC-076,Lantern Keeper Ringtone Pack,233,2.99
LK-BC-077,Lantern Keeper Design Docs PDF,229,6.99
LK-BC-078,Lantern Keeper Beta Access Key,241,24.99
LK-BC-079,Lantern Keeper Alpha Access Key,76,34.99
LK-BC-080,Lantern Keeper Founder's Badge,86,49.99
LK-BC-081,Lantern Keeper Founder's Print Bundle,157,79.99
LK-BC-082,Lantern Keeper Founder's Hoodie Bundle,119,89.99
LK-BC-083,Lantern Keeper Print - Chapter 5,238,19.99
LK-BC-084,Lantern Keeper Print - Chapter 6,230,19.99
LK-BC-085,Lantern Keeper Print - Villain Boss,17,22.99
LK-BC-086,Lantern Keeper Print - Final Room,139,24.99
LK-BC-087,Lantern Keeper Enamel Pin - Complete Set,70,39.99
LK-BC-088,Lantern Keeper Vinyl Sticker - Extra Large,23,14.99
LK-BC-089,Lantern Keeper Foil Sticker,220,7.99
LK-BC-090,Lantern Keeper Holographic Sticker,188,8.99
LK-BC-091,Lantern Keeper Iron-on Patch Small,195,5.99
LK-BC-092,Lantern Keeper Iron-on Patch Large,142,8.99
LK-BC-093,Lantern Keeper Ceramic Ornament,180,11.99
LK-BC-094,Lantern Keeper Glass Ornament,69,13.99
LK-BC-095,Lantern Keeper Metal Ornament,117,12.99
LK-BC-096,Lantern Keeper Digital Comic - Issue 1,31,4.99
LK-BC-097,Lantern Keeper Digital Comic - Issue 2,99,4.99
LK-BC-098,Lantern Keeper Physical Comic - Issue 1,11,8.99
LK-BC-099,Lantern Keeper Physical Comic - Issue 2,107,8.99
LK-BC-100,Lantern Keeper Sketchbook Facsimile,45,34.99
LK-BC-101,Lantern Keeper Prop Replica - Lantern,115,59.99
LK-BC-102,Lantern Keeper Prop Replica - Key,68,39.99
LK-BC-103,Lantern Keeper Cosplay Guide PDF,215,9.99
LK-BC-104,Lantern Keeper Community Zine,152,11.99
LK-BC-105,Lantern Keeper Founder Coin,106,24.99
