id,name,type,messages_total,messages_unread,threads_total,threads_unread
INBOX,INBOX,system,31,14,31,14
IMPORTANT,IMPORTANT,system,4,4,4,4
Delacroix,Delacroix,user,5,2,4,2
Thompson,Thompson,user,6,3,6,3
Bar,Bar,user,5,2,5,2
Board,Board,user,3,1,3,1
Finance,Finance,user,5,1,5,1
Family,Family,user,6,0,6,0
Boudreaux,Boudreaux,user,1,1,1,1
News,News,user,4,0,4,0
Referral,Referral,user,1,1,1,1
Label_61,Prejean,user,14,3,13,2
Label_62,Robicheaux,user,15,0,14,0
Label_63,Savoy,user,16,1,15,1
Label_64,Trahan,user,17,2,16,2
Label_65,Vidrine,user,18,3,17,0
Label_66,Whitfield,user,19,0,18,1
Label_67,Aucoin,user,20,1,19,2
Label_68,Babineaux,user,21,2,20,0
Label_69,Comeaux,user,22,3,21,1
Label_70,Thompson,user,23,0,22,2
Label_71,Delacroix,user,24,1,23,0
Label_72,Boudreaux,user,25,2,24,1
Label_73,Arceneaux,user,26,3,25,2
