room	surface	color_name	sheen	sqft	coats	notes
Kitchen	Walls	Warm Plaster White	matte	420	2	Light from the south window, keep it soft
Kitchen	Trim and cabinets	Aged Linen	satin	260	2	Unlacquered brass pulls against it
Kitchen	Ceiling	Warm Plaster White	flat	210	2	Same as walls, half strength
Study	Walls	Olive Shadow	eggshell	380	2	Smoked oak millwork plays off this
Study	Built ins	Deep Char	satin	140	2	Low sheen so the grain reads
Powder room	Walls	Terracotta Wash	limewash	160	2	Hand troweled, two passes
Powder room	Ceiling	Soft Chalk	flat	60	2	Keep bright over the limestone
Primary suite	Walls	Morning Oat	eggshell	520	2	Warm neutral, layered with linen
Primary suite	Trim	Aged Linen	satin	180	2	Match the kitchen trim exactly
Hall and stair	Walls	Pale Stone	eggshell	640	2	Carries the north light through
