date	route	distance_mi	duration_min	avg_pace_min_mi	elev_ft	weather
2026-01-04	Rock Creek, Pierce Mill loop	3.1	44	14:12	210	clear, 38F
2026-01-06	Rock Creek, Boulder Bridge	3.4	47	13:49	255	overcast
2026-01-09	Rock Creek, Pierce Mill loop	2.9	41	14:08	198	cold, windy
2026-01-12	Rock Creek, Beach Drive north	3.6	49	13:36	240	clear
2026-01-15	Rock Creek, Pierce Mill loop	3.0	43	14:20	205	light rain
2026-01-18	Rock Creek, Boulder Bridge	3.3	45	13:38	250	clear, crisp
2026-01-21	Rock Creek, Pierce Mill loop	3.1	44	14:11	210	overcast
2026-01-24	Rock Creek, Beach Drive north	3.7	51	13:47	245	clear
2026-01-27	Rock Creek, Pierce Mill loop	2.8	40	14:17	198	frost
2026-01-31	Rock Creek, Boulder Bridge	3.4	46	13:31	252	clear, bright
2026-02-03	Rock Creek, Pierce Mill loop	3.0	43	14:20	205	cold
2026-02-06	Rock Creek, Beach Drive north	3.5	48	13:42	242	overcast
2026-02-09	Rock Creek, Pierce Mill loop	3.1	44	14:12	210	clear
2026-02-13	Rock Creek, Boulder Bridge	3.3	45	13:38	250	windy
2026-02-16	Rock Creek, Pierce Mill loop	2.9	42	14:28	198	drizzle
2026-02-20	Rock Creek, Beach Drive north	3.6	50	13:53	245	clear, mild
2026-02-24	Rock Creek, Pierce Mill loop	3.0	43	14:20	205	clear
2026-02-27	Rock Creek, Boulder Bridge	3.4	46	13:31	252	bright
