id,account_id,type,status,amount,currency,native_amount,native_currency,description,created_at
cbt-0001,cba-1,buy,completed,0.002,BTC,17.00,USD,hobby trade,2026-07-27T12:00:00Z
cbt-0002,cba-1,sell,completed,0.004,BTC,76.00,USD,hobby trade,2026-09-23T12:00:00Z
cbt-0003,cba-2,sell,completed,0.004,BTC,70.00,USD,hobby trade,2026-06-14T12:00:00Z
cbt-0004,cba-1,buy,completed,0.003,BTC,50.00,USD,hobby trade,2026-07-23T12:00:00Z
cbt-0005,cba-2,sell,completed,0.005,BTC,28.00,USD,hobby trade,2026-09-07T12:00:00Z
cbt-0006,cba-2,sell,completed,0.001,BTC,56.00,USD,hobby trade,2026-09-10T12:00:00Z
cbt-0007,cba-2,sell,completed,0.002,BTC,61.00,USD,hobby trade,2026-09-26T12:00:00Z
cbt-0008,cba-1,sell,completed,0.007,BTC,59.00,USD,hobby trade,2026-08-20T12:00:00Z
cbt-0009,cba-2,sell,completed,0.007,BTC,21.00,USD,hobby trade,2026-06-07T12:00:00Z
cbt-0010,cba-2,buy,completed,0.001,BTC,38.00,USD,hobby trade,2026-09-20T12:00:00Z
cbt-0011,cba-1,sell,completed,0.002,BTC,41.00,USD,hobby trade,2026-07-06T12:00:00Z
cbt-0012,cba-1,sell,completed,0.007,BTC,35.00,USD,hobby trade,2026-08-16T12:00:00Z
cbt-0013,cba-1,buy,completed,0.002,BTC,44.00,USD,hobby trade,2026-07-11T12:00:00Z
cbt-0014,cba-2,buy,completed,0.004,BTC,66.00,USD,hobby trade,2026-07-20T12:00:00Z
cbt-0015,cba-2,sell,completed,0.003,BTC,79.00,USD,hobby trade,2026-09-01T12:00:00Z
cbt-0016,cba-1,sell,completed,0.009,BTC,35.00,USD,hobby trade,2026-09-05T12:00:00Z
cbt-0017,cba-2,buy,completed,0.009,BTC,57.00,USD,hobby trade,2026-06-04T12:00:00Z
cbt-0018,cba-1,buy,completed,0.009,BTC,51.00,USD,hobby trade,2026-07-24T12:00:00Z
cbt-0019,cba-2,buy,completed,0.004,BTC,40.00,USD,hobby trade,2026-07-27T12:00:00Z
cbt-0020,cba-2,sell,completed,0.005,BTC,45.00,USD,hobby trade,2026-09-28T12:00:00Z
cbt-0021,cba-1,buy,completed,0.006,BTC,65.00,USD,hobby trade,2026-08-05T12:00:00Z
cbt-0022,cba-2,sell,completed,0.008,BTC,13.00,USD,hobby trade,2026-06-17T12:00:00Z
cbt-0023,cba-2,buy,completed,0.001,BTC,43.00,USD,hobby trade,2026-08-08T12:00:00Z
cbt-0024,cba-2,sell,completed,0.005,BTC,33.00,USD,hobby trade,2026-07-19T12:00:00Z
cbt-0025,cba-1,buy,completed,0.008,BTC,29.00,USD,hobby trade,2026-09-12T12:00:00Z
cbt-0026,cba-2,buy,completed,0.001,BTC,16.00,USD,hobby trade,2026-09-18T12:00:00Z
cbt-0027,cba-1,sell,completed,0.001,BTC,60.00,USD,hobby trade,2026-06-08T12:00:00Z
cbt-0028,cba-2,buy,completed,0.009,BTC,77.00,USD,hobby trade,2026-07-25T12:00:00Z
cbt-0029,cba-2,buy,completed,0.009,BTC,54.00,USD,hobby trade,2026-08-21T12:00:00Z
cbt-0030,cba-1,sell,completed,0.007,BTC,55.00,USD,hobby trade,2026-06-10T12:00:00Z
cbt-0031,cba-1,buy,completed,0.005,BTC,18.00,USD,hobby trade,2026-07-04T12:00:00Z
cbt-0032,cba-2,sell,completed,0.005,BTC,65.00,USD,hobby trade,2026-07-25T12:00:00Z
cbt-0033,cba-2,buy,completed,0.005,BTC,14.00,USD,hobby trade,2026-09-01T12:00:00Z
cbt-0034,cba-1,sell,completed,0.003,BTC,18.00,USD,hobby trade,2026-07-22T12:00:00Z
cbt-0035,cba-2,sell,completed,0.007,BTC,55.00,USD,hobby trade,2026-07-06T12:00:00Z
cbt-0036,cba-1,sell,completed,0.001,BTC,54.00,USD,hobby trade,2026-08-17T12:00:00Z
cbt-0037,cba-1,sell,completed,0.008,BTC,61.00,USD,hobby trade,2026-09-13T12:00:00Z
cbt-0038,cba-2,buy,completed,0.003,BTC,71.00,USD,hobby trade,2026-07-24T12:00:00Z
cbt-0039,cba-1,sell,completed,0.004,BTC,12.00,USD,hobby trade,2026-07-07T12:00:00Z
cbt-0040,cba-2,sell,completed,0.005,BTC,65.00,USD,hobby trade,2026-07-06T12:00:00Z
cbt-0041,cba-1,sell,completed,0.005,BTC,29.00,USD,hobby trade,2026-06-16T12:00:00Z
cbt-0042,cba-2,buy,completed,0.001,BTC,49.00,USD,hobby trade,2026-06-25T12:00:00Z
cbt-0043,cba-1,buy,completed,0.007,BTC,48.00,USD,hobby trade,2026-07-10T12:00:00Z
cbt-0044,cba-1,buy,completed,0.002,BTC,74.00,USD,hobby trade,2026-08-07T12:00:00Z
cbt-0045,cba-2,buy,completed,0.001,BTC,68.00,USD,hobby trade,2026-07-09T12:00:00Z
cbt-0046,cba-2,buy,completed,0.004,BTC,45.00,USD,hobby trade,2026-08-13T12:00:00Z
cbt-0047,cba-2,sell,completed,0.005,BTC,43.00,USD,hobby trade,2026-06-22T12:00:00Z
cbt-0048,cba-1,buy,completed,0.003,BTC,77.00,USD,hobby trade,2026-09-21T12:00:00Z
cbt-0049,cba-1,buy,completed,0.006,BTC,75.00,USD,hobby trade,2026-08-19T12:00:00Z
cbt-0050,cba-2,sell,completed,0.002,BTC,67.00,USD,hobby trade,2026-08-14T12:00:00Z
cbt-0051,cba-2,sell,completed,0.005,BTC,10.00,USD,hobby trade,2026-07-10T12:00:00Z
cbt-0052,cba-1,sell,completed,0.004,BTC,78.00,USD,hobby trade,2026-06-08T12:00:00Z
cbt-0053,cba-2,buy,completed,0.005,BTC,27.00,USD,hobby trade,2026-08-05T12:00:00Z
cbt-0054,cba-2,sell,completed,0.005,BTC,17.00,USD,hobby trade,2026-07-28T12:00:00Z
cbt-0055,cba-1,sell,completed,0.001,BTC,72.00,USD,hobby trade,2026-08-17T12:00:00Z
cbt-0056,cba-2,sell,completed,0.002,BTC,47.00,USD,hobby trade,2026-06-09T12:00:00Z
cbt-0057,cba-2,buy,completed,0.009,BTC,69.00,USD,hobby trade,2026-07-04T12:00:00Z
cbt-0058,cba-1,buy,completed,0.004,BTC,56.00,USD,hobby trade,2026-06-25T12:00:00Z
cbt-0059,cba-2,buy,completed,0.008,BTC,41.00,USD,hobby trade,2026-07-11T12:00:00Z
cbt-0060,cba-1,sell,completed,0.007,BTC,80.00,USD,hobby trade,2026-09-11T12:00:00Z
cbt-0061,cba-1,sell,completed,0.009,BTC,46.00,USD,hobby trade,2026-07-14T12:00:00Z
cbt-0062,cba-1,buy,completed,0.008,BTC,60.00,USD,hobby trade,2026-09-25T12:00:00Z
cbt-0063,cba-1,sell,completed,0.002,BTC,76.00,USD,hobby trade,2026-06-12T12:00:00Z
cbt-0064,cba-2,sell,completed,0.003,BTC,10.00,USD,hobby trade,2026-07-12T12:00:00Z
cbt-0065,cba-2,buy,completed,0.001,BTC,33.00,USD,hobby trade,2026-08-05T12:00:00Z
cbt-0066,cba-2,sell,completed,0.004,BTC,54.00,USD,hobby trade,2026-07-07T12:00:00Z
cbt-0067,cba-1,buy,completed,0.003,BTC,19.00,USD,hobby trade,2026-08-02T12:00:00Z
cbt-0068,cba-2,sell,completed,0.005,BTC,80.00,USD,hobby trade,2026-09-03T12:00:00Z
cbt-0069,cba-2,buy,completed,0.003,BTC,33.00,USD,hobby trade,2026-06-09T12:00:00Z
cbt-0070,cba-2,buy,completed,0.002,BTC,37.00,USD,hobby trade,2026-07-09T12:00:00Z
cbt-0071,cba-1,sell,completed,0.002,BTC,59.00,USD,hobby trade,2026-08-19T12:00:00Z
cbt-0072,cba-1,buy,completed,0.004,BTC,62.00,USD,hobby trade,2026-07-21T12:00:00Z
cbt-0073,cba-1,sell,completed,0.002,BTC,72.00,USD,hobby trade,2026-09-16T12:00:00Z
cbt-0074,cba-2,buy,completed,0.006,BTC,10.00,USD,hobby trade,2026-07-23T12:00:00Z
cbt-0075,cba-2,sell,completed,0.007,BTC,12.00,USD,hobby trade,2026-09-21T12:00:00Z
cbt-0076,cba-2,sell,completed,0.006,BTC,52.00,USD,hobby trade,2026-07-08T12:00:00Z
cbt-0077,cba-2,buy,completed,0.003,BTC,68.00,USD,hobby trade,2026-07-21T12:00:00Z
cbt-0078,cba-1,buy,completed,0.004,BTC,39.00,USD,hobby trade,2026-09-23T12:00:00Z
cbt-0079,cba-1,sell,completed,0.001,BTC,66.00,USD,hobby trade,2026-07-13T12:00:00Z
cbt-0080,cba-1,sell,completed,0.003,BTC,55.00,USD,hobby trade,2026-06-12T12:00:00Z
cbt-0081,cba-1,buy,completed,0.006,BTC,62.00,USD,hobby trade,2026-07-03T12:00:00Z
cbt-0082,cba-1,sell,completed,0.001,BTC,21.00,USD,hobby trade,2026-07-28T12:00:00Z
cbt-0083,cba-2,buy,completed,0.007,BTC,14.00,USD,hobby trade,2026-08-18T12:00:00Z
cbt-0084,cba-2,sell,completed,0.002,BTC,50.00,USD,hobby trade,2026-07-28T12:00:00Z
cbt-0085,cba-2,buy,completed,0.008,BTC,41.00,USD,hobby trade,2026-07-15T12:00:00Z
cbt-0086,cba-1,sell,completed,0.007,BTC,77.00,USD,hobby trade,2026-07-17T12:00:00Z
cbt-0087,cba-2,buy,completed,0.009,BTC,44.00,USD,hobby trade,2026-09-06T12:00:00Z
cbt-0088,cba-1,buy,completed,0.008,BTC,38.00,USD,hobby trade,2026-07-05T12:00:00Z
cbt-0089,cba-2,sell,completed,0.006,BTC,16.00,USD,hobby trade,2026-09-06T12:00:00Z
cbt-0090,cba-1,buy,completed,0.009,BTC,23.00,USD,hobby trade,2026-06-15T12:00:00Z
cbt-0091,cba-1,sell,completed,0.003,BTC,67.00,USD,hobby trade,2026-08-06T12:00:00Z
cbt-0092,cba-2,buy,completed,0.007,BTC,25.00,USD,hobby trade,2026-07-17T12:00:00Z
cbt-0093,cba-2,sell,completed,0.008,BTC,75.00,USD,hobby trade,2026-06-22T12:00:00Z
cbt-0094,cba-2,sell,completed,0.007,BTC,76.00,USD,hobby trade,2026-09-04T12:00:00Z
cbt-0095,cba-2,buy,completed,0.002,BTC,33.00,USD,hobby trade,2026-07-07T12:00:00Z
cbt-0096,cba-2,buy,completed,0.009,BTC,21.00,USD,hobby trade,2026-08-01T12:00:00Z
cbt-0097,cba-1,buy,completed,0.003,BTC,25.00,USD,hobby trade,2026-07-07T12:00:00Z
cbt-0098,cba-1,buy,completed,0.001,BTC,64.00,USD,hobby trade,2026-07-28T12:00:00Z
cbt-0099,cba-1,buy,completed,0.009,BTC,73.00,USD,hobby trade,2026-09-10T12:00:00Z
cbt-0100,cba-2,buy,completed,0.002,BTC,72.00,USD,hobby trade,2026-06-13T12:00:00Z
cbt-0101,cba-2,buy,completed,0.003,BTC,50.00,USD,hobby trade,2026-09-01T12:00:00Z
cbt-0102,cba-2,sell,completed,0.003,BTC,55.00,USD,hobby trade,2026-07-25T12:00:00Z
cbt-0103,cba-1,buy,completed,0.007,BTC,12.00,USD,hobby trade,2026-09-28T12:00:00Z
cbt-0104,cba-2,sell,completed,0.006,BTC,26.00,USD,hobby trade,2026-08-11T12:00:00Z
cbt-0105,cba-1,buy,completed,0.006,BTC,32.00,USD,hobby trade,2026-09-24T12:00:00Z
cbt-0106,cba-2,buy,completed,0.005,BTC,10.00,USD,hobby trade,2026-09-05T12:00:00Z
cbt-0107,cba-2,sell,completed,0.006,BTC,70.00,USD,hobby trade,2026-08-19T12:00:00Z
cbt-0108,cba-1,buy,completed,0.003,BTC,32.00,USD,hobby trade,2026-09-12T12:00:00Z
cbt-0109,cba-2,buy,completed,0.005,BTC,80.00,USD,hobby trade,2026-07-01T12:00:00Z
cbt-0110,cba-2,buy,completed,0.002,BTC,71.00,USD,hobby trade,2026-07-02T12:00:00Z
