Date	DayOfWeek	WorkoutType	Distance_mi	Duration_min	Pace_minPerMi	HeartRate_avg	Shoes	Notes
2026-10-05	Monday	Strength Training	0	45	-	128	N/A	Squats deadlifts core
2026-10-06	Tuesday	Track 8x800m	6.2	55	7:10	168	cushioned daily trainer	Track 5:30am
2026-10-08	Thursday	Track 5x1mi	7.5	65	7:15	170	cushioned daily trainer	Track 5:30am strong
2026-10-09	Friday	Strength Training	0	40	-	125	N/A	Upper body focus
2026-10-10	Saturday	Long Run 18mi	18.0	162	9:00	155	cushioned daily trainer	Sacred long run Bowie Running Club route
2026-10-12	Monday	Strength Training	0	45	-	130	N/A	Leg day
2026-10-13	Tuesday	Track 6x800m	5.8	50	7:05	165	cushioned daily trainer	5:30am track
2026-10-15	Thursday	Track 4x1mi	6.8	58	7:12	167	cushioned daily trainer	Good splits
2026-10-16	Friday	Strength Training	0	40	-	122	N/A	Taper week starts
2026-10-17	Saturday	Taper Run 12mi	12.0	108	9:00	148	cushioned daily trainer	Easy effort taper
2026-10-19	Monday	Easy Shakeout	4.0	38	9:30	138	max-cushion recovery shoe	Recovery pace
2026-10-21	Wednesday	Race Pace Strides	3.0	24	8:30	150	carbon-plate racer	Pre-race tune up
2026-10-25	Sunday	Marine Corps Marathon RACE	26.2	225	8:35	162	carbon-plate racer	RACE DAY sub-3:45 goal
