Day	Time	Activity	Child	Location	Transport	Notes
Monday	05:30 AM	Strength training	N/A	Home gym	N/A	Courtney workout
Tuesday	05:30 AM	Track workout	N/A	Local track	N/A	Courtney 8x800m
Tuesday	05:30 PM	Soccer practice	Kyle and Amy	Yorktown fields	Split Kevin/Courtney	Coordinate pickup with Kevin
Tuesday	06:00 PM	UMD teaching	N/A	UMD campus	Courtney drives	NUTR class 6-7:15pm
Wednesday	06:00 AM	Easy run	N/A	Neighborhood	N/A	Courtney recovery run
Wednesday	04:00 PM	Piano lesson	Kyle and Amy	Mr. Chen studio	Courtney drives	Gerald Chen 4-4:45pm
Thursday	05:30 AM	Track workout	N/A	Local track	N/A	Courtney 5x1mi
Thursday	05:30 PM	Soccer practice	Kyle and Amy	Yorktown fields	Split Kevin/Courtney	Same as Tuesday rotation
Thursday	06:00 PM	UMD teaching	N/A	UMD campus	Courtney drives	NUTR class 6-7:15pm
Friday	05:30 AM	Strength training	N/A	Home gym	N/A	Courtney workout
Saturday	Early AM	Long run SACRED	N/A	Bowie Running Club route	N/A	DO NOT schedule over this
Saturday	Morning	Soccer games	Kyle and Amy	Various fields	Kevin primary	Kevin covers while Courtney runs
Sunday	08:30 AM	Church arrival	Family	Grace Community Church	family SUV	Service 10:15am-12pm
Sunday	02:00 PM	Family video call	Family	Home	N/A	Maryland relatives - set reminder
Sunday	Afternoon	Meal prep	N/A	Home kitchen	N/A	Weekly prep including Grandma Nancy meals
