Category	Item	Quantity	Store	EstimatedCost	Notes
Produce	Sweet potatoes	5 lb bag	warehouse club	6.99	Grandma Nancy low-GI approved
Produce	Broccoli	2 heads	neighborhood grocer	3.98	Sunday meal prep
Produce	Spinach	1 bag	neighborhood grocer	3.49	Courtney smoothies
Produce	Bananas	1 bunch	neighborhood grocer	1.29	Pre-run fuel
Produce	Collard greens	1 bundle	neighborhood grocer	2.49	Traditional family recipe
Protein	Chicken thighs	5 lb	warehouse club	12.99	Amys baked chicken
Protein	Salmon fillets	2 lb	warehouse club	18.99	Weekly fish meal
Protein	Ground turkey	3 lb	warehouse club	10.99	Weeknight stir fry
Protein	Tilapia	2 lb	warehouse club	9.99	Friday dinner
Protein	Eggs	18 count	warehouse club	5.49	Breakfast staple
Grains	Brown rice	10 lb	warehouse club	8.99	No white rice Grandma Nancy rule
Grains	Whole wheat bread	2 loaves	neighborhood grocer	5.98	Sandwich bread
Grains	Oats	5 lb	warehouse club	7.99	Courtney breakfast
Grains	Pasta	2 lb	neighborhood grocer	3.98	Pre-long run carb load
Dairy	Oat milk	2 cartons	neighborhood grocer	5.98	Courtney coffee
Dairy	Greek yogurt	32 oz	warehouse club	6.99	High protein breakfast
Pantry	Coffee medium roast	1 bag	neighborhood grocer	9.99	Courtneys one cup before 6am
Pantry	black tea bags	1 box	warehouse club	4.99	Grandma Nancy evening ritual
Household	Paper towels	12 rolls	warehouse club	22.99	Bulk buy
Kids	cetirizine	30 count	general store	16.99	Amy seasonal allergy PRN
