ClientID	Status	TargetEvent	TrainingPhase	DailyCalories	Carbs_g	Protein_g	Fat_g	WeightKg	NextCheckIn	PaymentMethod
CM-001	Active	Half Marathon	Build	2400	310	145	75	62.1	2026-10-15	card processor
CM-002	Active	Marathon	Peak	2800	385	155	95	71.4	2026-10-22	mobile reader
CM-003	Active	Triathlon	Build	3100	420	165	105	78.2	2026-10-29	online app
CM-004	On hold	10K	Base	2000	255	120	65	58.9	2026-11-05	mobile reader
CM-005	Active	Ultra Marathon	Peak	3500	470	180	115	83.6	2026-11-12	card processor
CM-006	Active	Marathon	Build	2600	350	140	85	65.8	2026-11-19	mobile reader
CM-007	New intake	Half Ironman	Assessment	2900	395	158	98	74.3	2026-11-26	online app
CM-008	Active	Marathon	Peak	2500	335	138	80	63.7	2026-12-03	card processor
CM-009	Completed	5K	Maintenance	1800	230	110	60	54.2	2026-12-10	mobile reader
CM-010	Active	Half Marathon	Recovery	2200	290	130	70	60.5	2026-12-17	card processor
