Month	Category	Budgeted	Actual	Variance	Notes
November 2026	Mortgage	2400	2400	0	Fixed
November 2026	HOA	125	125	0	Fixed Mitchellville
November 2026	lawn care service	0	0	0	Service ends November
November 2026	Kevin remittance	300	300	0	Monthly to father FL
November 2026	Groceries	800	852	-52	Holiday prep started
November 2026	Gas and utilities	220	245	-25	Heating kicked in
November 2026	Kids activities	350	350	0	Soccer and piano
November 2026	Health insurance	480	480	0	Fixed
November 2026	HPSO insurance	850	850	0	Annual renewal paid
November 2026	Subscriptions	85	85	0	nutrition app fitness app streaming
November 2026	Car payments	580	580	0	Pilot and Camry
November 2026	Dining out	200	178	22	Post-marathon celebration
November 2026	Medical	150	220	-70	Hematology labs copay
December 2026	Mortgage	2400	2400	0	Fixed
December 2026	HOA	125	125	0	Fixed
December 2026	Groceries	900	0	0	Holiday premium budgeted
December 2026	Kids piano recital	50	0	0	Dec 5 recital flowers etc
December 2026	Holiday gifts	600	0	0	Family gifts budgeted
January 2027	Mortgage	2400	0	0	Projected
January 2027	Annual physical copay	50	0	0	Dr. Sharon Iweala Jan 15
