id,createdTime,Name,Status,Owner,Budget
rec_rdm4saqg,2026-09-29T01:30:00,Project 8xjw1d,Active,Jae,$35627
rec_myswponq,2026-06-18T16:35:00,Project v680t5,On Hold,Jae,$12324
rec_85jsu2n9,2026-02-04T03:41:00,Project rnu4ut,On Hold,Jae,$7226
rec_bfycllpk,2025-05-24T22:33:00,Project 6j2q4o,On Hold,Jae,$29009
rec_4ystvo30,2025-12-03T08:31:00,Project i4q3jl,Active,Jae,$8841
rec_1nx007ix,2025-06-03T13:52:00,Project o7wv0u,Active,Jae,$13478
rec_wn96q3u3,2026-05-18T04:58:00,Project 1023te,On Hold,Jae,$29646
rec_vjpd1b97,2025-07-25T23:45:00,Project v0v3e4,On Hold,Jae,$23568
rec_ni63tkl2,2026-03-15T14:32:00,Project weqefo,Active,Jae,$28954
rec_dhwo3mby,2025-12-03T08:22:00,Project mejfla,Active,Jae,$22892
rec_m2x4d0zg,2026-02-04T05:16:00,Project ejlmwu,On Hold,Jae,$37473
rec_1epav9n0,2025-09-08T19:06:00,Project n6ognd,On Hold,Jae,$16712
rec_11bnbdd1,2026-01-23T18:55:00,Project nujki1,Completed,Jae,$34140
rec_unlj40mp,2025-04-02T08:01:00,Project llwonr,Completed,Jae,$46235
rec_vaipakz5,2026-08-18T10:28:00,Project pn5k6d,Completed,Jae,$21208
rec_0tdyvuf9,2025-08-14T06:02:00,Project xtbcpx,Active,Jae,$3745
rec_nzdujv22,2026-08-08T18:08:00,Project xdm8zm,On Hold,Jae,$6146
rec_9gk1zxmd,2026-02-27T00:58:00,Project 58u49t,On Hold,Jae,$5896
rec_uedrqxur,2025-10-01T15:36:00,Project z69fqd,Active,Jae,$27198
rec_rf8h1nor,2026-06-12T03:31:00,Project en0b31,On Hold,Jae,$4391
rec_3au0wjt4,2026-07-03T11:23:00,Project luvlvd,On Hold,Jae,$30545
rec_v1duin80,2025-04-14T17:03:00,Project 2f799o,Completed,Jae,$19748
rec_kmcuywvc,2026-09-11T05:06:00,Project xifk21,Active,Jae,$15597
rec_ei3f5pvi,2025-12-06T12:01:00,Project cwr1c1,On Hold,Jae,$15579
rec_mr0uxo1b,2025-02-11T02:08:00,Project xctu1x,Completed,Jae,$10414
rec_x8mxjhll,2026-06-10T20:52:00,Project ik849f,Completed,Jae,$46001
rec_ta1vzc74,2025-07-08T04:47:00,Project p5vnq4,On Hold,Jae,$19371
rec_5duo2lww,2025-08-23T07:07:00,Project 8wpjr0,On Hold,Jae,$1347
rec_31plmzly,2025-10-25T12:23:00,Project lvob1f,On Hold,Jae,$14463
rec_u7yalvc3,2026-01-10T17:22:00,Project 044h46,Active,Jae,$35060
rec_mijusndg,2026-03-12T01:05:00,Project lzqgg2,Completed,Jae,$4011
rec_w0r0c9j3,2025-11-06T09:10:00,Project 2fwdpq,On Hold,Jae,$43576
rec_2owmtbmy,2025-09-15T20:54:00,Project phcgf3,Completed,Jae,$29254
rec_5tb2obd1,2025-01-14T15:26:00,Project j3kzjr,Completed,Jae,$9298
rec_svxpl3q4,2025-06-11T18:29:00,Project 1hbe80,Completed,Jae,$43344
rec_qj8tcstl,2025-08-30T10:31:00,Project 07etfi,On Hold,Jae,$42676
rec_tvi7tdhr,2026-02-12T10:37:00,Project enj8en,Completed,Jae,$37616
rec_ld5nvl6h,2025-09-11T19:25:00,Project sg1dli,Completed,Jae,$30522
rec_af2qj9p7,2025-08-30T11:03:00,Project 6040cd,Completed,Jae,$9763
rec_fm125l1p,2025-07-12T21:18:00,Project juq3gq,On Hold,Jae,$26556
rec_efg29v71,2026-09-17T19:06:00,Project zf2hty,Completed,Jae,$4646
rec_sl42wygp,2025-07-09T04:08:00,Project euzsqd,Completed,Jae,$9384
rec_6ufbja38,2025-06-23T00:00:00,Project ti9kgv,Active,Jae,$3832
rec_qqim0h7b,2025-11-06T10:40:00,Project e1fdbo,On Hold,Jae,$10896
rec_33ll799t,2025-11-12T09:27:00,Project e2pvsu,On Hold,Jae,$48759
rec_2dir8vgr,2025-01-10T11:35:00,Project jcealg,Completed,Jae,$10635
rec_wmy94ua2,2025-10-23T11:00:00,Project t6om9q,Completed,Jae,$36991
rec_1yel1dsl,2025-11-17T05:28:00,Project h2ukh4,Completed,Jae,$31491
rec_cqzf4rnx,2025-03-27T09:00:00,Project mqvx65,On Hold,Jae,$1262
rec_r4fiey21,2025-09-30T08:38:00,Project b5ow5b,Active,Jae,$27519
rec_oxch1qbo,2025-03-05T15:00:00,Project n4x02f,Active,Jae,$5152
rec_gt2zqeqw,2026-07-29T04:37:00,Project 1vh42g,On Hold,Jae,$24957
rec_e8gtofwa,2026-05-09T12:50:00,Project j4pozy,On Hold,Jae,$49779
rec_joxvse7s,2025-05-16T19:28:00,Project ut871f,On Hold,Jae,$48604
rec_03eao1p3,2025-05-19T06:43:00,Project wo12j7,Completed,Jae,$36359
rec_gpjuma1u,2026-07-17T19:10:00,Project hx4bdg,Active,Jae,$34525
rec_5mxbfh7g,2025-10-24T12:41:00,Project suluae,On Hold,Jae,$26125
rec_4tuy3yvp,2025-08-30T16:19:00,Project ksy41p,Active,Jae,$25005
rec_0ob0pgbb,2025-10-30T10:54:00,Project gag7gf,Active,Jae,$42013
rec_m92cif43,2025-02-21T21:46:00,Project im2v0a,Active,Jae,$1095
rec_8dloz68k,2026-01-09T17:35:00,Project 7je4hd,On Hold,Jae,$44998
rec_lhi6w4hj,2025-05-17T18:18:00,Project juqjn2,On Hold,Jae,$29405
rec_mod31d7w,2026-01-28T07:49:00,Project 9qeupq,Completed,Jae,$6629
rec_smys613d,2025-10-09T00:20:00,Project fimn8d,Active,Jae,$43867
rec_wh5ru3r2,2026-07-27T06:30:00,Project v2k006,Completed,Jae,$25469
rec_9ffd5g9p,2025-03-24T23:15:00,Project oo747q,Active,Jae,$30000
rec_hlx0ees6,2025-10-08T07:27:00,Project on86ad,On Hold,Jae,$7216
rec_pikg9xnc,2025-01-25T11:51:00,Project yohi7q,On Hold,Jae,$44777
rec_4nknd96w,2026-01-24T20:27:00,Project py98be,On Hold,Jae,$10399
rec_6e351so3,2025-05-10T02:44:00,Project lnplsl,Active,Jae,$19836
rec_pflatuty,2025-04-11T06:28:00,Project rfnn3l,On Hold,Jae,$45845
rec_xqq8rxq4,2026-04-27T19:01:00,Project vsvtkv,Active,Jae,$20568
rec_ix6e89fw,2025-09-03T20:19:00,Project 9rj5h4,On Hold,Jae,$32284
rec_1pfynbko,2025-12-01T01:00:00,Project fqwo8a,Completed,Jae,$49189
