id,createdTime,Name,Status,Project,EstimateHours,Done
rec_71cu7o47,2025-02-09T15:38:00,Task oi4nqo,Todo,proj_qijh,2,false
rec_ubr08ngt,2025-12-06T11:03:00,Task uvux3y,Todo,proj_x6qn,10,false
rec_6q0qoeh3,2026-03-07T18:55:00,Task xsaloo,Done,proj_h674,19,false
rec_l2wpjm0m,2025-08-06T16:40:00,Task 170gt9,Todo,proj_bzpp,8,false
rec_eg50tn0b,2025-08-03T17:13:00,Task oar8qs,Todo,proj_nqdr,2,false
rec_tvvn6f0e,2026-02-12T01:16:00,Task lepxvc,Done,proj_pb35,7,false
rec_cdxvfy01,2026-03-19T23:05:00,Task sxvzg4,Todo,proj_5str,6,false
rec_6f9dq4dr,2025-06-19T15:23:00,Task djwaaa,In Progress,proj_46mz,6,false
rec_eqg1ld60,2026-01-19T13:34:00,Task rd9tcy,In Progress,proj_sijg,24,false
rec_lvv8eq5l,2026-08-20T00:20:00,Task cdruug,Done,proj_dibl,6,false
rec_nzvj9gl9,2025-08-18T15:24:00,Task mjwe33,Done,proj_d2ud,22,false
rec_muh32hcz,2026-03-07T23:53:00,Task pzk89f,Done,proj_4s4d,11,false
rec_0v9vr6lc,2025-06-23T12:08:00,Task 6pva0u,Todo,proj_yjk6,19,false
rec_nez3o8gg,2026-02-20T23:31:00,Task 49r91s,In Progress,proj_7kit,14,false
rec_zldg93cl,2025-02-05T00:44:00,Task kmfenv,Todo,proj_xr6l,2,false
rec_m0yfcae0,2025-03-14T23:29:00,Task 4ywtgo,In Progress,proj_xyuh,7,false
rec_k88nroox,2026-06-14T20:16:00,Task ecy835,In Progress,proj_6a0s,29,false
rec_y3ngi4ru,2025-04-01T07:32:00,Task 5hey4w,Todo,proj_mmh4,21,false
rec_n63xc1w6,2026-04-28T22:22:00,Task x417v5,Todo,proj_ikiy,16,false
rec_1feaf8ck,2026-03-18T09:50:00,Task isczt7,In Progress,proj_zne8,29,false
rec_4g1njpnv,2025-12-07T01:18:00,Task b1ui4h,In Progress,proj_j9u5,31,false
rec_3j2o9o2v,2025-07-28T15:29:00,Task qeuwqh,In Progress,proj_uhtj,29,false
rec_tfh97nu4,2025-12-19T03:51:00,Task yamhpk,Done,proj_qmmy,29,false
rec_2tf2si3d,2026-05-15T22:58:00,Task v1j7ma,Done,proj_fvhc,3,false
rec_5as223u0,2026-01-26T01:41:00,Task xnjd6o,In Progress,proj_e0oo,10,false
rec_3roezb2b,2026-02-14T01:54:00,Task aoso98,Todo,proj_mk8o,27,false
rec_qohch4u8,2026-03-01T18:20:00,Task 2zzbmf,Todo,proj_4ctx,32,false
rec_4g7pjsf9,2025-05-21T03:50:00,Task gt6pe3,In Progress,proj_e5aw,21,false
rec_llkyr5by,2026-04-29T22:54:00,Task 52k15p,Done,proj_fhww,32,false
rec_ce5dlme5,2025-07-06T23:36:00,Task 6zkicc,Todo,proj_yr28,14,false
rec_2fds4qii,2026-07-10T07:40:00,Task prwkz8,Done,proj_h0ju,27,false
rec_ffnhnlmm,2026-03-11T03:57:00,Task h2ir8v,Done,proj_4vfq,30,false
rec_5ko8553s,2025-04-02T19:44:00,Task yrnaes,Done,proj_hl34,14,false
rec_1n012pji,2026-04-18T19:55:00,Task 9o0y3u,In Progress,proj_p3uj,14,false
rec_623a8d4a,2026-04-15T17:33:00,Task houwts,In Progress,proj_qoqd,21,false
rec_lfqtzi70,2026-03-04T00:57:00,Task sttlpo,Done,proj_i7rn,8,false
rec_61q04u8t,2025-05-29T10:41:00,Task 8opsus,Done,proj_b4zl,35,false
rec_2xa23o3y,2025-07-15T09:53:00,Task u8j660,Done,proj_br9k,22,false
rec_9eq00jgv,2026-08-02T21:25:00,Task u01d5n,Todo,proj_z5k2,24,false
rec_twftqy7u,2026-01-05T05:40:00,Task uuzfex,Done,proj_gxu4,15,false
rec_krgct5yn,2025-12-22T02:06:00,Task 473u45,Done,proj_a2lw,33,false
rec_ebbl2bfe,2026-03-19T18:58:00,Task 3zpmfi,In Progress,proj_kkog,2,false
rec_llmug8yo,2025-02-17T01:34:00,Task 9rqere,In Progress,proj_n3dj,30,false
rec_siaohetl,2026-02-01T02:05:00,Task lba7nu,Todo,proj_4ya9,13,false
rec_6nux4cqj,2026-01-26T00:15:00,Task jp0qte,Done,proj_t042,3,false
rec_aracrsdn,2025-08-15T12:28:00,Task 25522n,Todo,proj_3e9x,23,false
rec_7vhjy1dh,2026-03-20T05:20:00,Task 9h9gqo,Todo,proj_plts,18,false
rec_nsvlj7si,2025-08-24T21:37:00,Task ycwxpw,Done,proj_loa9,16,false
rec_5ip2082l,2025-05-04T23:36:00,Task df736x,In Progress,proj_46vk,18,false
rec_tu5byh0w,2026-03-31T09:26:00,Task ahkdgz,Todo,proj_rjhh,4,false
rec_mrbmdx62,2026-02-28T06:45:00,Task jv0937,In Progress,proj_5o3u,8,false
rec_39fessb2,2026-01-27T08:00:00,Task powcxk,Done,proj_11zl,23,false
rec_d1v1heoc,2026-01-12T02:34:00,Task o5uizo,Todo,proj_56kn,7,false
rec_hmx5i8ji,2026-01-04T18:22:00,Task 1gne8t,In Progress,proj_vp30,16,false
rec_l0n2oggf,2025-04-06T01:58:00,Task 1onosj,Done,proj_vv1u,8,false
rec_ffyigbtw,2026-01-03T19:09:00,Task p098sh,In Progress,proj_78cm,30,false
rec_tura3ali,2026-06-19T00:04:00,Task pk6rv2,In Progress,proj_hzbc,5,false
rec_wcfyl2dt,2025-04-20T06:33:00,Task tvu6tn,Done,proj_dbdi,18,false
rec_8j0tdwq5,2025-07-14T08:01:00,Task z53cak,Done,proj_ab1b,37,false
rec_8s1k0r2g,2026-01-30T05:05:00,Task lcvzgh,Done,proj_fsnm,35,false
rec_dw8h5eds,2026-03-29T22:30:00,Task kwkdk6,In Progress,proj_zo1h,28,false
rec_aaqe039j,2026-05-23T09:43:00,Task v01euf,Todo,proj_gnod,33,false
rec_k4c8o80p,2025-01-03T19:54:00,Task 5q2vri,Done,proj_0pv1,22,false
rec_ar3kx7aq,2026-06-03T09:46:00,Task h53xhj,In Progress,proj_tdt4,8,false
rec_c15vxxrw,2025-12-01T10:26:00,Task czuv95,In Progress,proj_okmq,23,false
rec_5xi5ra74,2026-09-07T12:25:00,Task hu2gee,Todo,proj_u43n,3,false
rec_6pft2bwe,2025-03-22T05:10:00,Task hggvpa,In Progress,proj_8c9z,18,false
rec_zjrhhcd6,2026-09-02T00:57:00,Task 9ejbgt,Done,proj_9np4,26,false
rec_x94jts44,2025-10-22T21:56:00,Task glg6cr,In Progress,proj_cte0,25,false
rec_en05hrmx,2025-05-19T19:12:00,Task bwxeqj,In Progress,proj_iwhk,1,false
rec_s77i1ivy,2026-09-04T05:32:00,Task i2xwng,Done,proj_z7i0,34,false
rec_9glrtor1,2025-04-12T17:09:00,Task 6zpyo3,In Progress,proj_unnc,30,false
rec_t1ya37ep,2025-01-08T08:41:00,Task habc3b,In Progress,proj_3d96,3,false
rec_qadosgu3,2025-01-29T08:54:00,Task 63rgiw,In Progress,proj_ydsf,30,false
rec_shz4nawl,2025-01-19T18:43:00,Task k60ofi,Todo,proj_05di,8,false
rec_yi3i704c,2025-08-24T10:35:00,Task usdbko,Todo,proj_y5fm,40,false
rec_o0bk5lt7,2025-07-02T13:54:00,Task vgtpgq,Done,proj_7ei9,6,false
rec_fq83q5wm,2025-04-18T04:06:00,Task wxtaip,In Progress,proj_rqtt,36,false
rec_pau9f69u,2025-02-24T09:40:00,Task pz3t8q,Done,proj_l13m,19,false
rec_qp2pchax,2026-08-13T09:18:00,Task j09lim,In Progress,proj_2l76,15,false
rec_1nxepog6,2025-06-27T02:45:00,Task zovwad,Todo,proj_lu68,15,false
rec_4a9yx22y,2026-01-11T23:51:00,Task z5stma,Done,proj_37fh,26,false
rec_kg8nifgf,2025-10-28T14:43:00,Task ykcode,Done,proj_gzvr,6,false
rec_zvj2iah8,2026-04-12T23:41:00,Task iku10d,Done,proj_es9g,8,false
rec_2py8ck71,2025-07-31T11:09:00,Task 18m4md,In Progress,proj_86ys,37,false
rec_v0rwifcq,2025-07-26T06:05:00,Task eazw7q,Done,proj_14ix,40,false
rec_6vnduzhq,2025-11-27T13:08:00,Task yy9l15,Done,proj_a257,37,false
rec_xhaxuq20,2026-08-15T19:04:00,Task 1l6ebl,In Progress,proj_v4po,22,false
rec_mj0a1m8b,2026-02-27T11:45:00,Task lt6mhh,Done,proj_k2nv,35,false
rec_mfyei5d6,2025-03-14T19:23:00,Task ioh2ff,Todo,proj_myc3,26,false
