date,requests,delivered,opens,unique_opens,clicks,unique_clicks,bounces,spam_reports,unsubscribes
2024-11-14,2,2,2,2,0,0,0,0,0
2024-12-14,2,2,2,2,0,0,0,0,0
2025-01-14,2,2,2,2,0,0,0,0,0
2025-02-14,2,2,2,2,0,0,0,0,0
2025-03-14,2,2,2,2,0,0,0,0,0
2025-04-14,2,2,2,2,0,0,0,0,0
2025-05-14,2,2,2,2,0,0,0,0,0
2025-06-14,2,2,2,2,0,0,0,0,0
2025-07-14,2,2,2,2,0,0,0,0,0
2025-08-14,2,2,2,2,0,0,0,0,0
2025-09-14,2,2,2,2,0,0,0,0,0
2025-10-14,2,2,2,2,0,0,0,0,0
2025-11-14,2,2,2,2,0,0,0,0,0
2025-12-14,2,2,2,2,0,0,0,0,0
2026-01-14,2,2,2,2,0,0,0,0,0
2026-02-14,2,2,2,2,0,0,0,0,0
2026-03-14,2,2,2,2,0,0,0,0,0
2026-04-14,2,2,2,2,0,0,0,0,0
2026-05-14,2,2,2,2,0,0,0,0,0
2026-06-14,2,2,2,2,0,0,0,0,0
2026-07-14,2,2,2,2,0,0,0,0,0
2026-08-14,2,2,2,2,0,0,0,0,0
2026-09-14,2,2,2,2,0,0,0,0,0
2026-10-14,2,2,2,2,0,0,0,0,0
