incident_id,incident_number,title,status,urgency,service_id,escalation_policy_id,assigned_to,created_at,resolved_at
INC-00001,1,Cloudflare edge purge notification,resolved,low,SVC-STOREFRONT,EP-STOREFRONT,U-SAM,2026-07-02T13:03:03Z,2026-07-02T15:20:03Z
INC-00002,2,Cloudflare edge purge notification,resolved,high,SVC-STOREFRONT,EP-STOREFRONT,U-SAM,2026-07-02T13:01:23Z,2026-07-02T15:34:23Z
INC-00003,3,Checkout errors above threshold,acknowledged,high,SVC-CDN,EP-STOREFRONT,U-SAM,2026-07-02T13:00:46Z,2026-07-02T16:32:46Z
INC-00004,4,Cloudflare edge purge notification,resolved,high,SVC-CDN,EP-STOREFRONT,U-SAM,2026-07-02T13:07:25Z,2026-07-02T14:13:25Z
INC-00005,5,Cloudflare 502 spike,resolved,low,SVC-CDN,EP-STOREFRONT,U-SAM,2026-07-02T13:06:54Z,2026-07-02T14:07:54Z
INC-00006,6,Storefront uptime dip,resolved,high,SVC-CHECKOUT,EP-STOREFRONT,U-SAM,2026-07-02T13:01:07Z,2026-07-02T15:25:07Z
INC-00007,7,Manual synth check failure,resolved,high,SVC-CHECKOUT,EP-STOREFRONT,U-SAM,2026-07-02T13:03:05Z,2026-07-02T13:51:05Z
INC-00008,8,Klaviyo tracking script blocking checkout,resolved,high,SVC-STOREFRONT,EP-STOREFRONT,U-SAM,2026-07-02T13:06:23Z,2026-07-02T15:57:23Z
INC-00009,9,DB CPU sustained,acknowledged,high,SVC-CHECKOUT,EP-STOREFRONT,U-SAM,2026-07-02T13:02:44Z,2026-07-02T14:14:44Z
INC-00010,10,Storefront uptime dip,resolved,low,SVC-STOREFRONT,EP-STOREFRONT,U-SAM,2026-07-02T13:05:01Z,2026-07-02T14:58:01Z
INC-00011,11,Manual synth check failure,acknowledged,high,SVC-CHECKOUT,EP-STOREFRONT,U-SAM,2026-07-02T13:07:03Z,2026-07-02T14:57:03Z
INC-00012,12,Cart abandon anomaly,resolved,low,SVC-CDN,EP-STOREFRONT,U-SAM,2026-07-02T13:00:54Z,2026-07-02T16:06:54Z
INC-00013,13,Storefront uptime dip,resolved,low,SVC-STOREFRONT,EP-STOREFRONT,U-SAM,2026-07-02T13:00:35Z,2026-07-02T16:00:35Z
INC-00014,14,Storefront uptime dip,resolved,high,SVC-CDN,EP-STOREFRONT,U-SAM,2026-07-02T13:03:27Z,2026-07-02T15:18:27Z
INC-00015,15,PayPal button late-load,resolved,low,SVC-CHECKOUT,EP-STOREFRONT,U-SAM,2026-07-02T13:07:06Z,2026-07-02T15:44:06Z
