Title	Author	Category	Status	Rating	Date_Finished
Dance Hall of the Dead	Tony Hillerman	Mystery	Finished	5	2025-10-12
The Cold Dish	Craig Johnson	Mystery	Finished	5	2025-11-03
Death Without Company	Craig Johnson	Mystery	Finished	4	2025-11-28
The Blessing Way	Tony Hillerman	Mystery	Finished	4	2025-12-19
A History of Wyoming	T.A. Larson	History	Finished	4	2026-01-09
The Scottish Nation	T.M. Devine	History	Reading		
The Cloudspotter Guide	Gavin Pretor-Pinney	Weather science	Finished	5	2026-01-27
The Weather Machine	Andrew Blum	Weather science	Reading		
Kingdom of the Blind	Louise Penny	Mystery	On shelf		
Roughing It	Mark Twain	History	Finished	3	2025-09-15
