Date	Station	Precip_in	Snow_in	Snow_Depth_in	Note
2026-02-01	KWYCODY0142	0.00	0.0	2	clear and cold
2026-02-02	KWYCODY0142	0.04	0.6	2	light overnight snow
2026-02-03	KWYCODY0142	0.00	0.0	2	wind out of the west
2026-02-04	KWYCODY0142	0.12	1.4	3	steady snow midday
2026-02-05	KWYCODY0142	0.00	0.0	3	chinook warming
2026-02-06	KWYCODY0142	0.00	0.0	1	drifts melting off south fence
2026-02-07	KWYCODY0142	0.02	0.3	1	trace flurries
2026-02-08	KWYCODY0142	0.00	0.0	1	clear
2026-02-09	KWYCODY0142	0.18	2.1	3	squall line late afternoon
2026-02-10	KWYCODY0142	0.06	0.8	4	light snow continuing
2026-02-11	KWYCODY0142	0.00	0.0	4	cold and still
2026-02-12	KWYCODY0142	0.00	0.0	3	sun on the tanks
2026-02-13	KWYCODY0142	0.09	1.1	4	afternoon snow band
2026-02-14	KWYCODY0142	0.00	0.0	3	clearing overnight
2026-02-15	KWYCODY0142	0.00	0.0	2	warm for the date
2026-02-16	KWYCODY0142	0.21	2.6	4	heaviest of the week
2026-02-17	KWYCODY0142	0.03	0.4	4	tapering
2026-02-18	KWYCODY0142	0.00	0.0	3	calm, tended the garden plot
2026-02-19	KWYCODY0142	0.00	0.0	2	high pressure
2026-02-20	KWYCODY0142	0.07	0.9	3	brief snow shower
2026-02-21	KWYCODY0142	0.00	0.0	2	clear and dry
2026-02-22	KWYCODY0142	0.00	0.0	2	wind 15 to 20
2026-02-23	KWYCODY0142	0.14	1.7	3	snow before midnight
2026-02-24	KWYCODY0142	0.00	0.0	3	clear, board meeting night
2026-02-25	KWYCODY0142	0.00	0.0	2	mild
2026-02-26	KWYCODY0142	0.05	0.7	2	light flurries
2026-02-27	KWYCODY0142	0.00	0.0	1	fast melt
2026-02-28	KWYCODY0142	0.00	0.0	1	clear, month end
Month_Total	KWYCODY0142	1.01	12.6		February summary
