number,repo,head_branch,base_branch,merged,mergeable,draft,review_state,additions,deletions,changed_files,checks_status
github_pulls_1000,repo_0,head_branch_0,base_branch_0,merged_0,mergeable_0,draft_0,open,additions_0,deletions_0,changed_files_0,open
github_pulls_1001,repo_1,head_branch_1,base_branch_1,merged_1,mergeable_1,draft_1,open,additions_1,deletions_1,changed_files_1,open
github_pulls_1002,repo_2,head_branch_2,base_branch_2,merged_2,mergeable_2,draft_2,done,additions_2,deletions_2,changed_files_2,closed
github_pulls_1003,repo_3,head_branch_3,base_branch_3,merged_3,mergeable_3,draft_3,open,additions_3,deletions_3,changed_files_3,open
github_pulls_1004,repo_4,head_branch_4,base_branch_4,merged_4,mergeable_4,draft_4,closed,additions_4,deletions_4,changed_files_4,active
github_pulls_1005,repo_5,head_branch_5,base_branch_5,merged_5,mergeable_5,draft_5,open,additions_5,deletions_5,changed_files_5,done
github_pulls_1006,repo_6,head_branch_6,base_branch_6,merged_6,mergeable_6,draft_6,active,additions_6,deletions_6,changed_files_6,closed
github_pulls_1007,repo_7,head_branch_7,base_branch_7,merged_7,mergeable_7,draft_7,active,additions_7,deletions_7,changed_files_7,done
github_pulls_1008,repo_8,head_branch_8,base_branch_8,merged_8,mergeable_8,draft_8,open,additions_8,deletions_8,changed_files_8,closed
github_pulls_1009,repo_9,head_branch_9,base_branch_9,merged_9,mergeable_9,draft_9,done,additions_9,deletions_9,changed_files_9,open
github_pulls_1010,repo_10,head_branch_10,base_branch_10,merged_10,mergeable_10,draft_10,active,additions_10,deletions_10,changed_files_10,closed
github_pulls_1011,repo_11,head_branch_11,base_branch_11,merged_11,mergeable_11,draft_11,active,additions_11,deletions_11,changed_files_11,open
github_pulls_1012,repo_12,head_branch_12,base_branch_12,merged_12,mergeable_12,draft_12,active,additions_12,deletions_12,changed_files_12,closed
github_pulls_1013,repo_13,head_branch_13,base_branch_13,merged_13,mergeable_13,draft_13,active,additions_13,deletions_13,changed_files_13,closed
github_pulls_1014,repo_14,head_branch_14,base_branch_14,merged_14,mergeable_14,draft_14,active,additions_14,deletions_14,changed_files_14,done
github_pulls_1015,repo_15,head_branch_15,base_branch_15,merged_15,mergeable_15,draft_15,done,additions_15,deletions_15,changed_files_15,done
github_pulls_1016,repo_16,head_branch_16,base_branch_16,merged_16,mergeable_16,draft_16,open,additions_16,deletions_16,changed_files_16,closed
github_pulls_1017,repo_17,head_branch_17,base_branch_17,merged_17,mergeable_17,draft_17,done,additions_17,deletions_17,changed_files_17,active
github_pulls_1018,repo_18,head_branch_18,base_branch_18,merged_18,mergeable_18,draft_18,done,additions_18,deletions_18,changed_files_18,done
github_pulls_1019,repo_19,head_branch_19,base_branch_19,merged_19,mergeable_19,draft_19,active,additions_19,deletions_19,changed_files_19,active
github_pulls_1020,repo_20,head_branch_20,base_branch_20,merged_20,mergeable_20,draft_20,open,additions_20,deletions_20,changed_files_20,active
github_pulls_1021,repo_21,head_branch_21,base_branch_21,merged_21,mergeable_21,draft_21,closed,additions_21,deletions_21,changed_files_21,done
github_pulls_1022,repo_22,head_branch_22,base_branch_22,merged_22,mergeable_22,draft_22,active,additions_22,deletions_22,changed_files_22,done
github_pulls_1023,repo_23,head_branch_23,base_branch_23,merged_23,mergeable_23,draft_23,open,additions_23,deletions_23,changed_files_23,done
github_pulls_1024,repo_24,head_branch_24,base_branch_24,merged_24,mergeable_24,draft_24,active,additions_24,deletions_24,changed_files_24,active
github_pulls_1025,repo_25,head_branch_25,base_branch_25,merged_25,mergeable_25,draft_25,done,additions_25,deletions_25,changed_files_25,closed
github_pulls_1026,repo_26,head_branch_26,base_branch_26,merged_26,mergeable_26,draft_26,active,additions_26,deletions_26,changed_files_26,open
github_pulls_1027,repo_27,head_branch_27,base_branch_27,merged_27,mergeable_27,draft_27,active,additions_27,deletions_27,changed_files_27,open
github_pulls_1028,repo_28,head_branch_28,base_branch_28,merged_28,mergeable_28,draft_28,closed,additions_28,deletions_28,changed_files_28,active
github_pulls_1029,repo_29,head_branch_29,base_branch_29,merged_29,mergeable_29,draft_29,closed,additions_29,deletions_29,changed_files_29,active
github_pulls_1030,repo_30,head_branch_30,base_branch_30,merged_30,mergeable_30,draft_30,done,additions_30,deletions_30,changed_files_30,closed
github_pulls_1031,repo_31,head_branch_31,base_branch_31,merged_31,mergeable_31,draft_31,closed,additions_31,deletions_31,changed_files_31,open
github_pulls_1032,repo_32,head_branch_32,base_branch_32,merged_32,mergeable_32,draft_32,open,additions_32,deletions_32,changed_files_32,closed
github_pulls_1033,repo_33,head_branch_33,base_branch_33,merged_33,mergeable_33,draft_33,closed,additions_33,deletions_33,changed_files_33,closed
github_pulls_1034,repo_34,head_branch_34,base_branch_34,merged_34,mergeable_34,draft_34,done,additions_34,deletions_34,changed_files_34,open
github_pulls_1035,repo_35,head_branch_35,base_branch_35,merged_35,mergeable_35,draft_35,closed,additions_35,deletions_35,changed_files_35,closed
github_pulls_1036,repo_36,head_branch_36,base_branch_36,merged_36,mergeable_36,draft_36,done,additions_36,deletions_36,changed_files_36,done
github_pulls_1037,repo_37,head_branch_37,base_branch_37,merged_37,mergeable_37,draft_37,done,additions_37,deletions_37,changed_files_37,done
github_pulls_1038,repo_38,head_branch_38,base_branch_38,merged_38,mergeable_38,draft_38,done,additions_38,deletions_38,changed_files_38,open
github_pulls_1039,repo_39,head_branch_39,base_branch_39,merged_39,mergeable_39,draft_39,done,additions_39,deletions_39,changed_files_39,closed
github_pulls_1040,repo_40,head_branch_40,base_branch_40,merged_40,mergeable_40,draft_40,closed,additions_40,deletions_40,changed_files_40,open
