Observer	Jeff Peterson
Log	Ridgetop weather observations, route opening reference
Station	Rendezvous summit weather plot, Teton Summit Resort
Season	Winter 2025-26

Date	Time	Air_temp_C	Wind_dir	Wind_mph	Gust_mph	New_snow_cm	Sky	SWE_mm
2025-12-08	05:30	-12.0	SW	14	28	6	Few clouds	5
2025-12-15	05:30	-15.5	W	22	41	11	Obscured	9
2025-12-27	05:30	-8.0	SW	9	18	3	Clear	2
2026-01-05	05:30	-18.0	NW	6	15	0	Clear	0
2026-01-12	05:30	-10.5	SW	17	33	8	Broken	7
2026-01-28	05:30	-6.0	S	25	48	14	Snowing	12
2026-02-09	05:30	-9.5	SW	20	38	18	Few clouds	15
2026-02-16	05:30	-4.5	SW	12	26	5	Overcast	4

Note	Readings taken at the 0530 report before route opening
Coldest_morning	2026-01-05 at -18.0 C
Biggest_load	2026-02-09, 18 cm new on SW wind
