artist_id,name,genres,followers,popularity
art_00,Bon Iver,indie folk|folk,385107,55
art_01,Phoebe Bridgers,indie|singer-songwriter,973103,77
art_02,Iron & Wine,indie folk,108520,61
art_03,Fleet Foxes,indie folk,1094663,61
art_04,The National,indie rock,2249137,61
art_05,Sufjan Stevens,indie folk,2102554,54
art_06,Big Thief,indie folk,2652553,82
art_07,Gregory Alan Isakov,folk,2300470,61
art_08,The Tallest Man on Earth,folk,1075547,80
art_09,Andrew Bird,indie folk,2545428,74
art_10,Nick Drake,folk,2046036,79
art_11,Bonny Light Horseman,folk,1470123,74
art_12,Jose Gonzalez,folk,3199363,77
art_13,Damien Rice,folk,177640,80
art_14,Ray LaMontagne,folk,2509760,63
art_15,This American Life,podcast,1860042,57
art_16,Ologies with Alie Ward,science podcast,910982,78
art_17,The Wild with Chris Morgan,nature podcast,2564369,82
art_18,Every Little Thing,podcast,1887629,63
art_19,Radiolab,science podcast,2763892,61
