Genre	Artist or Album	Specific Songs or Notes	When I Listen	Format	Notes
Folk	James Taylor	Sweet Baby James; Fire and Rain; You've Got a Friend; Carolina in My Mind; October Road; New Hymn; Shower the People	Sunday afternoons; when I am missing Harry; while cooking a long Sunday meal	LP (Harry's records); streaming on the tablet Karen set up	Harry's favorite. The records are still in the living room cabinet. I have not moved them.
Folk	Carole King -- Tapestry	I Feel the Earth Move; So Far Away; It's Too Late; Will You Love Me Tomorrow	While quilting; rainy mornings with tea	Streaming; I also have this on cassette somewhere	Harry and I listened to this record in our first apartment. 1971. The whole album is a memory.
Folk	Simon and Garfunkel	The Sound of Silence; Bridge Over Troubled Water; April Come She Will; Scarborough Fair; El Condor Pasa	Morning walks (on earbuds); Sunday quiet time	Streaming	Bridge Over Troubled Water was played at Harry's service by the choir.
Bluegrass	Alison Krauss and Union Station	Forget About It; Down to the River to Pray; Baby Now That I've Found You	While canning or preserving; summer evenings on the porch	Streaming	Emily introduced me to Alison Krauss. She has impeccable taste.
Bluegrass	Nickel Creek	The Lighthouse's Tale; When in Rome; This Side	While doing garden work inside in winter	Streaming	Found through a PBS special years ago. Still fresh every time.
Bluegrass	Various -- Maine Folk Festival recordings	Local artists; traditional fiddle and banjo; contra dance tunes	Summer months; while making tea; reminiscing	CDs purchased at festival	Went to the Maine Folk Festival in Bangor twice with Harry and the children. Happy memories.
Hymns	The Hymnal 1982 (Episcopal)	A Mighty Fortress; Holy Holy Holy; How Great Thou Art; For All the Saints; Joyful Joyful; Immortal Invisible; Come Thou Fount	Sunday mornings; during morning prayer; Advent and Christmas especially	Hymnal at church; also hum from memory	The Navy Hymn (Eternal Father Strong to Save) was sung at Harry's memorial. I cannot hear it without feeling everything.
Hymns	Various Gregorian chant recordings	Vespers; Lauds; Salve Regina; Ave Maria	Evening; bedtime	CD (borrowed from library); streaming	Something about the chant reaches a place in me that spoken prayer does not always reach. Quiets the mind.
Hymns	Celtic hymns and Irish sacred music	Be Thou My Vision; St. Patrick's Breastplate; Lord of All Hopefulness	Morning; during Lent	Streaming	Nana Ruth sang these. She came from England but knew all the Celtic hymns.
Classical	Yo-Yo Ma -- Bach Cello Suites	Suite No. 1 in G Major; Suite No. 2 in D Minor especially	During herbal sessions as background; when I need to concentrate	Streaming	I put the Bach suites on in the apothecary room during some consultations. Clients seem to settle into them.
Classical	Vivaldi -- The Four Seasons	La Primavera; L'Estate; L'Autunno; L'Inverno	Spring and fall especially; while reading or stitching	CD; streaming	Harry thought Vivaldi was too busy but admitted he did not mind L'Autunno. I play it in October.
Classical	Pachelbel -- Canon in D; assorted Baroque	Canon in D; assorted Handel and Telemann	Sunday mornings before church	Streaming	Meditative and unhurried. Right for Sundays.
Classical	Enya and Celtic ambient instrumental	Watermark; May It Be; Only Time	When falling asleep; gentle mornings	CD; streaming	Dot gave me the first Enya CD in 1995. I have played it more than any other recording I own.
Quiet background	Nature sounds and birdsong recordings	Dawn chorus; Maine forest sounds; ocean wave recordings	During blood pressure readings and home rest; during herbal sessions for calming	Streaming (YouTube or Karen's tablet app)	Dr. Chambers said any relaxation practice helps with blood pressure. This is one of mine.
