Title	Author	Genre	Status	Date Finished
I'll Be Gone in the Dark	Michelle McNamara	True crime	Finished	2025-09-14
In Cold Blood	Truman Capote	True crime	Finished	2025-10-22
Just Mercy	Bryan Stevenson	Legal nonfiction	Finished	2025-11-30
The New Jim Crow	Michelle Alexander	Legal nonfiction	Finished	2026-01-05
Lincoln in the Bardo	George Saunders	Literary fiction	Finished	2026-02-11
The Nickel Boys	Colson Whitehead	Literary fiction	In progress	
Tenth of December	George Saunders	Literary fiction	To read	
The Underground Railroad	Colson Whitehead	Literary fiction	To read	
Chase Darkness with Me	Billy Jensen	True crime	To read	
Unreasonable	Julian Adler	Legal nonfiction	To read	
