id,name,overview,first_air_date,vote_average,vote_count,genre_ids,popularity,number_of_seasons,number_of_episodes
3000,Show 0,A series.,2010-01-01,4.6,429,100,56.65,1,81
3001,Show 1,A series.,2011-02-02,7.5,1747,101,79.48,2,47
3002,Show 2,A series.,2012-03-03,6.6,590,102,70.51,3,75
3003,Show 3,A series.,2013-04-04,7.5,1321,103,23.94,4,52
3004,Show 4,A series.,2014-05-05,8.7,63,104,5.63,5,105
3005,Show 5,A series.,2015-06-06,6.2,1774,105,62.62,6,28
3006,Show 6,A series.,2016-07-07,6.2,2299,106,33.17,7,108
3007,Show 7,A series.,2017-08-08,8.7,2553,107,70.62,8,64
3008,Show 8,A series.,2018-09-09,4.0,1691,108,18.94,1,118
3009,Show 9,A series.,2019-10-10,6.8,966,109,61.44,2,39
3010,Show 10,A series.,2020-11-11,6.4,1384,110,62.71,3,86
3011,Show 11,A series.,2021-12-12,7.8,2415,111,50.49,4,27
