id,title,overview,release_date,vote_average,vote_count,genre_ids,popularity,original_language
1000,Movie 0,A story.,2000-01-01,7.2,1691,100,87.16,en
1001,Movie 1,A story.,2001-02-02,4.4,2399,101,96.04,en
1002,Movie 2,A story.,2002-03-03,5.1,2653,102,48.03,en
1003,Movie 3,A story.,2003-04-04,6.0,367,103,12.19,en
1004,Movie 4,A story.,2004-05-05,8.5,1040,104,12.74,en
1005,Movie 5,A story.,2005-06-06,7.8,1919,105,33.01,en
1006,Movie 6,A story.,2006-07-07,6.7,1053,106,10.74,en
1007,Movie 7,A story.,2007-08-08,8.1,1370,107,97.63,en
1008,Movie 8,A story.,2008-09-09,6.7,3937,108,80.56,en
1009,Movie 9,A story.,2009-10-10,4.5,3776,109,57.38,en
1010,Movie 10,A story.,2010-11-11,8.6,2336,110,57.15,en
1011,Movie 11,A story.,2011-12-12,7.2,192,111,22.5,en
