inquiry_date,source,event_type,requested_date,guest_count,quoted_per_head,quoted_total,deposit_received,status,follow_up_owner,notes
2026-05-04,website_form,rehearsal_dinner,2026-06-14,35,58,2030,0,lost_to_price,Andreas,Guest went with a Tampa venue, said we were $8 per head over
2026-05-11,walk_in,birthday_dinner,2026-06-07,22,52,1144,300,booked,Andreas,Booked at original Sunday afternoon private room
2026-05-18,instagram_dm,corporate_lunch,2026-06-02,18,44,792,0,no_response_from_lead,Maria,Sent quote never replied
2026-05-22,referral_petros,anniversary_dinner,2026-06-21,14,65,910,200,booked,Aaron,Petros referral treated as friends and family pricing
2026-06-03,website_form,rehearsal_dinner,2026-07-19,48,55,2640,0,lost_reason_unspecified,Andreas,No feedback from lead after third follow up email
2026-06-10,yelp_message,birthday_dinner,2026-07-11,28,50,1400,0,declined_by_us,Maria,Wanted us on a Saturday during peak dinner impossible to accommodate
2026-06-14,walk_in,baptism_luncheon,2026-07-26,60,48,2880,600,booked,Aaron,Church referral through Fr Konstantinos priced generously
2026-06-19,website_form,corporate_dinner,2026-07-30,25,68,1700,0,lost_to_price,Andreas,Corporate buyer said budget was $55 max
2026-06-25,eventbrite,wine_pairing_dinner,2026-08-15,32,85,2720,800,booked,Aaron,Ticketed dinner ran as scheduled patio buyout
2026-07-01,phone_inquiry,rehearsal_dinner,2026-08-22,42,60,2520,0,no_response_from_lead,Andreas,Quoted same day never heard back
2026-07-08,website_form,birthday_dinner,2026-08-09,20,54,1080,0,lost_to_price,Andreas,Same night quote for a competing venue was $700 lower
2026-07-14,walk_in,graduation_lunch,2026-08-04,16,42,672,150,booked,Maria,Small graduation party from parish
2026-07-19,instagram_dm,engagement_dinner,2026-08-30,55,58,3190,0,lost_reason_unspecified,Andreas,Third follow up went unanswered
2026-07-25,website_form,rehearsal_dinner,2026-09-06,38,62,2356,0,pending_awaiting_deposit,Andreas,Verbal yes never sent deposit follow up needed
2026-07-31,phone_inquiry,corporate_lunch,2026-09-01,22,46,1012,0,declined_by_us,Aaron,Wanted delivery to office not on our operational model
2026-08-05,walk_in,retirement_dinner,2026-09-13,26,56,1456,400,booked,Aaron,Guest was a longtime regular treated generously
2026-08-12,website_form,rehearsal_dinner,2026-09-27,45,64,2880,0,lost_to_price,Andreas,Chose caterer that quoted $52 per head
2026-08-18,referral_george,birthday_dinner,2026-09-20,18,50,900,0,no_response_from_lead,Andreas,Quoted per George referral no reply
2026-08-24,website_form,corporate_holiday,2026-11-14,80,62,4960,0,pending_awaiting_deposit,Andreas,Big fish they are shopping three venues no commitment yet
2026-09-02,walk_in,birthday_dinner,2026-10-05,24,52,1248,300,booked,Maria,Alt 19 private area sit-down
2026-09-08,website_form,rehearsal_dinner,2026-10-25,52,66,3432,0,no_response_from_lead,Andreas,Sent quote via HubSpot follow up sequence stalled at second touch
2026-09-15,instagram_dm,anniversary_dinner,2026-10-18,12,72,864,0,lost_to_date_conflict,Andreas,Wanted engagement party night impossible
2026-09-22,website_form,corporate_lunch,2026-10-30,30,48,1440,0,pending_no_response,Andreas,Sat in inbox unanswered eight days
2026-09-28,phone_inquiry,rehearsal_dinner,2026-11-07,40,60,2400,0,pending_awaiting_deposit,Andreas,Verbal yes waiting on signed contract
2026-10-03,website_form,birthday_dinner,2026-10-24,18,54,972,0,no_response_from_lead,Maria,Quote sent no reply
2026-10-09,walk_in,corporate_dinner,2026-11-21,35,68,2380,0,pending_awaiting_deposit,Andreas,In discussion says our per head is high
