listing_id,address,city,property_type,units,list_price,gross_rent_monthly,annual_taxes,annual_insurance,year_built,days_on_market,status,alert_date,notes
TS-4412,318 Athens St,Tarpon Springs,Fourplex,4,498000,4400,6100,4800,1978,12,Active,2026-10-13,Fresh listing all units occupied
TS-4388,742 Grand Blvd,Tarpon Springs,Fourplex,4,580000,5000,6900,5200,1985,78,Active,2026-08-02,Price reduced twice one unit vacant
TS-4401,205 Hope St,Tarpon Springs,Fourplex,4,445000,4200,5400,4600,1972,45,Active,2026-09-05,Older roof needs work strong rents
TS-4419,880 Roosevelt Blvd,Tarpon Springs,Fourplex,4,610000,5400,7300,5500,1991,8,Active,2026-10-14,New to market fully renovated
TS-4370,533 Ring Ave,Tarpon Springs,Triplex,3,395000,3600,4800,4100,1969,15,Active,2026-10-08,Three units two on month to month
TS-4356,120 Lemon St,Tarpon Springs,Duplex,2,289000,2500,3200,3000,1965,52,Active,2026-08-26,Below target unit count
PH-2231,455 Alt 19 N,Palm Harbor,Fourplex,4,565000,4500,6600,5100,1988,89,Active,2026-07-20,Long DOM soft rents flood zone AE
PH-2244,90 Nebraska Ave,Palm Harbor,Duplex,2,340000,2800,3900,3400,1979,55,Active,2026-08-24,Duplex not target profile
TS-4290,410 Disston Ave,Tarpon Springs,Fourplex,4,512000,4600,6200,4900,1981,0,Sold,2026-09-18,SOLD closed at 512000 comp
TS-4275,655 Pine St,Tarpon Springs,Fourplex,4,535000,4800,6500,5000,1983,0,Sold,2026-08-11,SOLD closed at 535000 comp
PH-2198,1330 Palm Harbor Blvd,Palm Harbor,Single Family,1,272000,1750,2600,2400,1990,0,Sold,2026-09-22,SOLD comp for P1 valuation
PH-2205,1410 Florida Ave,Palm Harbor,Single Family,1,258000,1650,2500,2300,1986,0,Sold,2026-08-30,SOLD comp for P1 valuation
