month,property,gross_rent,mortgage,insurance,maintenance,management_fee,net_income
2026-07,P1 Palm Harbor,1600,0,110,50,160,1280
2026-07,P2 Tarpon 3BR,2000,1100,95,75,200,530
2026-07,P3A Duplex Unit A,1350,925,80,40,135,170
2026-07,P3B Duplex Unit B,1400,925,80,60,140,195
2026-08,P1 Palm Harbor,1600,0,110,50,160,1280
2026-08,P2 Tarpon 3BR,2000,1100,95,75,200,530
2026-08,P3A Duplex Unit A,1350,925,80,40,135,170
2026-08,P3B Duplex Unit B,1400,925,80,60,140,195
2026-09,P1 Palm Harbor,1600,0,110,50,160,1280
2026-09,P2 Tarpon 3BR,2000,1100,95,75,200,530
2026-09,P3A Duplex Unit A,1350,925,80,40,135,170
2026-09,P3B Duplex Unit B,1400,925,80,60,140,195
