week_ending,location,dine_in,takeout,catering,total,covers,avg_check
2026-09-06,Original,18500,3200,800,22500,420,43.75
2026-09-06,Alt 19,16200,2800,600,19600,380,42.63
2026-09-13,Original,18500,3200,800,22500,420,43.75
2026-09-13,Alt 19,16200,2800,600,19600,380,42.63
2026-09-20,Original,18500,3200,800,22500,420,43.75
2026-09-20,Alt 19,16200,2800,600,19600,380,42.63
2026-09-27,Original,18500,3200,800,22500,420,43.75
2026-09-27,Alt 19,16200,2800,600,19600,380,42.63
2026-10-04,Original,18500,3200,800,22500,420,43.75
2026-10-04,Alt 19,16200,2800,600,19600,380,42.63
2026-10-11,Original,18500,3200,800,22500,420,43.75
2026-10-11,Alt 19,16200,2800,600,19600,380,42.63
