item,greek_imports_price,parthenon_price,sysco_price,unit,current_supplier
Feta cheese (block),4.25,4.50,5.10,lb,Greek Imports
Kalamata olives,6.80,7.20,8.50,lb,Greek Imports
Phyllo dough,3.50,3.25,4.00,pack,Parthenon
Grape leaves (jar),4.10,4.30,5.00,jar,Greek Imports
Gyro meat (cone),85.00,88.00,82.00,cone,Sysco
Olive oil (extra virgin),28.00,32.00,35.00,gallon,Kalamata Olive Co
Saganaki cheese,12.50,11.80,14.00,lb,Parthenon
Tzatziki base,8.00,7.50,9.00,quart,Parthenon
Pita bread,1.20,1.35,1.10,dozen,Sysco
Baklava walnuts,14.00,15.00,16.50,lb,Greek Imports
