week_ending,location,dine_in,takeout,catering,total,covers,avg_check
2026-09-06,Original,17600,2950,650,21200,402,43.78
2026-09-06,Alt 19,15800,2600,500,18900,372,42.47
2026-09-13,Original,18200,3100,900,22200,418,43.54
2026-09-13,Alt 19,16100,2900,600,19600,379,42.48
2026-09-20,Original,19100,3400,700,23200,431,44.32
2026-09-20,Alt 19,15400,2700,450,18550,366,42.08
2026-09-27,Original,18700,2800,1200,22700,423,44.21
2026-09-27,Alt 19,16600,3000,700,20300,388,42.78
2026-10-04,Original,19800,3600,850,24250,445,44.49
2026-10-04,Alt 19,17200,3100,550,20850,402,42.79
2026-10-11,Original,20400,3300,950,24650,456,44.74
2026-10-11,Alt 19,17500,2900,800,21200,408,42.89
