id,author_id,commentary,visibility,created_at,like_count,comment_count,share_count
urn:li:share:p000,urn:li:person:p001,Excited to share that the mRNA-4157 Phase 2 interim analysis is underway. Fascinating methods challenge: handling interval-censored endpoints with time-varying covariates. The biostatistics team at Windbridge Partners is doing incredible work.,PUBLIC,2025-12-01T14:00:00Z,67,8,4
urn:li:share:p001,urn:li:person:p001,Just wrapped up another semester teaching PH 206 Introduction to Biostatistics for Public Health at Amberfield Institute. Incredibly rewarding to see students connect statistical theory to real public health problems. Always learning as much as I teach.,PUBLIC,2025-11-15T18:30:00Z,37,8,7
urn:li:share:p002,urn:li:person:p001,Great read on mixed-effects models for longitudinal clinical trial data. The discussion of dropout mechanisms is especially relevant for our current work. Link in comments.,PUBLIC,2025-10-10T10:15:00Z,67,2,0
7100,5100,"Milestone reached.",PUBLIC,2026-01-05T12:00:00Z,105,71,43
7101,5105,"Milestone reached.",PUBLIC,2026-01-22T12:00:00Z,79,30,11
7102,5103,"Milestone reached.",PUBLIC,2026-07-23T12:00:00Z,274,17,20
7103,5100,"Milestone reached.",PUBLIC,2026-04-24T12:00:00Z,28,39,25
7104,5112,"Attending the conference this week.",PUBLIC,2026-06-22T12:00:00Z,44,32,58
7105,5114,"Congrats to the team.",PUBLIC,2026-03-19T12:00:00Z,34,20,58
7106,5118,"Congrats to the team.",PUBLIC,2026-04-05T12:00:00Z,346,28,54
7107,5114,"Attending the conference this week.",PUBLIC,2026-06-17T12:00:00Z,135,0,58
7108,5119,"Milestone reached.",PUBLIC,2026-03-05T12:00:00Z,201,24,41
7109,5100,"New publication out now.",PUBLIC,2026-01-02T12:00:00Z,488,17,30
7110,5106,"Congrats to the team.",PUBLIC,2026-02-13T12:00:00Z,482,29,11
7111,5106,"Read our latest blog.",PUBLIC,2026-08-10T12:00:00Z,67,41,51
7112,5001,"We are hiring!",PUBLIC,2026-02-23T12:00:00Z,201,79,46
7113,5111,"We are hiring!",PUBLIC,2026-06-18T12:00:00Z,473,22,47
7114,5117,"New publication out now.",PUBLIC,2026-01-20T12:00:00Z,72,32,23
7115,5101,"New publication out now.",PUBLIC,2026-02-09T12:00:00Z,314,63,35
7116,5113,"Attending the conference this week.",PUBLIC,2026-08-08T12:00:00Z,398,65,8
7117,5107,"Welcoming new team members.",PUBLIC,2026-03-16T12:00:00Z,111,58,45
7118,5105,"Attending the conference this week.",PUBLIC,2026-09-01T12:00:00Z,46,30,30
7119,5110,"Attending the conference this week.",PUBLIC,2026-07-27T12:00:00Z,56,37,50
7120,5112,"We are hiring!",PUBLIC,2026-06-21T12:00:00Z,97,13,54
7121,5107,"Welcoming new team members.",PUBLIC,2026-04-05T12:00:00Z,228,53,27
7122,5109,"Welcoming new team members.",PUBLIC,2026-02-25T12:00:00Z,336,51,48
7123,5115,"Congrats to the team.",PUBLIC,2026-03-15T12:00:00Z,204,6,8
7124,5118,"Excited to share our latest research.",PUBLIC,2026-03-19T12:00:00Z,175,23,45
7125,5116,"Milestone reached.",PUBLIC,2026-08-01T12:00:00Z,277,68,54
7126,5116,"New publication out now.",PUBLIC,2026-09-18T12:00:00Z,360,3,2
7127,5115,"Attending the conference this week.",PUBLIC,2026-01-12T12:00:00Z,416,2,52
7128,5112,"Excited to share our latest research.",PUBLIC,2026-03-22T12:00:00Z,43,60,29
7129,5111,"We are hiring!",PUBLIC,2026-05-03T12:00:00Z,185,56,41
7130,5100,"Congrats to the team.",PUBLIC,2026-09-04T12:00:00Z,392,72,57
7131,5118,"New publication out now.",PUBLIC,2026-09-19T12:00:00Z,18,8,10
7132,5112,"Excited to share our latest research.",PUBLIC,2026-03-14T12:00:00Z,132,71,10
7133,5109,"Attending the conference this week.",PUBLIC,2026-03-13T12:00:00Z,48,32,13
7134,5104,"New publication out now.",PUBLIC,2026-06-10T12:00:00Z,173,27,41
7135,5101,"Excited to share our latest research.",PUBLIC,2026-04-02T12:00:00Z,62,72,45
7136,5115,"Congrats to the team.",PUBLIC,2026-01-02T12:00:00Z,324,26,57
7137,5118,"Excited to share our latest research.",PUBLIC,2026-06-03T12:00:00Z,405,42,34
7138,5115,"Milestone reached.",PUBLIC,2026-07-19T12:00:00Z,246,57,37
7139,5001,"Congrats to the team.",PUBLIC,2026-04-19T12:00:00Z,384,38,29
7140,5001,"Read our latest blog.",PUBLIC,2026-05-04T12:00:00Z,489,32,43
7141,5102,"Excited to share our latest research.",PUBLIC,2026-05-13T12:00:00Z,41,21,23
7142,5101,"Read our latest blog.",PUBLIC,2026-03-15T12:00:00Z,407,8,22
7143,5109,"Milestone reached.",PUBLIC,2026-04-18T12:00:00Z,93,11,46
7144,5119,"Welcoming new team members.",PUBLIC,2026-04-24T12:00:00Z,422,38,52
7145,5104,"We are hiring!",PUBLIC,2026-10-23T12:00:00Z,57,68,34
7146,5109,"Excited to share our latest research.",PUBLIC,2026-03-12T12:00:00Z,228,18,50
7147,5107,"We are hiring!",PUBLIC,2026-02-26T12:00:00Z,188,9,30
7148,5103,"We are hiring!",PUBLIC,2026-06-22T12:00:00Z,136,75,14
7149,5106,"We are hiring!",PUBLIC,2026-06-07T12:00:00Z,395,40,52
7150,5116,"Congrats to the team.",PUBLIC,2026-08-19T12:00:00Z,124,63,0
7151,5107,"We are hiring!",PUBLIC,2026-03-20T12:00:00Z,451,74,32
