id,title,organizationId,location,workplaceType,employmentType,seniority,keywords,postedAt,applicants,description
7001,Senior Biostatistician,5001,"Cambridge, Massachusetts",HYBRID,FULL_TIME,Mid-Senior,biostatistics clinical-trials SAS R,2025-11-15T09:00:00.000Z,28,Support statistical design and analysis for Phase II/III clinical trials. Collaborate with clinical operations and regulatory teams.
7002,Biostatistician II,5001,"Cambridge, Massachusetts",ON_SITE,FULL_TIME,Associate,biostatistics oncology R Python,2025-11-20T10:00:00.000Z,17,Develop statistical analysis plans and perform analyses for oncology and mRNA vaccine trials.
7003,"Adjunct Lecturer, Biostatistics",5002,"Cambridge, Massachusetts",ON_SITE,PART_TIME,Entry-Mid,biostatistics public-health teaching statistics,2025-12-01T08:30:00.000Z,12,"Teach introductory biostatistics to MPH students on Tuesday evenings. Adjunct position, approximately 4 hours per week."
6100,"Biostatistician",5111,"Cambridge, MA",hybrid,full-time,mid-senior,"biostatistics;R;Python",2026-03-09,42,"Join our team as a biostatistician."
6101,"ML Engineer",5111,"Cambridge, MA",hybrid,full-time,mid-senior,"biostatistics;R;Python",2026-08-02,274,"Join our team as a ml engineer."
6102,"Research Scientist",5001,"Cambridge, MA",hybrid,full-time,mid-senior,"biostatistics;R;Python",2026-01-18,204,"Join our team as a research scientist."
6103,"Epidemiologist",5119,"Cambridge, MA",hybrid,full-time,mid-senior,"biostatistics;R;Python",2026-09-24,223,"Join our team as a epidemiologist."
6104,"Bioinformatician",5002,"Cambridge, MA",hybrid,full-time,mid-senior,"biostatistics;R;Python",2026-01-05,63,"Join our team as a bioinformatician."
6105,"Research Associate",5119,"Cambridge, MA",hybrid,full-time,mid-senior,"biostatistics;R;Python",2026-07-06,28,"Join our team as a research associate."
6106,"Clinical Data Manager",5106,"Cambridge, MA",hybrid,full-time,mid-senior,"biostatistics;R;Python",2026-01-08,3,"Join our team as a clinical data manager."
6107,"Data Scientist",5104,"Cambridge, MA",hybrid,full-time,mid-senior,"biostatistics;R;Python",2026-06-20,172,"Join our team as a data scientist."
6108,"Statistical Programmer",5114,"Cambridge, MA",hybrid,full-time,mid-senior,"biostatistics;R;Python",2026-07-26,251,"Join our team as a statistical programmer."
6109,"Epidemiologist",5001,"Cambridge, MA",hybrid,full-time,mid-senior,"biostatistics;R;Python",2026-05-09,209,"Join our team as a epidemiologist."
6110,"ML Engineer",5104,"Cambridge, MA",hybrid,full-time,mid-senior,"biostatistics;R;Python",2026-09-03,48,"Join our team as a ml engineer."
6111,"Research Scientist",5101,"Cambridge, MA",hybrid,full-time,mid-senior,"biostatistics;R;Python",2026-01-03,53,"Join our team as a research scientist."
6112,"Biostatistician",5106,"Cambridge, MA",hybrid,full-time,mid-senior,"biostatistics;R;Python",2026-06-27,157,"Join our team as a biostatistician."
6113,"Research Scientist",5107,"Cambridge, MA",hybrid,full-time,mid-senior,"biostatistics;R;Python",2026-08-18,112,"Join our team as a research scientist."
6114,"Research Associate",5116,"Cambridge, MA",hybrid,full-time,mid-senior,"biostatistics;R;Python",2026-02-08,299,"Join our team as a research associate."
6115,"Data Engineer",5114,"Cambridge, MA",hybrid,full-time,mid-senior,"biostatistics;R;Python",2026-02-09,61,"Join our team as a data engineer."
6116,"Data Engineer",5002,"Cambridge, MA",hybrid,full-time,mid-senior,"biostatistics;R;Python",2026-03-15,243,"Join our team as a data engineer."
6117,"Data Engineer",5113,"Cambridge, MA",hybrid,full-time,mid-senior,"biostatistics;R;Python",2026-10-04,260,"Join our team as a data engineer."
