id,name,vanityName,industry,website,location,staffCountRange,followerCount,description
5001,Windbridge Partners,windbridge-partners,Biotechnology and Pharmaceuticals,https://windbridgepartners.com,"Cambridge, Massachusetts",51-200,3120,"Clinical-stage biopharmaceutical research organization. Biostatistics, translational research, and data science for clinical trials."
5002,Amberfield Institute,amberfield-institute,Higher Education,https://amberfield.edu,"Cambridge, Massachusetts",51-200,1450,"Amberfield Institute offers graduate and professional programs in public health, epidemiology, and biostatistics."
5100,"Boston IVF",bostonivf,Biotechnology,https://bostonivf.com,"Cambridge, MA",1001-5000,34645,"Leading organization in life sciences."
5101,"Amberfield Institute",amberfieldinstitute,Biotechnology,https://amberfieldinstitute.com,"Cambridge, MA",1001-5000,36771,"Leading organization in life sciences."
5102,"Mass General",massgeneral,Biotechnology,https://massgeneral.com,"Cambridge, MA",1001-5000,77040,"Leading organization in life sciences."
5103,"Broad Institute",broadinstitute,Biotechnology,https://broadinstitute.com,"Cambridge, MA",1001-5000,77637,"Leading organization in life sciences."
5104,"Dana-Farber",danafarber,Biotechnology,https://danafarber.com,"Cambridge, MA",1001-5000,18499,"Leading organization in life sciences."
5105,"Novartis",novartis,Biotechnology,https://novartis.com,"Cambridge, MA",1001-5000,35355,"Leading organization in life sciences."
5106,"Moderna",moderna,Biotechnology,https://moderna.com,"Cambridge, MA",1001-5000,8415,"Leading organization in life sciences."
5107,"Pfizer",pfizer,Biotechnology,https://pfizer.com,"Cambridge, MA",1001-5000,67981,"Leading organization in life sciences."
5108,"Genentech",genentech,Biotechnology,https://genentech.com,"Cambridge, MA",1001-5000,79120,"Leading organization in life sciences."
5109,"Vertex",vertex,Biotechnology,https://vertex.com,"Cambridge, MA",1001-5000,76708,"Leading organization in life sciences."
5110,"Biogen",biogen,Biotechnology,https://biogen.com,"Cambridge, MA",1001-5000,88398,"Leading organization in life sciences."
5111,"Takeda",takeda,Biotechnology,https://takeda.com,"Cambridge, MA",1001-5000,87228,"Leading organization in life sciences."
5112,"Sanofi",sanofi,Biotechnology,https://sanofi.com,"Cambridge, MA",1001-5000,11506,"Leading organization in life sciences."
5113,"Regeneron",regeneron,Biotechnology,https://regeneron.com,"Cambridge, MA",1001-5000,1370,"Leading organization in life sciences."
5114,"Illumina",illumina,Biotechnology,https://illumina.com,"Cambridge, MA",1001-5000,60847,"Leading organization in life sciences."
5115,"Tempus",tempus,Biotechnology,https://tempus.com,"Cambridge, MA",1001-5000,12376,"Leading organization in life sciences."
5116,"Flatiron Health",flatironhealth,Biotechnology,https://flatironhealth.com,"Cambridge, MA",1001-5000,48831,"Leading organization in life sciences."
5117,"Foundation Medicine",foundationmedicine,Biotechnology,https://foundationmedicine.com,"Cambridge, MA",1001-5000,63832,"Leading organization in life sciences."
5118,"23andMe",23andme,Biotechnology,https://23andme.com,"Cambridge, MA",1001-5000,76314,"Leading organization in life sciences."
5119,"Recursion",recursion,Biotechnology,https://recursion.com,"Cambridge, MA",1001-5000,22617,"Leading organization in life sciences."
