id,collection_id,name,slug,is_draft,is_archived,summary,created_on,last_updated
SR-0001,col_sermons,Advent Devotional Week One 2025,sr-0001,false,false,Pastor James Whitlow | video:uploaded | service_date:2025-11-30 | tags:sermon;devotional;advent_devotional,2025-12-06,2025-12-06
SR-0002,col_sermons,Advent Devotional Week Two 2025,sr-0002,false,false,Pastor James Whitlow | video:uploaded | service_date:2025-12-07 | tags:sermon;devotional;advent_devotional,2025-12-13,2025-12-13
SR-0003,col_sermons,Advent Devotional Week Three 2025,sr-0003,false,false,Pastor James Whitlow | video:uploaded | service_date:2025-12-14 | tags:sermon;devotional;advent_devotional,2025-12-17,2025-12-17
SR-0004,col_sermons,Advent Devotional Week Four 2025,sr-0004,false,false,Pastor James Whitlow | video:uploaded | service_date:2025-12-21 | tags:sermon;devotional;advent_devotional,2025-12-24,2025-12-24
SR-0005,col_sermons,A New Year in the Lord's Hands,sr-0005,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-01-04 | tags:sermon;sunday,2026-01-07,2026-01-07
SR-0006,col_sermons,The Steady Faith of Simeon,sr-0006,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-01-11 | tags:sermon;sunday,2026-01-14,2026-01-14
SR-0007,col_sermons,Salt of the Earth,sr-0007,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-01-18 | tags:sermon;sunday,2026-01-25,2026-01-25
SR-0008,col_sermons,The Weight of Small Kindnesses,sr-0008,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-01-25 | tags:sermon;sunday,2026-01-27,2026-01-27
SR-0009,col_sermons,Endurance Under Winter Skies,sr-0009,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-02-01 | tags:sermon;sunday,2026-02-03,2026-02-03
SR-0010,col_sermons,Return of the Prodigal,sr-0010,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-02-08 | tags:sermon;sunday,2026-02-13,2026-02-13
SR-0011,col_sermons,Ash Wednesday Reflection,sr-0011,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-02-15 | tags:sermon;sunday,2026-02-17,2026-02-17
SR-0012,col_sermons,A House Built on Rock,sr-0012,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-02-22 | tags:sermon;sunday,2026-02-25,2026-02-25
SR-0013,col_sermons,The Long Walk of Lent,sr-0013,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-03-01 | tags:sermon;sunday,2026-03-08,2026-03-08
SR-0014,col_sermons,Midweek Prayer Lenten Reflection,sr-0014,true,false,Elder Bud Osteen | video:not_uploaded | service_date:2026-03-04 | tags:midweek;audio_only,2026-03-04,2026-03-04
SR-0015,col_sermons,Palm Sunday and the Coming King,sr-0015,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-03-08 | tags:sermon;sunday,2026-03-10,2026-03-10
SR-0016,col_sermons,Good Friday Silence,sr-0016,false,false,Guest Preacher Rev. Alton Kirkpatrick | video:uploaded | service_date:2026-03-15 | tags:sermon;sunday,2026-03-20,2026-03-20
SR-0017,col_sermons,Easter Sunday Rising,sr-0017,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-03-22 | tags:sermon;sunday,2026-03-29,2026-03-29
SR-0018,col_sermons,The Road to Emmaus,sr-0018,false,false,Pastor James Whitlow | video:uploaded | service_date:2026-03-29 | tags:sermon;sunday,2026-04-01,2026-04-01
SR-0019,col_sermons,Midweek Prayer Easter Vigil,sr-0019,true,false,Elder Bud Osteen | video:not_uploaded | service_date:2026-04-01 | tags:midweek;audio_only,2026-04-01,2026-04-01
