caption_id,videoId,language,name,trackKind,isDraft,lastUpdated
cap_001,vid_how.to.sha_001,en,English,standard,false,2025-11-14T00:00:00Z
cap_002,vid_building.a_002,en,English,standard,false,2024-11-21T00:00:00Z
cap_003,vid_sourdough._003,en,English,standard,false,2026-01-29T00:00:00Z
cap_004,vid_backyard.p_004,en,English,standard,false,2025-10-19T00:00:00Z
cap_005,vid_cross.coun_005,en,English,standard,false,2025-12-18T00:00:00Z
cap_006,vid_long.form._006,en,English,standard,false,2025-10-20T00:00:00Z
cap_007,vid_photograph_007,en,English,standard,false,2025-01-14T00:00:00Z
cap_008,vid_how.a.lock_008,en,English,standard,false,2025-03-13T00:00:00Z
cap_009,vid_sourdough._003,en,English,standard,false,2025-12-10T00:00:00Z
cap_010,vid_how.to.sha_001,yo,Yoruba,standard,false,2025-11-15T00:00:00Z
cap_011,vid_backyard.p_004,en,English,standard,false,2026-01-20T00:00:00Z
cap_012,vid_cross.coun_005,en,English,standard,false,2026-02-05T00:00:00Z
cap_013,vid_long.form._006,en,English,standard,false,2026-03-01T00:00:00Z
cap_014,vid_photograph_007,en,English,standard,false,2025-10-25T00:00:00Z
cap_015,vid_how.a.lock_008,en,English,standard,false,2025-11-30T00:00:00Z
cap_016,vid_building.a_002,fr,French,standard,false,2026-01-15T00:00:00Z
cap_017,vid_how.to.sha_001,ig,Igbo,standard,false,2026-02-20T00:00:00Z
cap_018,vid_enugu.nigh_009,en,English,standard,true,2026-11-10T00:00:00Z
cap_019,vid_lagos.suns_010,en,English,standard,true,2026-12-15T00:00:00Z
cap_020,vid_sourdough._003,es,Spanish,standard,false,2027-01-10T00:00:00Z
