Resource	Type	Contact	Hours	Referral_Notes	Last_Verified
988 Suicide and Crisis Lifeline	Crisis	Call or text 988	24/7	First line for acute crisis, all ages	2026-10-01
Crisis Text Line	Crisis	Text HOME to 741741	24/7	Good for students who prefer text	2026-10-01
Henrico Community Services Board	Mental health	804-555-3100	Mon to Fri 8 to 5	Liaison handles school referrals	2026-10-02
Richmond Youth Counseling	Counseling	804-555-2467	Mon to Fri 8 to 6	Sliding scale youth therapy	2026-10-01
West End Food Pantry	Basic needs	804-555-7788	Tue Thu Sat	For families needing food support	2026-10-02
Greater Richmond Family Support	Family support	804-555-6100	Mon to Fri	Parent support and prevention	2026-10-02
Weekend Backpack Program	Basic needs	804-555-5210	School coordinated	Weekend food bags, counselor enrolls	2026-10-02
Virginia 211	Referral hub	Dial 211	24/7	Housing, utilities, general assistance	2026-10-01
Central Virginia Family Education	Mental health	804-555-3344	Mon to Fri	Family education and support groups	2026-10-01
Henrico Schools Homeless Liaison	Basic needs	804-555-0610	Mon to Fri	Housing transition support	2026-10-02
Poison Control	Medical	800-222-1222	24/7	Keep posted in the office	2026-10-01
District Bilingual Liaison	Access	804-555-0618	Mon to Fri	Schedule ahead for conferences	2026-10-02
