id,name,type,messages_total,messages_unread,threads_total,threads_unread
INBOX,INBOX,system,3128,411,1042,411
SENT,SENT,system,1194,145,1194,72
DRAFT,DRAFT,system,569,41,569,20
SPAM,SPAM,system,264,37,132,37
TRASH,TRASH,system,843,52,421,26
UNREAD,UNREAD,system,241,32,120,16
STARRED,STARRED,system,505,56,168,28
IMPORTANT,IMPORTANT,system,886,67,443,67
CATEGORY_PERSONAL,CATEGORY_PERSONAL,system,523,11,261,5
CATEGORY_SOCIAL,CATEGORY_SOCIAL,system,222,7,222,7
CATEGORY_PROMOTIONS,CATEGORY_PROMOTIONS,system,765,105,765,52
CATEGORY_UPDATES,CATEGORY_UPDATES,system,640,45,320,45
CATEGORY_FORUMS,CATEGORY_FORUMS,system,526,50,526,50
CHAT,CHAT,system,213,5,106,2
Label_14,Lantern Tides,user,167,22,55,11
Label_15,Lantern Tides/Playtesters,user,18,2,6,2
Label_16,Lantern Tides/Bugs,user,255,12,127,6
Label_17,Lantern Tides/Audio (Ravi),user,81,11,40,11
Label_18,Lantern Tides/Devlog,user,134,12,44,6
Label_19,Lantern Tides/Press,user,97,5,48,2
Label_20,Lantern Tides/Showcase Nov 8,user,292,16,146,16
Label_21,Lantern Tides/Chapter 1,user,142,18,47,9
Label_22,Lantern Tides/Chapter 2,user,5,0,2,0
Label_23,Lantern Tides/Chapter 3,user,162,0,54,0
Label_24,Lantern Tides/Chapter 4,user,296,43,296,21
Label_25,Lantern Tides/Chapter 5,user,63,5,21,5
Label_26,Lantern Tides/Chapter 6,user,304,35,152,35
Label_27,Lantern Tides/Chapter 7,user,192,7,64,7
Label_28,Freelance,user,108,0,108,0
Label_29,Freelance/Briarwood,user,208,11,69,5
Label_30,Freelance/Briarwood/Onboarding,user,258,19,86,9
Label_31,Freelance/Briarwood/Invoices,user,227,10,113,5
Label_32,Freelance/Harborview,user,136,3,136,3
Label_33,Freelance/Harborview/Archive,user,242,1,80,1
Label_34,Freelance/Greenleaf,user,162,11,81,11
Label_35,Freelance/Greenleaf/Zoe,user,191,16,63,8
Label_36,Freelance/Leads,user,248,12,248,6
Label_37,Freelance/Leads/Cold,user,53,4,26,4
Label_38,Freelance/Leads/Warm,user,135,4,67,2
Label_39,Freelance/Leads/Passed,user,11,0,5,0
Label_40,CID,user,116,9,38,4
Label_41,CID/Thesis,user,308,6,154,6
Label_42,CID/Thesis/Nakamura,user,57,6,28,3
Label_43,CID/Capstone Prep,user,74,3,37,1
Label_44,CID/Game Studies,user,222,0,222,0
Label_45,CID/Makerspace,user,186,8,186,8
Label_46,CID/Makerspace/Schedule,user,136,1,136,0
Label_47,CID/Financial Aid,user,312,18,312,18
Label_48,CID/Registrar,user,73,4,36,4
Label_49,CID/Studio,user,51,6,25,3
Label_50,Family,user,192,9,96,4
Label_51,Family/Mom,user,169,19,84,9
Label_52,Family/Dad,user,108,9,108,9
Label_53,Family/Kevin,user,265,4,132,2
Label_54,Family/Grandma Ruth,user,149,10,49,5
Label_55,Family/Auntie May,user,318,10,318,5
