incident_id,incident_number,title,status,urgency,service_id,escalation_policy_id,assigned_to,created_at,resolved_at
PI001,101,URISN ingestion feed down 2026-07-09,resolved,low,svc-urisn,ep-1,u-yemi,2026-07-09T03:05:00-04:00,2026-07-09T06:30:00-04:00
PI002,102,URISN ingestion feed down 2026-07-23,resolved,low,svc-urisn,ep-1,u-yemi,2026-07-23T03:05:00-04:00,2026-07-23T06:30:00-04:00
PI003,103,URISN ingestion feed down 2026-08-06,triggered,high,svc-urisn,ep-1,u-yemi,2026-08-06T03:05:00-04:00,
PI004,104,URISN ingestion feed down 2026-08-20,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-20T03:05:00-04:00,2026-08-20T06:30:00-04:00
PI005,105,URISN ingestion feed down 2026-08-27,triggered,high,svc-urisn,ep-1,u-yemi,2026-08-27T03:05:00-04:00,
PI006,106,URISN ingestion feed down 2026-09-03,resolved,low,svc-urisn,ep-1,u-yemi,2026-09-03T03:05:00-04:00,2026-09-03T06:30:00-04:00
PI007,107,URISN ingestion feed down 2026-09-17,triggered,high,svc-urisn,ep-1,u-yemi,2026-09-17T03:05:00-04:00,
PI008,108,Infra blip 8,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI009,109,Infra blip 9,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI010,110,Infra blip 10,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI011,111,Infra blip 11,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI012,112,Infra blip 12,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI013,113,Infra blip 13,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI014,114,Infra blip 14,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI015,115,Infra blip 15,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI016,116,Infra blip 16,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI017,117,Infra blip 17,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI018,118,Infra blip 18,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI019,119,Infra blip 19,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI020,120,Infra blip 20,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI021,121,Infra blip 21,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI022,122,Infra blip 22,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI023,123,Infra blip 23,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI024,124,Infra blip 24,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI025,125,Infra blip 25,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI026,126,Infra blip 26,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI027,127,Infra blip 27,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI028,128,Infra blip 28,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI029,129,Infra blip 29,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI030,130,Infra blip 30,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI031,131,Infra blip 31,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI032,132,Infra blip 32,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI033,133,Infra blip 33,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI034,134,Infra blip 34,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI035,135,Infra blip 35,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
PI036,136,Infra blip 36,resolved,low,svc-urisn,ep-1,u-yemi,2026-08-10T01:00:00-04:00,2026-08-10T01:20:00-04:00
