zpid,address,city,state,zipcode,latitude,longitude,bedrooms,bathrooms,living_area_sqft,lot_size_sqft,year_built,home_type,list_price,zestimate,rent_zestimate,status,days_on_zillow,listing_agent_id
z-cmrcl-19610-001,118 Reading Boulevard,Wyomissing,PA,19610,40.3322,-75.9701,0,1,1140,0,1948,COMMERCIAL_LEASE,1850,0,1850,FOR_LEASE,59,agent-helen-marquez
z-cmrcl-19610-002,47 South Wyomissing Blvd,Wyomissing,PA,19610,40.3288,-75.9642,0,2,1480,0,1962,COMMERCIAL_LEASE,2250,0,2250,FOR_LEASE,102,agent-marcus-dibella
z-cmrcl-19611-001,624 Penn Avenue,West Reading,PA,19611,40.3358,-75.9578,0,1,1280,0,1926,MIXED_USE,1690,0,1690,FOR_LEASE,41,agent-helen-marquez
z-cmrcl-19610-001-e001,118 Reading Boulevard,Wyomissing,PA,19610,40.3322,-75.9701,0,1,1140,0,1948,COMMERCIAL_LEASE,1850,0,1850,FOR_LEASE,59,agent-helen-marquez-e001
z-cmrcl-19610-002-e001,47 South Wyomissing Blvd,Wyomissing,PA,19610,40.3288,-75.9642,0,2,1480,0,1962,COMMERCIAL_LEASE,2250,0,2250,FOR_LEASE,102,agent-marcus-dibella-e001
z-cmrcl-19611-001-e001,624 Penn Avenue,West Reading,PA,19611,40.3358,-75.9578,0,1,1280,0,1926,MIXED_USE,1690,0,1690,FOR_LEASE,41,agent-helen-marquez-e001
z-cmrcl-19610-001-e002,118 Reading Boulevard,Wyomissing,PA,19610,40.3322,-75.9701,0,1,1140,0,1948,COMMERCIAL_LEASE,1850,0,1850,FOR_LEASE,59,agent-helen-marquez-e002
z-cmrcl-19610-002-e002,47 South Wyomissing Blvd,Wyomissing,PA,19610,40.3288,-75.9642,0,2,1480,0,1962,COMMERCIAL_LEASE,2250,0,2250,FOR_LEASE,102,agent-marcus-dibella-e002
z-cmrcl-19611-001-e002,624 Penn Avenue,West Reading,PA,19611,40.3358,-75.9578,0,1,1280,0,1926,MIXED_USE,1690,0,1690,FOR_LEASE,41,agent-helen-marquez-e002
z-cmrcl-19610-001-e003,118 Reading Boulevard,Wyomissing,PA,19610,40.3322,-75.9701,0,1,1140,0,1948,COMMERCIAL_LEASE,1850,0,1850,FOR_LEASE,59,agent-helen-marquez-e003
