search_id,user_id,name,city,state,min_price,max_price,min_beds,min_baths,home_type,created_at
search-aw-commercial-19610,user-aw-webb,Studio storefront 19610 radius,Wyomissing,PA,0,2400,0,1,COMMERCIAL_LEASE,2026-05-14T00:00:00Z
search-aw-mixed-use-19611,user-aw-webb,Penn Ave mixed-use ground floor,West Reading,PA,0,2400,0,1,MIXED_USE,2026-05-14T00:00:00Z
search-aw-commercial-19610-e001,user-aw-webb-e001,Studio storefront 19610 radius,Wyomissing,PA,0,2400,0,1,COMMERCIAL_LEASE,2026-05-14T00:00:00Z
search-aw-mixed-use-19611-e001,user-aw-webb-e001,Penn Ave mixed-use ground floor,West Reading,PA,0,2400,0,1,MIXED_USE,2026-05-14T00:00:00Z
search-aw-commercial-19610-e002,user-aw-webb-e002,Studio storefront 19610 radius,Wyomissing,PA,0,2400,0,1,COMMERCIAL_LEASE,2026-05-14T00:00:00Z
search-aw-mixed-use-19611-e002,user-aw-webb-e002,Penn Ave mixed-use ground floor,West Reading,PA,0,2400,0,1,MIXED_USE,2026-05-14T00:00:00Z
search-aw-commercial-19610-e003,user-aw-webb-e003,Studio storefront 19610 radius,Wyomissing,PA,0,2400,0,1,COMMERCIAL_LEASE,2026-05-14T00:00:00Z
search-aw-mixed-use-19611-e003,user-aw-webb-e003,Penn Ave mixed-use ground floor,West Reading,PA,0,2400,0,1,MIXED_USE,2026-05-14T00:00:00Z
search-aw-commercial-19610-e004,user-aw-webb-e004,Studio storefront 19610 radius,Wyomissing,PA,0,2400,0,1,COMMERCIAL_LEASE,2026-05-14T00:00:00Z
search-aw-mixed-use-19611-e004,user-aw-webb-e004,Penn Ave mixed-use ground floor,West Reading,PA,0,2400,0,1,MIXED_USE,2026-05-14T00:00:00Z
search-aw-commercial-19610-e005,user-aw-webb-e005,Studio storefront 19610 radius,Wyomissing,PA,0,2400,0,1,COMMERCIAL_LEASE,2026-05-14T00:00:00Z
search-aw-mixed-use-19611-e005,user-aw-webb-e005,Penn Ave mixed-use ground floor,West Reading,PA,0,2400,0,1,MIXED_USE,2026-05-14T00:00:00Z
search-aw-commercial-19610-e006,user-aw-webb-e006,Studio storefront 19610 radius,Wyomissing,PA,0,2400,0,1,COMMERCIAL_LEASE,2026-05-14T00:00:00Z
search-aw-mixed-use-19611-e006,user-aw-webb-e006,Penn Ave mixed-use ground floor,West Reading,PA,0,2400,0,1,MIXED_USE,2026-05-14T00:00:00Z
search-aw-commercial-19610-e007,user-aw-webb-e007,Studio storefront 19610 radius,Wyomissing,PA,0,2400,0,1,COMMERCIAL_LEASE,2026-05-14T00:00:00Z
search-aw-mixed-use-19611-e007,user-aw-webb-e007,Penn Ave mixed-use ground floor,West Reading,PA,0,2400,0,1,MIXED_USE,2026-05-14T00:00:00Z
search-aw-commercial-19610-e008,user-aw-webb-e008,Studio storefront 19610 radius,Wyomissing,PA,0,2400,0,1,COMMERCIAL_LEASE,2026-05-14T00:00:00Z
search-aw-mixed-use-19611-e008,user-aw-webb-e008,Penn Ave mixed-use ground floor,West Reading,PA,0,2400,0,1,MIXED_USE,2026-05-14T00:00:00Z
search-aw-commercial-19610-e009,user-aw-webb-e009,Studio storefront 19610 radius,Wyomissing,PA,0,2400,0,1,COMMERCIAL_LEASE,2026-05-14T00:00:00Z
search-aw-mixed-use-19611-e009,user-aw-webb-e009,Penn Ave mixed-use ground floor,West Reading,PA,0,2400,0,1,MIXED_USE,2026-05-14T00:00:00Z
search-aw-commercial-19610-e010,user-aw-webb-e010,Studio storefront 19610 radius,Wyomissing,PA,0,2400,0,1,COMMERCIAL_LEASE,2026-05-14T00:00:00Z
search-aw-mixed-use-19611-e010,user-aw-webb-e010,Penn Ave mixed-use ground floor,West Reading,PA,0,2400,0,1,MIXED_USE,2026-05-14T00:00:00Z
search-aw-commercial-19610-e011,user-aw-webb-e011,Studio storefront 19610 radius,Wyomissing,PA,0,2400,0,1,COMMERCIAL_LEASE,2026-05-14T00:00:00Z
search-aw-mixed-use-19611-e011,user-aw-webb-e011,Penn Ave mixed-use ground floor,West Reading,PA,0,2400,0,1,MIXED_USE,2026-05-14T00:00:00Z
