zpid,event_date,event,price,price_per_sqft,source
z-cmrcl-19610-001,2026-08-14,Listed for lease,1850,19.47,agent-helen-marquez
z-cmrcl-19610-002,2026-07-02,Listed for lease,2400,19.46,agent-marcus-dibella
z-cmrcl-19610-002,2026-09-10,Price reduced,2250,18.24,agent-marcus-dibella
z-cmrcl-19611-001,2026-09-01,Listed for lease,1690,15.84,agent-helen-marquez
z-cmrcl-19610-001-e001,2026-08-14,Listed for lease,1850,19.47,agent-helen-marquez
z-cmrcl-19610-002-e001,2026-07-02,Listed for lease,2400,19.46,agent-marcus-dibella
z-cmrcl-19610-002-e001,2026-09-10,Price reduced,2250,18.24,agent-marcus-dibella
z-cmrcl-19611-001-e001,2026-09-01,Listed for lease,1690,15.84,agent-helen-marquez
z-cmrcl-19610-001-e002,2026-08-14,Listed for lease,1850,19.47,agent-helen-marquez
z-cmrcl-19610-002-e002,2026-07-02,Listed for lease,2400,19.46,agent-marcus-dibella
z-cmrcl-19610-002-e002,2026-09-10,Price reduced,2250,18.24,agent-marcus-dibella
z-cmrcl-19611-001-e002,2026-09-01,Listed for lease,1690,15.84,agent-helen-marquez
z-cmrcl-19610-001-e003,2026-08-14,Listed for lease,1850,19.47,agent-helen-marquez
z-cmrcl-19610-002-e003,2026-07-02,Listed for lease,2400,19.46,agent-marcus-dibella
z-cmrcl-19610-002-e003,2026-09-10,Price reduced,2250,18.24,agent-marcus-dibella
z-cmrcl-19611-001-e003,2026-09-01,Listed for lease,1690,15.84,agent-helen-marquez
z-cmrcl-19610-001-e004,2026-08-14,Listed for lease,1850,19.47,agent-helen-marquez
z-cmrcl-19610-002-e004,2026-07-02,Listed for lease,2400,19.46,agent-marcus-dibella
z-cmrcl-19610-002-e004,2026-09-10,Price reduced,2250,18.24,agent-marcus-dibella
z-cmrcl-19611-001-e004,2026-09-01,Listed for lease,1690,15.84,agent-helen-marquez
z-cmrcl-19610-001-e005,2026-08-14,Listed for lease,1850,19.47,agent-helen-marquez
z-cmrcl-19610-002-e005,2026-07-02,Listed for lease,2400,19.46,agent-marcus-dibella
z-cmrcl-19610-002-e005,2026-09-10,Price reduced,2250,18.24,agent-marcus-dibella
z-cmrcl-19611-001-e005,2026-09-01,Listed for lease,1690,15.84,agent-helen-marquez
z-cmrcl-19610-001-e006,2026-08-14,Listed for lease,1850,19.47,agent-helen-marquez
