id,capture_id,status,amount_value,currency_code,note_to_payer,create_time
REF_BA980DADB772A96F,CAP_86419A366A6DE0F6,COMPLETED,24.00,USD,Partial refund - one frame box damaged in transit,2026-03-26T00:00:00Z
REF_F73C67BB7C5BA0FE,CAP_0940FC0B5D0C3749,COMPLETED,62.40,USD,Refund - item out of stock,2026-03-21T00:00:00Z
REF_2C9F0A4716BD8E53,CAP_B80DD1C2E509D9FA,COMPLETED,18.50,USD,Partial refund - shipping adjusted,2026-03-14T00:00:00Z
REF_7E18C3B5904AD2F6,CAP_BBF0AEFC0A627D8F,COMPLETED,12.00,USD,Partial refund - two jars cracked,2026-03-04T00:00:00Z
REF_A60D971E4C83BF02,CAP_000ABFAB3703871D,COMPLETED,129.30,USD,Refund - order cancelled before shipping,2026-02-27T00:00:00Z
REF_5B3E0CA918D7462F,CAP_A2DFA42C226121EB,COMPLETED,30.00,USD,Partial refund - wrong connector count,2026-02-22T00:00:00Z
REF_C8170DA396E25B4F,CAP_A452246B16711623,COMPLETED,15.75,USD,Partial refund - shipping adjusted,2026-02-12T00:00:00Z
REF_F049A8C2173D6EB5,CAP_DF1114BD7A863EDF,COMPLETED,20.00,USD,Partial refund - smoker fuel backordered,2026-02-07T00:00:00Z
REF_3D9B1E0746C5A82F,CAP_5C2E1F90A4837DB1,COMPLETED,189.90,USD,Refund - item out of stock,2026-01-30T00:00:00Z
REF_91C5A8073EB42D6F,CAP_7A09D3E62B154FCA,COMPLETED,44.80,USD,Refund - duplicate book order,2026-01-24T00:00:00Z
REF_60E7B2941DC83A5F,CAP_E831B0746D9C2A5F,COMPLETED,22.00,USD,Partial refund - one outlet defective,2026-01-18T00:00:00Z
REF_47A0D9B3128E6C5F,CAP_19F4CA8053E76BD0,COMPLETED,10.00,USD,Partial refund - shipping adjusted,2026-01-12T00:00:00Z
REF_2F81C0A674BD395E,CAP_C260E9173B8AF45D,COMPLETED,66.90,USD,Refund - order cancelled,2026-01-07T00:00:00Z
REF_8C30E5A91764BD2F,CAP_43BD7E1F0962C8A4,COMPLETED,35.00,USD,Partial refund - foundation sheets short count,2025-12-20T00:00:00Z
REF_1A6E9D03B5C8742F,CAP_9082A5D6C71E34BF,COMPLETED,25.00,USD,Partial refund - one breaker wrong amperage,2025-12-13T00:00:00Z
REF_5E2B7A0C918D643F,CAP_6F31C8B0249ADE75,COMPLETED,49.99,USD,Refund - item out of stock,2025-12-06T00:00:00Z
REF_0B9C4E5A2173D86F,CAP_B5470E92A1D86C30,COMPLETED,16.00,USD,Partial refund - three jars cracked,2025-11-28T00:00:00Z
REF_7D14A0E6B3925C8F,CAP_28E0BA1746F953CD,COMPLETED,14.50,USD,Partial refund - shipping adjusted,2025-11-21T00:00:00Z
REF_3C8E0B7A2D146F95,CAP_71DC3F805E2940AB,COMPLETED,40.00,USD,Partial refund - conduit length incorrect,2025-11-14T00:00:00Z
REF_9F2A0D8C1E763B45,CAP_3A96D1E847B05CF2,COMPLETED,57.45,USD,Refund - book arrived damaged,2025-11-07T00:00:00Z
REF_6A1B0E9D38C5742F,CAP_0D7B5942E1638CA9,COMPLETED,20.00,USD,Partial refund - two jars cracked,2025-10-24T00:00:00Z
