ts,channel_id,user_id,text,thread_ts,reply_count,reactions
1696000000.691995,C002,U_0107,Can you check on this?,,2,
1696000600.135666,C005,U_0101,Got it thanks,,0,
1696001200.144569,C004,U_0106,Will do,,0,
1696001800.798438,C005,U_denise,On my way,,0,
1696002400.187382,C001,U_0103,Please review when you get a chance,,1,
1696003000.199357,C005,U_0106,Can you check on this?,,0,
1696003600.444492,C003,U_0107,Talk soon,,1,
1696004200.156605,C006,U_0107,Confirmed,,0,
1696004800.764635,C001,U_0102,Quick question,,0,
1696005400.345165,C003,U_0109,Sounds good to me,,0,
1696006000.815745,C002,U_courtney,I will follow up,,0,
1696006600.291093,C004,U_0101,Perfect timing,,0,
1696007200.162412,C001,U_natasha,No worries,,0,
1696007800.182774,C003,U_denise,Got it thanks,,0,
1696008400.854423,C002,U_0101,Perfect timing,,0,
1696009000.561535,C006,U_0105,Got it thanks,,0,
1696009600.559340,C003,U_courtney,Have a great day,,0,
1696010200.902144,C004,U_0107,Running a bit behind,,0,
1696010800.586220,C005,U_0104,Thanks for the update,,0,
1696011400.842703,C006,U_0105,Can we reschedule?,,0,
1696012000.341801,C006,U_0108,I will follow up,,0,
1696012600.110195,C004,U_0100,Quick question,,0,
1696013200.418832,C006,U_courtney,Running a bit behind,,2,
1696013800.224274,C001,U_0100,Can we reschedule?,,0,
1696014400.132959,C002,U_0102,Thanks for the update,,2,
1696015000.741282,C006,U_0108,Will do,,0,
1696015600.175506,C005,U_0100,Quick question,,0,
1696016200.332135,C006,U_0101,Quick question,,2,
1696016800.282727,C005,U_0101,Can we reschedule?,,0,
1696017400.491957,C006,U_0105,Got it thanks,,0,
1696018000.147924,C003,U_0102,I will follow up,,0,
1696018600.162206,C004,U_0103,Perfect timing,,2,
1696019200.113682,C006,U_courtney,I appreciate the help,,2,
1696019800.549286,C005,U_courtney,I will follow up,,2,
1696020400.505649,C006,U_0103,Have a great day,,0,
1696021000.146230,C006,U_admin,Have a great day,,2,
1696021600.380028,C006,U_0106,Let me know if anything changes,,0,
1696022200.794379,C002,U_0105,Will do,,0,
1696022800.709278,C006,U_0101,On my way,,0,
1696023400.102914,C004,U_0103,Talk soon,,1,
1696024000.895620,C002,U_0101,Got it thanks,,0,
1696024600.328554,C002,U_0106,Can we reschedule?,,0,
1696025200.176418,C004,U_admin,I appreciate the help,,0,
1696025800.367495,C002,U_0102,Confirmed,,0,
1696026400.210905,C004,U_0104,Sounds good to me,,0,
1696027000.710389,C001,U_0106,Confirmed,,2,
1696027600.836578,C002,U_admin,On my way,,0,
1696028200.447110,C001,U_denise,Can you check on this?,,0,
1696028800.699070,C001,U_0106,No worries,,0,
1696029400.473470,C002,U_courtney,All set,,2,
1696030000.534115,C005,U_0100,On my way,,0,
1696030600.258824,C001,U_denise,I appreciate the help,,1,
1696031200.565643,C002,U_0108,Let me know if anything changes,,2,
1696031800.106810,C003,U_0106,Got it thanks,,1,
1696032400.450311,C005,U_0104,All set,,1,
1696033000.438981,C005,U_0109,Confirmed,,0,
1696033600.279298,C005,U_0107,Perfect timing,,1,
1696034200.426825,C002,U_0102,Thanks for the update,,0,
1696034800.984121,C002,U_0102,Confirmed,,0,
1696035400.827937,C002,U_0103,Can we reschedule?,,0,
1696036000.645952,C002,U_denise,Sounds good to me,,1,
1696036600.585875,C001,U_0107,Quick question,,0,
1696037200.101150,C004,U_denise,I will follow up,,0,
1696037800.982747,C002,U_admin,All set,,0,
1696038400.289721,C002,U_0102,Confirmed,,0,
1696039000.778465,C005,U_0107,Confirmed,,0,
1696039600.469698,C005,U_0108,See you then,,2,
1696040200.700677,C004,U_0107,Can you check on this?,,0,
1696040800.693015,C001,U_0102,See you then,,0,
1696041400.627573,C004,U_admin,All set,,0,
1696042000.448458,C005,U_0104,I will follow up,,2,
1696042600.428149,C005,U_0107,Talk soon,,1,
1696043200.275614,C006,U_0107,See you then,,1,
1696043800.683021,C005,U_courtney,Thanks for the update,,0,
1696044400.347813,C004,U_0104,Quick question,,0,
1696045000.170431,C005,U_0102,Quick question,,0,
1696045600.633222,C005,U_0103,Confirmed,,2,
1696046200.389523,C003,U_0100,Thanks for the update,,0,
1696046800.638877,C002,U_natasha,Have a great day,,0,
1696047400.101278,C001,U_natasha,All set,,0,
1696048000.744918,C003,U_0104,Let me know if anything changes,,0,
1696048600.241841,C006,U_natasha,Thanks for the update,,0,
1696049200.192988,C003,U_0100,Have a great day,,0,
1696049800.786642,C002,U_0107,Let me know if anything changes,,2,
1696050400.884096,C001,U_denise,No worries,,0,
1696051000.705316,C005,U_0107,Running a bit behind,,0,
1696051600.805824,C002,U_0107,Can you check on this?,,0,
1696052200.137870,C006,U_admin,Thanks for the update,,0,
1696052800.849096,C006,U_natasha,On my way,,0,
1696053400.236927,C006,U_0103,Have a great day,,0,
1696054000.991799,C002,U_0107,See you then,,0,
1696054600.491046,C006,U_admin,Thanks for the update,,0,
1696055200.627788,C001,U_0102,Got it thanks,,0,
1696055800.526936,C003,U_0102,Running a bit behind,,0,
1696056400.815319,C001,U_0101,Quick question,,0,
1696057000.968406,C004,U_0103,Talk soon,,0,
1696057600.517211,C005,U_denise,Quick question,,2,
1696058200.335137,C002,U_0108,I will follow up,,0,
1696058800.783421,C002,U_0105,I will follow up,,1,
1696059400.815795,C006,U_0107,I will follow up,,1,
1696060000.413039,C004,U_0109,Quick question,,0,
1696060600.266850,C005,U_0107,Please review when you get a chance,,0,
1696061200.225128,C001,U_0100,On my way,,2,
1696061800.961067,C003,U_denise,Quick question,,1,
1696062400.510918,C002,U_natasha,Perfect timing,,0,
1696063000.940390,C002,U_denise,No worries,,1,
1696063600.114671,C005,U_courtney,Can we reschedule?,,1,
1696064200.684245,C003,U_0109,No worries,,1,
1696064800.582874,C001,U_0102,On my way,,1,
1696065400.260402,C001,U_0105,Please review when you get a chance,,1,
1696066000.479637,C003,U_courtney,Will do,,2,
1696066600.400878,C003,U_0100,Thanks for the update,,1,
1696067200.552445,C004,U_admin,Will do,,2,
1696067800.907623,C002,U_0107,On my way,,2,
1696068400.537080,C003,U_courtney,Will do,,2,
1696069000.495238,C002,U_0103,Running a bit behind,,0,
1696069600.987629,C002,U_0102,Let me know if anything changes,,1,
1696070200.974536,C001,U_denise,Will do,,0,
1696070800.368148,C002,U_0108,No worries,,0,
1696071400.969005,C006,U_0101,All set,,0,
1696072000.379503,C006,U_natasha,See you then,,2,
1696072600.991447,C005,U_0106,Thanks for the update,,2,
1696073200.870653,C004,U_0105,Quick question,,0,
1696073800.875846,C005,U_0102,Let me know if anything changes,,0,
1696074400.859541,C003,U_0109,I will follow up,,2,
1696075000.698625,C006,U_0102,Sounds good to me,,0,
1696075600.310777,C005,U_0101,On my way,,0,
1696076200.855148,C003,U_0103,Confirmed,,0,
1696076800.799096,C001,U_0101,All set,,0,
1696077400.335838,C002,U_0100,Running a bit behind,,0,
1696078000.948210,C006,U_admin,I will follow up,,0,
1696078600.840720,C003,U_0109,Please review when you get a chance,,1,
1696079200.525373,C001,U_0101,Sounds good to me,,0,
1696079800.589584,C006,U_0102,Perfect timing,,0,
1696080400.623637,C003,U_0108,Talk soon,,1,
1696081000.715332,C006,U_0107,Sounds good to me,,0,
1696081600.309052,C003,U_admin,No worries,,0,
1696082200.691729,C004,U_0109,Sounds good to me,,1,
1696082800.505441,C006,U_0105,Please review when you get a chance,,1,
1696083400.946088,C001,U_0102,Running a bit behind,,0,
1696084000.232616,C001,U_natasha,Got it thanks,,0,
1696084600.487909,C001,U_0104,Can you check on this?,,2,
1696085200.448169,C005,U_0100,Please review when you get a chance,,0,
1696085800.954344,C003,U_natasha,I appreciate the help,,2,
1696086400.249522,C003,U_0108,Can we reschedule?,,2,
1696087000.499808,C004,U_0100,Talk soon,,0,
1696087600.218323,C002,U_courtney,Talk soon,,0,
1696088200.243349,C002,U_0101,Perfect timing,,0,
1696088800.378601,C002,U_0102,See you then,,0,
1696089400.155196,C006,U_0100,All set,,2,
1696090000.304905,C002,U_0108,Confirmed,,1,
1696090600.956244,C001,U_0100,Got it thanks,,0,
1696091200.323861,C006,U_0108,Thanks for the update,,1,
1696091800.694093,C004,U_admin,Talk soon,,0,
1696092400.209313,C006,U_courtney,Can you check on this?,,2,
1696093000.776978,C006,U_0107,See you then,,1,
1696093600.656615,C003,U_natasha,Let me know if anything changes,,0,
1696094200.183257,C003,U_0107,All set,,1,
1696094800.196865,C005,U_0100,Got it thanks,,0,
1696095400.319273,C003,U_0109,Sounds good to me,,0,
1696096000.553976,C005,U_0108,Talk soon,,0,
1696096600.380031,C006,U_0106,Have a great day,,0,
1696097200.217889,C004,U_admin,Confirmed,,0,
1696097800.825091,C005,U_0102,Got it thanks,,0,
1696098400.333375,C004,U_0103,Talk soon,,0,
1696099000.705347,C004,U_0102,Got it thanks,,1,
1696099600.297447,C002,U_0103,Can you check on this?,,0,
1696100200.392193,C001,U_0106,Thanks for the update,,0,
1696100800.954894,C002,U_0109,Talk soon,,2,
1696101400.165936,C001,U_0101,Got it thanks,,2,
1696102000.790262,C001,U_courtney,Can you check on this?,,0,
1696102600.607348,C006,U_natasha,Let me know if anything changes,,0,
1696103200.424207,C002,U_0101,Talk soon,,0,
1696103800.225740,C004,U_courtney,Quick question,,0,
1696104400.337721,C005,U_0107,See you then,,0,
1696105000.900130,C004,U_0104,I will follow up,,1,
1696105600.272468,C001,U_admin,See you then,,0,
1696106200.496449,C005,U_0101,Can we reschedule?,,0,
1696106800.643264,C004,U_natasha,Can you check on this?,,2,
1696107400.776200,C002,U_0105,Have a great day,,0,
1696108000.460678,C002,U_0107,Can we reschedule?,,2,
1696108600.469359,C006,U_0106,Running a bit behind,,0,
1696109200.255565,C002,U_natasha,Talk soon,,0,
1696109800.833280,C005,U_admin,Please review when you get a chance,,2,
1696110400.737454,C002,U_courtney,Will do,,0,
1696111000.994292,C004,U_0107,On my way,,0,
1696111600.336455,C002,U_admin,No worries,,1,
1696112200.191338,C005,U_0101,Thanks for the update,,1,
1696112800.516385,C001,U_courtney,All set,,1,
1696113400.147774,C005,U_natasha,I appreciate the help,,2,
1696114000.622016,C001,U_0108,Please review when you get a chance,,0,
1696114600.970071,C002,U_0102,Thanks for the update,,0,
1696115200.114847,C004,U_denise,Let me know if anything changes,,1,
1696115800.204623,C003,U_0106,All set,,0,
1696116400.685394,C006,U_0104,Confirmed,,0,
1696117000.616942,C006,U_0108,No worries,,0,
1696117600.660078,C003,U_0108,I appreciate the help,,1,
1696118200.310034,C003,U_0103,Sounds good to me,,0,
1696118800.252199,C002,U_admin,Let me know if anything changes,,0,
1696119400.269225,C006,U_0104,Can you check on this?,,0,
1696120000.891026,C005,U_0100,Sounds good to me,,0,
1696120600.462918,C005,U_0106,Perfect timing,,0,
1696121200.852201,C006,U_0106,Confirmed,,0,
1696121800.869919,C003,U_0102,Thanks for the update,,1,
1696122400.291931,C005,U_0101,Running a bit behind,,0,
1696123000.787959,C001,U_0102,On my way,,1,
1696123600.937537,C002,U_denise,See you then,,2,
1696124200.158114,C003,U_0102,Have a great day,,0,
1696124800.209619,C002,U_courtney,Have a great day,,0,
1696125400.340244,C005,U_0100,See you then,,2,
1696126000.439695,C002,U_courtney,I will follow up,,0,
1696126600.912403,C004,U_natasha,I appreciate the help,,0,
1696127200.633429,C003,U_0106,I appreciate the help,,0,
1696127800.698643,C006,U_0103,Can we reschedule?,,1,
1696128400.166330,C003,U_0107,Sounds good to me,,1,
1696129000.147220,C003,U_0101,Sounds good to me,,2,
1696129600.176253,C002,U_0106,I will follow up,,0,
1696130200.190678,C004,U_0107,Sounds good to me,,0,
1696130800.181257,C005,U_0108,Got it thanks,,0,
1696131400.549068,C003,U_courtney,Perfect timing,,0,
1696132000.704223,C006,U_0102,Perfect timing,,0,
1696132600.719639,C003,U_0103,All set,,1,
1696133200.475130,C002,U_courtney,Have a great day,,0,
1696133800.950608,C002,U_courtney,Sounds good to me,,0,
1696134400.555707,C002,U_0106,Can you check on this?,,0,
1696135000.753000,C006,U_0103,See you then,,0,
1696135600.864374,C006,U_denise,Let me know if anything changes,,0,
1696136200.176851,C002,U_0105,On my way,,1,
1696136800.750436,C004,U_0103,All set,,2,
1696137400.778707,C004,U_0102,Thanks for the update,,2,
1696138000.648635,C004,U_admin,I will follow up,,0,
1696138600.547073,C004,U_0103,On my way,,0,
1696139200.936648,C005,U_0108,Confirmed,,0,
1696139800.559118,C006,U_0102,Can you check on this?,,1,
1696140400.455591,C006,U_0105,Please review when you get a chance,,2,
