playlist_id,name,description,owner_id,public,collaborative
spotify_playlists_1000,Spotify item 0,description_0,spotify_playlists_1000,true,collaborative_0
spotify_playlists_1001,Spotify item 1,description_1,spotify_playlists_1001,true,collaborative_1
spotify_playlists_1002,Spotify item 2,description_2,spotify_playlists_1002,false,collaborative_2
spotify_playlists_1003,Spotify item 3,description_3,spotify_playlists_1003,true,collaborative_3
spotify_playlists_1004,Spotify item 4,description_4,spotify_playlists_1004,true,collaborative_4
spotify_playlists_1005,Spotify item 5,description_5,spotify_playlists_1005,true,collaborative_5
spotify_playlists_1006,Spotify item 6,description_6,spotify_playlists_1006,true,collaborative_6
spotify_playlists_1007,Spotify item 7,description_7,spotify_playlists_1007,true,collaborative_7
spotify_playlists_1008,Spotify item 8,description_8,spotify_playlists_1008,true,collaborative_8
spotify_playlists_1009,Spotify item 9,description_9,spotify_playlists_1009,true,collaborative_9
spotify_playlists_1010,Spotify item 10,description_10,spotify_playlists_1010,false,collaborative_10
spotify_playlists_1011,Spotify item 11,description_11,spotify_playlists_1011,true,collaborative_11
spotify_playlists_1012,Spotify item 12,description_12,spotify_playlists_1012,false,collaborative_12
spotify_playlists_1013,Spotify item 13,description_13,spotify_playlists_1013,true,collaborative_13
spotify_playlists_1014,Spotify item 14,description_14,spotify_playlists_1014,false,collaborative_14
spotify_playlists_1015,Spotify item 15,description_15,spotify_playlists_1015,false,collaborative_15
spotify_playlists_1016,Spotify item 16,description_16,spotify_playlists_1016,true,collaborative_16
spotify_playlists_1017,Spotify item 17,description_17,spotify_playlists_1017,false,collaborative_17
spotify_playlists_1018,Spotify item 18,description_18,spotify_playlists_1018,false,collaborative_18
spotify_playlists_1019,Spotify item 19,description_19,spotify_playlists_1019,true,collaborative_19
spotify_playlists_1020,Spotify item 20,description_20,spotify_playlists_1020,false,collaborative_20
spotify_playlists_1021,Spotify item 21,description_21,spotify_playlists_1021,false,collaborative_21
spotify_playlists_1022,Spotify item 22,description_22,spotify_playlists_1022,true,collaborative_22
spotify_playlists_1023,Spotify item 23,description_23,spotify_playlists_1023,false,collaborative_23
spotify_playlists_1024,Spotify item 24,description_24,spotify_playlists_1024,true,collaborative_24
spotify_playlists_1025,Spotify item 25,description_25,spotify_playlists_1025,false,collaborative_25
spotify_playlists_1026,Spotify item 26,description_26,spotify_playlists_1026,false,collaborative_26
spotify_playlists_1027,Spotify item 27,description_27,spotify_playlists_1027,true,collaborative_27
spotify_playlists_1028,Spotify item 28,description_28,spotify_playlists_1028,true,collaborative_28
spotify_playlists_1029,Spotify item 29,description_29,spotify_playlists_1029,true,collaborative_29
spotify_playlists_1030,Spotify item 30,description_30,spotify_playlists_1030,true,collaborative_30
spotify_playlists_1031,Spotify item 31,description_31,spotify_playlists_1031,true,collaborative_31
spotify_playlists_1032,Spotify item 32,description_32,spotify_playlists_1032,true,collaborative_32
spotify_playlists_1033,Spotify item 33,description_33,spotify_playlists_1033,true,collaborative_33
spotify_playlists_1034,Spotify item 34,description_34,spotify_playlists_1034,true,collaborative_34
spotify_playlists_1035,Spotify item 35,description_35,spotify_playlists_1035,false,collaborative_35
spotify_playlists_1036,Spotify item 36,description_36,spotify_playlists_1036,true,collaborative_36
spotify_playlists_1037,Spotify item 37,description_37,spotify_playlists_1037,true,collaborative_37
spotify_playlists_1038,Spotify item 38,description_38,spotify_playlists_1038,true,collaborative_38
spotify_playlists_1039,Spotify item 39,description_39,spotify_playlists_1039,false,collaborative_39
spotify_playlists_1040,Spotify item 40,description_40,spotify_playlists_1040,false,collaborative_40
spotify_playlists_1041,Spotify item 41,description_41,spotify_playlists_1041,true,collaborative_41
spotify_playlists_1042,Spotify item 42,description_42,spotify_playlists_1042,false,collaborative_42
spotify_playlists_1043,Spotify item 43,description_43,spotify_playlists_1043,false,collaborative_43
spotify_playlists_1044,Spotify item 44,description_44,spotify_playlists_1044,true,collaborative_44
spotify_playlists_1045,Spotify item 45,description_45,spotify_playlists_1045,false,collaborative_45
spotify_playlists_1046,Spotify item 46,description_46,spotify_playlists_1046,false,collaborative_46
spotify_playlists_1047,Spotify item 47,description_47,spotify_playlists_1047,false,collaborative_47
spotify_playlists_1048,Spotify item 48,description_48,spotify_playlists_1048,false,collaborative_48
spotify_playlists_1049,Spotify item 49,description_49,spotify_playlists_1049,false,collaborative_49
spotify_playlists_1050,Spotify item 50,description_50,spotify_playlists_1050,true,collaborative_50
spotify_playlists_1051,Spotify item 51,description_51,spotify_playlists_1051,true,collaborative_51
spotify_playlists_1052,Spotify item 52,description_52,spotify_playlists_1052,false,collaborative_52
spotify_playlists_1053,Spotify item 53,description_53,spotify_playlists_1053,true,collaborative_53
spotify_playlists_1054,Spotify item 54,description_54,spotify_playlists_1054,false,collaborative_54
spotify_playlists_1055,Spotify item 55,description_55,spotify_playlists_1055,false,collaborative_55
spotify_playlists_1056,Spotify item 56,description_56,spotify_playlists_1056,false,collaborative_56
spotify_playlists_1057,Spotify item 57,description_57,spotify_playlists_1057,false,collaborative_57
spotify_playlists_1058,Spotify item 58,description_58,spotify_playlists_1058,true,collaborative_58
spotify_playlists_1059,Spotify item 59,description_59,spotify_playlists_1059,false,collaborative_59
spotify_playlists_1060,Spotify item 60,description_60,spotify_playlists_1060,true,collaborative_60
spotify_playlists_1061,Spotify item 61,description_61,spotify_playlists_1061,false,collaborative_61
spotify_playlists_1062,Spotify item 62,description_62,spotify_playlists_1062,true,collaborative_62
spotify_playlists_1063,Spotify item 63,description_63,spotify_playlists_1063,false,collaborative_63
spotify_playlists_1064,Spotify item 64,description_64,spotify_playlists_1064,false,collaborative_64
spotify_playlists_1065,Spotify item 65,description_65,spotify_playlists_1065,false,collaborative_65
spotify_playlists_1066,Spotify item 66,description_66,spotify_playlists_1066,false,collaborative_66
spotify_playlists_1067,Spotify item 67,description_67,spotify_playlists_1067,false,collaborative_67
spotify_playlists_1068,Spotify item 68,description_68,spotify_playlists_1068,true,collaborative_68
spotify_playlists_1069,Spotify item 69,description_69,spotify_playlists_1069,false,collaborative_69
spotify_playlists_1070,Spotify item 70,description_70,spotify_playlists_1070,true,collaborative_70
spotify_playlists_1071,Spotify item 71,description_71,spotify_playlists_1071,true,collaborative_71
spotify_playlists_1072,Spotify item 72,description_72,spotify_playlists_1072,false,collaborative_72
spotify_playlists_1073,Spotify item 73,description_73,spotify_playlists_1073,true,collaborative_73
spotify_playlists_1074,Spotify item 74,description_74,spotify_playlists_1074,false,collaborative_74
spotify_playlists_1075,Spotify item 75,description_75,spotify_playlists_1075,true,collaborative_75
spotify_playlists_1076,Spotify item 76,description_76,spotify_playlists_1076,true,collaborative_76
spotify_playlists_1077,Spotify item 77,description_77,spotify_playlists_1077,false,collaborative_77
spotify_playlists_1078,Spotify item 78,description_78,spotify_playlists_1078,false,collaborative_78
spotify_playlists_1079,Spotify item 79,description_79,spotify_playlists_1079,true,collaborative_79
spotify_playlists_1080,Spotify item 80,description_80,spotify_playlists_1080,false,collaborative_80
spotify_playlists_1081,Spotify item 81,description_81,spotify_playlists_1081,true,collaborative_81
spotify_playlists_1082,Spotify item 82,description_82,spotify_playlists_1082,true,collaborative_82
spotify_playlists_1083,Spotify item 83,description_83,spotify_playlists_1083,true,collaborative_83
spotify_playlists_1084,Spotify item 84,description_84,spotify_playlists_1084,false,collaborative_84
spotify_playlists_1085,Spotify item 85,description_85,spotify_playlists_1085,true,collaborative_85
spotify_playlists_1086,Spotify item 86,description_86,spotify_playlists_1086,true,collaborative_86
spotify_playlists_1087,Spotify item 87,description_87,spotify_playlists_1087,false,collaborative_87
spotify_playlists_1088,Spotify item 88,description_88,spotify_playlists_1088,true,collaborative_88
spotify_playlists_1089,Spotify item 89,description_89,spotify_playlists_1089,false,collaborative_89
spotify_playlists_1090,Spotify item 90,description_90,spotify_playlists_1090,false,collaborative_90
spotify_playlists_1091,Spotify item 91,description_91,spotify_playlists_1091,true,collaborative_91
spotify_playlists_1092,Spotify item 92,description_92,spotify_playlists_1092,true,collaborative_92
spotify_playlists_1093,Spotify item 93,description_93,spotify_playlists_1093,false,collaborative_93
spotify_playlists_1094,Spotify item 94,description_94,spotify_playlists_1094,true,collaborative_94
spotify_playlists_1095,Spotify item 95,description_95,spotify_playlists_1095,false,collaborative_95
spotify_playlists_1096,Spotify item 96,description_96,spotify_playlists_1096,false,collaborative_96
spotify_playlists_1097,Spotify item 97,description_97,spotify_playlists_1097,false,collaborative_97
spotify_playlists_1098,Spotify item 98,description_98,spotify_playlists_1098,false,collaborative_98
spotify_playlists_1099,Spotify item 99,description_99,spotify_playlists_1099,false,collaborative_99
