item	category	quantity	unit	supplier	unit_cost_usd	line_total_usd
Pork shoulder	Protein	48	lb	Restaurant Depot	2.39	114.72
Ground wild game blend	Protein	12	lb	Nicky USA	7.80	93.60
All purpose flour	Dry	50	lb	Restaurant Depot	0.42	21.00
Unsalted butter	Dairy	20	lb	Costco	3.55	71.00
Yellow onion	Produce	25	lb	Uwajimaya	0.78	19.50
Napa cabbage, kimchi	Produce	18	lb	Uwajimaya	1.10	19.80
Potato, russet	Produce	40	lb	Costco	0.49	19.60
Cheese curds	Dairy	10	lb	Willamette Valley	6.20	62.00
Eggs	Dairy	15	dozen	Costco	2.85	42.75
Maple sugar	Pantry	4	kg	Erabliere du Coteau	15.50	62.00
Tourtiere spice blend	Pantry	1	kg	Erabliere du Coteau	27.00	27.00
Heavy cream	Dairy	6	quart	Restaurant Depot	3.10	18.60
