order_id,user_id,retailer_id,status,subtotal,delivery_fee,service_fee,tip,total,placed_at,delivery_window_start,delivery_window_end,shopper_id
ord_001,usr_km_38291,ret_kroger_0041,delivered,87.42,3.99,5.24,8.00,104.65,2026-01-12T10:30:00Z,2026-01-12T10:30:00Z,,shp_2000
ord_002,usr_km_38291,ret_walmart_0078,delivered,62.18,0.00,3.73,5.00,70.91,2026-01-28T09:45:00Z,2026-01-28T09:45:00Z,,shp_2001
ord_003,usr_km_38291,ret_kroger_0041,delivered,95.31,3.99,5.72,10.00,115.02,2026-02-15T11:00:00Z,2026-02-15T11:00:00Z,,shp_2002
ord_004,usr_km_38291,ret_kroger_0041,delivered,78.55,3.99,4.71,8.00,95.25,2026-03-08T10:15:00Z,2026-03-08T10:15:00Z,,shp_2003
ord_005,usr_km_38291,ret_walmart_0078,delivered,54.92,0.00,3.30,5.00,63.22,2026-03-22T09:30:00Z,2026-03-22T09:30:00Z,,shp_2004
ord_006,usr_km_38291,ret_kroger_0041,delivered,103.47,3.99,6.21,10.00,123.67,2026-04-05T10:00:00Z,2026-04-05T10:00:00Z,,shp_2005
ord_007,usr_km_38291,ret_kroger_0041,delivered,71.83,3.99,4.31,7.00,87.13,2026-04-26T11:15:00Z,2026-04-26T11:15:00Z,,shp_2006
ord_008,usr_km_38291,ret_walmart_0078,delivered,48.29,0.00,2.90,5.00,56.19,2026-05-10T09:00:00Z,2026-05-10T09:00:00Z,,shp_2007
ord_009,usr_km_38291,ret_kroger_0041,delivered,112.64,3.99,6.76,12.00,135.39,2026-05-24T10:30:00Z,2026-05-24T10:30:00Z,,shp_2008
ord_010,usr_km_38291,ret_kroger_0041,delivered,89.17,3.99,5.35,8.00,106.51,2026-06-14T10:00:00Z,2026-06-14T10:00:00Z,,shp_2009
ord_011,usr_km_38291,ret_walmart_0078,delivered,67.43,0.00,4.05,6.00,77.48,2026-06-28T09:30:00Z,2026-06-28T09:30:00Z,,shp_2010
ord_012,usr_km_38291,ret_kroger_0041,delivered,94.88,3.99,5.69,10.00,114.56,2026-07-12T10:45:00Z,2026-07-12T10:45:00Z,,shp_2011
ord_013,usr_km_38291,ret_kroger_0041,delivered,76.21,3.99,4.57,8.00,92.77,2026-08-02T10:00:00Z,2026-08-02T10:00:00Z,,shp_2012
ord_014,usr_km_38291,ret_walmart_0078,delivered,58.94,0.00,3.54,5.00,67.48,2026-08-23T09:15:00Z,2026-08-23T09:15:00Z,,shp_2013
ord_015,usr_km_38291,ret_kroger_0041,delivered,108.32,3.99,6.50,10.00,128.81,2026-09-06T10:30:00Z,2026-09-06T10:30:00Z,,shp_2014
ord_016,usr_km_38291,ret_kroger_0041,delivered,82.45,3.99,4.95,8.00,99.39,2026-09-20T10:00:00Z,2026-09-20T10:00:00Z,,shp_2015
ord_017,usr_km_38291,ret_walmart_0078,delivered,71.56,0.00,4.29,6.00,81.85,2026-10-11T09:45:00Z,2026-10-11T09:45:00Z,,shp_2016
ord_018,usr_km_38291,ret_kroger_0041,delivered,96.73,3.99,5.80,10.00,116.52,2026-10-25T10:15:00Z,2026-10-25T10:15:00Z,,shp_2017
