product_id,retailer_id,name,brand,category,unit_size,price,in_stock,sale_price,image_url
prod_001,ret_kroger_001,Boneless Skinless Chicken Breast,Kroger,Meat & Seafood,3 lb,8.99,true,,
prod_002,ret_kroger_001,Ground Turkey 93/7,Kroger,Meat & Seafood,1 lb,5.49,true,,
prod_003,ret_kroger_001,Whole Milk,Horizon Organic,Dairy & Eggs,1 gal,5.79,true,,
prod_004,ret_kroger_001,Large Eggs,Kroger,Dairy & Eggs,1 dozen,3.29,true,,
prod_005,ret_kroger_001,Shredded Cheddar Cheese,Kraft,Dairy & Eggs,8 oz,4.49,true,,
prod_006,ret_kroger_001,White Bread,Sunbeam,Bakery,20 oz,3.49,true,,
prod_007,ret_kroger_001,Bananas,Dole,Produce,1 lb,0.59,true,,
prod_008,ret_kroger_001,Gala Apples,Kroger,Produce,1 lb,1.99,true,,
prod_009,ret_kroger_001,Baby Spinach,Earthbound Farm,Produce,5 oz,4.29,true,,
prod_010,ret_kroger_001,Yellow Onions,Kroger,Produce,3 lb bag,1.49,true,,
prod_011,ret_kroger_001,Russet Potatoes,Kroger,Produce,5 lb bag,4.99,true,,
prod_012,ret_kroger_001,Sweet Potatoes,Kroger,Produce,1 lb,1.29,true,,
prod_013,ret_kroger_001,Jasmine Rice,Mahatma,Grains & Pasta,2 lb,4.99,true,,
prod_014,ret_kroger_001,Spaghetti,Barilla,Grains & Pasta,1 lb,1.79,true,,
prod_015,ret_kroger_001,Prego Marinara Sauce,Prego,Canned & Jarred,24 oz,3.29,true,,
prod_016,ret_kroger_001,Black Beans,Bush's,Canned & Jarred,15 oz,1.49,true,,
prod_017,ret_kroger_001,Diced Tomatoes,Hunt's,Canned & Jarred,14.5 oz,1.29,true,,
prod_018,ret_kroger_001,Chicken Broth,Swanson,Canned & Jarred,32 oz,2.99,true,,
prod_019,ret_kroger_001,Peanut Butter Creamy,Jif,Pantry,16 oz,4.49,true,,
prod_020,ret_kroger_001,Grape Jelly,Smucker's,Pantry,18 oz,3.79,true,,
prod_021,ret_kroger_001,Cheerios,General Mills,Breakfast,12 oz,4.99,true,,
prod_022,ret_kroger_001,Instant Oatmeal Variety,Quaker,Breakfast,10 ct,4.29,true,,
prod_023,ret_kroger_001,Orange Juice No Pulp,Tropicana,Beverages,52 oz,4.99,true,,
prod_024,ret_kroger_001,Spring Water 24 Pack,Kroger,Beverages,24 ct,3.99,true,,
prod_025,ret_kroger_001,Sprite,Coca-Cola,Beverages,12 pk,6.99,true,,
prod_026,ret_kroger_001,All Purpose Flour,Gold Medal,Baking,5 lb,3.99,true,,
prod_027,ret_kroger_001,Granulated Sugar,Domino,Baking,4 lb,4.29,true,,
prod_028,ret_kroger_001,Brown Sugar Light,Domino,Baking,2 lb,3.49,true,,
prod_029,ret_kroger_001,Vanilla Extract,McCormick,Baking,2 oz,8.99,true,,
prod_030,ret_kroger_001,Paper Towels 6 Roll,Bounty,Household,6 ct,12.99,true,,
prod_031,ret_kroger_001,Dish Soap,Dawn,Household,19.4 oz,3.99,true,,
prod_032,ret_kroger_001,Laundry Detergent,Tide,Household,46 oz,11.99,true,,
prod_033,ret_kroger_001,Trash Bags 13 Gallon,Glad,Household,45 ct,8.99,true,,
prod_034,ret_kroger_001,Toilet Paper 12 Roll,Charmin,Household,12 ct,10.99,true,,
prod_035,ret_kroger_001,Frozen Broccoli,Birds Eye,Frozen,12 oz,2.49,true,,
prod_036,ret_kroger_001,Frozen Pizza Pepperoni,DiGiorno,Frozen,22 oz,6.99,true,,
prod_037,ret_kroger_001,Ice Cream Vanilla,Blue Bell,Frozen,half gal,5.99,true,,
prod_038,ret_kroger_001,Hot Dogs,Oscar Mayer,Meat & Seafood,1 lb,3.99,true,,
prod_039,ret_kroger_001,Bacon,Wright Brand,Meat & Seafood,12 oz,7.49,true,,
prod_040,ret_kroger_001,Butter,Land O'Lakes,Dairy & Eggs,1 lb,4.99,true,,
prod_041,ret_kroger_001,Sour Cream,Daisy,Dairy & Eggs,16 oz,2.49,true,,
prod_042,ret_kroger_001,Pie Crust,Pillsbury,Baking,2 ct,3.99,true,,
prod_043,ret_kroger_001,Canned Peaches,Del Monte,Canned & Jarred,15 oz,2.49,true,,
prod_044,ret_kroger_001,Cranberry Sauce,Ocean Spray,Canned & Jarred,14 oz,2.29,true,,
prod_045,ret_kroger_001,Cornbread Mix,Jiffy,Baking,8.5 oz,1.29,true,,
