date	time	agency	route	boarding_stop	alighting_stop	fare
2026-01-06	08:12	Tacoma Link	T Line	Theater District	Tacoma Dome	0.00
2026-01-06	17:34	Tacoma Link	T Line	Tacoma Dome	Theater District	0.00
2026-01-08	07:55	Pierce Transit	Route 1	6th Ave & Cedar St	Commerce St & S 11th	2.00
2026-01-08	18:05	Pierce Transit	Route 1	Commerce St & S 11th	6th Ave & Cedar St	2.00
2026-01-12	09:20	Sound Transit	ST Express 590	Tacoma Dome Station	Seattle 2nd & Pike	3.25
2026-01-12	19:48	Sound Transit	ST Express 590	Seattle 2nd & Pike	Tacoma Dome Station	3.25
2026-01-15	08:10	Pierce Transit	Route 2	S 19th & Union	Downtown Tacoma	2.00
2026-01-19	08:30	Tacoma Link	T Line	S 25th St	Theater District	0.00
2026-01-22	16:42	Pierce Transit	Route 1	Commerce St & S 11th	6th Ave & Cedar St	2.00
2026-01-27	07:48	Pierce Transit	Route 1	6th Ave & Cedar St	Commerce St & S 11th	2.00
2026-01-29	18:22	Tacoma Link	T Line	Theater District	Tacoma Dome	0.00
2026-10-01	08:05	Pierce Transit	Route 1	6th Ave & Cedar St	Commerce St & S 11th	2.00
2026-10-02	09:14	Tacoma Link	T Line	Theater District	S 25th St	0.00
2026-10-02	17:50	Tacoma Link	T Line	S 25th St	Theater District	0.00
2026-10-05	07:52	Pierce Transit	Route 1	6th Ave & Cedar St	Commerce St & S 11th	2.00
2026-10-05	18:11	Pierce Transit	Route 1	Commerce St & S 11th	6th Ave & Cedar St	2.00
2026-10-06	10:30	Sound Transit	ST Express 590	Tacoma Dome Station	Seattle 2nd & Pike	3.25
2026-10-06	20:05	Sound Transit	ST Express 590	Seattle 2nd & Pike	Tacoma Dome Station	3.25
2026-10-08	08:40	Pierce Transit	Route 2	S 19th & Union	Downtown Tacoma	2.00
2026-10-09	09:02	Tacoma Link	T Line	Theater District	Tacoma Dome	0.00
